"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"12277",2020-07-20,20,7,2020,53,0,"Guinea","GN","GIN",12771246,"Africa",7.31330365
"12278",2020-07-19,19,7,2020,61,0,"Guinea","GN","GIN",12771246,"Africa",7.21151249
"12279",2020-07-18,18,7,2020,154,1,"Guinea","GN","GIN",12771246,"Africa",7.11755141
"12280",2020-07-17,17,7,2020,0,0,"Guinea","GN","GIN",12771246,"Africa",6.46765398
"12281",2020-07-16,16,7,2020,135,1,"Guinea","GN","GIN",12771246,"Africa",6.8278381
"12282",2020-07-15,15,7,2020,0,0,"Guinea","GN","GIN",12771246,"Africa",5.87256717
"12283",2020-07-14,14,7,2020,0,0,"Guinea","GN","GIN",12771246,"Africa",6.18577075
"12284",2020-07-13,13,7,2020,97,0,"Guinea","GN","GIN",12771246,"Africa",6.25624156
"12285",2020-07-12,12,7,2020,75,0,"Guinea","GN","GIN",12771246,"Africa",5.89605744
"12286",2020-07-11,11,7,2020,88,1,"Guinea","GN","GIN",12771246,"Africa",5.5515335
"12287",2020-07-10,10,7,2020,184,2,"Guinea","GN","GIN",12771246,"Africa",5.24616001
"12288",2020-07-09,9,7,2020,0,0,"Guinea","GN","GIN",12771246,"Africa",4.09513684
"12289",2020-07-08,8,7,2020,61,0,"Guinea","GN","GIN",12771246,"Africa",4.64324311
"12290",2020-07-07,7,7,2020,26,0,"Guinea","GN","GIN",12771246,"Africa",5.07389804
"12291",2020-07-06,6,7,2020,40,0,"Guinea","GN","GIN",12771246,"Africa",4.87031571
"12292",2020-07-05,5,7,2020,49,1,"Guinea","GN","GIN",12771246,"Africa",4.77635463
"12293",2020-07-04,4,7,2020,71,0,"Guinea","GN","GIN",12771246,"Africa",4.83116526
"12294",2020-07-03,3,7,2020,46,0,"Guinea","GN","GIN",12771246,"Africa",4.76852454
"12295",2020-07-02,2,7,2020,13,0,"Guinea","GN","GIN",12771246,"Africa",5.76294592
"12296",2020-07-01,1,7,2020,40,2,"Guinea","GN","GIN",12771246,"Africa",5.88822735
"12297",2020-06-30,30,6,2020,9,0,"Guinea","GN","GIN",12771246,"Africa",6.09963977
"12298",2020-06-29,29,6,2020,51,1,"Guinea","GN","GIN",12771246,"Africa",6.34237255
"12299",2020-06-28,28,6,2020,31,1,"Guinea","GN","GIN",12771246,"Africa",6.31888228
"12300",2020-06-27,27,6,2020,49,0,"Guinea","GN","GIN",12771246,"Africa",6.53029469
"12301",2020-06-26,26,6,2020,37,0,"Guinea","GN","GIN",12771246,"Africa",6.56944514
"12302",2020-06-25,25,6,2020,70,0,"Guinea","GN","GIN",12771246,"Africa",7.17236204
"12303",2020-06-24,24,6,2020,116,2,"Guinea","GN","GIN",12771246,"Africa",6.62425577
"12304",2020-06-23,23,6,2020,0,0,"Guinea","GN","GIN",12771246,"Africa",6.04482914
"12305",2020-06-22,22,6,2020,28,0,"Guinea","GN","GIN",12771246,"Africa",6.44416371
"12306",2020-06-21,21,6,2020,56,0,"Guinea","GN","GIN",12771246,"Africa",6.6007655
"12307",2020-06-20,20,6,2020,63,1,"Guinea","GN","GIN",12771246,"Africa",6.60859559
"12308",2020-06-19,19,6,2020,173,0,"Guinea","GN","GIN",12771246,"Africa",6.65557613
"12309",2020-06-18,18,6,2020,29,0,"Guinea","GN","GIN",12771246,"Africa",6.12313004
"12310",2020-06-17,17,6,2020,67,0,"Guinea","GN","GIN",12771246,"Africa",6.2249212
"12311",2020-06-16,16,6,2020,40,1,"Guinea","GN","GIN",12771246,"Africa",5.7003052
