"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"12153",2020-07-17,17,7,2020,25,0,"Guinea_Bissau","GW","GNB",1920917,"Africa",14.21196231
"12154",2020-07-16,16,7,2020,0,0,"Guinea_Bissau","GW","GNB",1920917,"Africa",12.91050056
"12155",2020-07-15,15,7,2020,60,1,"Guinea_Bissau","GW","GNB",1920917,"Africa",12.91050056
"12156",2020-07-14,14,7,2020,0,0,"Guinea_Bissau","GW","GNB",1920917,"Africa",11.86933116
"12157",2020-07-13,13,7,2020,0,0,"Guinea_Bissau","GW","GNB",1920917,"Africa",11.86933116
"12158",2020-07-12,12,7,2020,52,0,"Guinea_Bissau","GW","GNB",1920917,"Africa",11.86933116
"12159",2020-07-11,11,7,2020,0,0,"Guinea_Bissau","GW","GNB",1920917,"Africa",12.18168198
"12160",2020-07-10,10,7,2020,0,0,"Guinea_Bissau","GW","GNB",1920917,"Africa",12.18168198
"12161",2020-07-09,9,7,2020,0,0,"Guinea_Bissau","GW","GNB",1920917,"Africa",12.18168198
"12162",2020-07-08,8,7,2020,25,0,"Guinea_Bissau","GW","GNB",1920917,"Africa",12.18168198
"12163",2020-07-07,7,7,2020,0,0,"Guinea_Bissau","GW","GNB",1920917,"Africa",10.88022023
"12164",2020-07-06,6,7,2020,0,0,"Guinea_Bissau","GW","GNB",1920917,"Africa",11.66109728
"12165",2020-07-05,5,7,2020,55,1,"Guinea_Bissau","GW","GNB",1920917,"Africa",11.66109728
"12166",2020-07-04,4,7,2020,56,0,"Guinea_Bissau","GW","GNB",1920917,"Africa",10.30757706
"12167",2020-07-03,3,7,2020,0,0,"Guinea_Bissau","GW","GNB",1920917,"Africa",7.39230274
"12168",2020-07-02,2,7,2020,0,0,"Guinea_Bissau","GW","GNB",1920917,"Africa",8.43347214
"12169",2020-07-01,1,7,2020,40,3,"Guinea_Bissau","GW","GNB",1920917,"Africa",8.43347214
"12170",2020-06-30,30,6,2020,0,0,"Guinea_Bissau","GW","GNB",1920917,"Africa",8.01700438
"12171",2020-06-29,29,6,2020,0,0,"Guinea_Bissau","GW","GNB",1920917,"Africa",8.01700438
"12172",2020-06-28,28,6,2020,58,2,"Guinea_Bissau","GW","GNB",1920917,"Africa",8.01700438
"12173",2020-06-27,27,6,2020,0,0,"Guinea_Bissau","GW","GNB",1920917,"Africa",8.69376449
"12174",2020-06-26,26,6,2020,0,0,"Guinea_Bissau","GW","GNB",1920917,"Africa",8.69376449
"12175",2020-06-25,25,6,2020,0,0,"Guinea_Bissau","GW","GNB",1920917,"Africa",8.69376449
"12176",2020-06-24,24,6,2020,0,0,"Guinea_Bissau","GW","GNB",1920917,"Africa",8.69376449
"12177",2020-06-23,23,6,2020,15,2,"Guinea_Bissau","GW","GNB",1920917,"Africa",8.69376449
