"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"13031",2020-07-26,26,7,2020,8,0,"Guyana","GY","GUY",782775,"America",8.81479352
"13032",2020-07-25,25,7,2020,1,1,"Guyana","GY","GUY",782775,"America",7.92053911
"13033",2020-07-24,24,7,2020,1,0,"Guyana","GY","GUY",782775,"America",8.303791
"13034",2020-07-23,23,7,2020,11,0,"Guyana","GY","GUY",782775,"America",8.303791
"13035",2020-07-22,22,7,2020,2,0,"Guyana","GY","GUY",782775,"America",6.89853406
"13036",2020-07-21,21,7,2020,1,0,"Guyana","GY","GUY",782775,"America",7.53728722
"13037",2020-07-20,20,7,2020,9,0,"Guyana","GY","GUY",782775,"America",8.04828974
"13038",2020-07-19,19,7,2020,12,0,"Guyana","GY","GUY",782775,"America",7.02628469
"13039",2020-07-18,18,7,2020,1,0,"Guyana","GY","GUY",782775,"America",7.53728722
"13040",2020-07-17,17,7,2020,1,1,"Guyana","GY","GUY",782775,"America",8.17604037
"13041",2020-07-16,16,7,2020,5,1,"Guyana","GY","GUY",782775,"America",8.303791
"13042",2020-07-15,15,7,2020,8,0,"Guyana","GY","GUY",782775,"America",8.04828974
"13043",2020-07-14,14,7,2020,3,0,"Guyana","GY","GUY",782775,"America",8.303791
"13044",2020-07-13,13,7,2020,6,0,"Guyana","GY","GUY",782775,"America",8.55929226
"13045",2020-07-12,12,7,2020,1,1,"Guyana","GY","GUY",782775,"America",7.79278848
"13046",2020-07-11,11,7,2020,4,0,"Guyana","GY","GUY",782775,"America",7.66503785
"13047",2020-07-10,10,7,2020,1,0,"Guyana","GY","GUY",782775,"America",9.07029478
"13048",2020-07-09,9,7,2020,0,0,"Guyana","GY","GUY",782775,"America",9.70904794
"13049",2020-07-08,8,7,2020,7,0,"Guyana","GY","GUY",782775,"America",10.09229983
"13050",2020-07-07,7,7,2020,5,1,"Guyana","GY","GUY",782775,"America",9.32579605
"13051",2020-07-06,6,7,2020,1,1,"Guyana","GY","GUY",782775,"America",11.36980614
"13052",2020-07-05,5,7,2020,16,0,"Guyana","GY","GUY",782775,"America",11.36980614
"13053",2020-07-04,4,7,2020,6,0,"Guyana","GY","GUY",782775,"America",9.32579605
"13054",2020-07-03,3,7,2020,2,1,"Guyana","GY","GUY",782775,"America",8.55929226
"13055",2020-07-02,2,7,2020,3,1,"Guyana","GY","GUY",782775,"America",9.83679857
"13056",2020-07-01,1,7,2020,10,0,"Guyana","GY","GUY",782775,"America",9.45354668
