"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"11961",2020-07-12,12,7,2020,73,4,"Haiti","HT","HTI",11263079,"America",8.10613155
"11962",2020-07-11,11,7,2020,131,12,"Haiti","HT","HTI",11263079,"America",7.94631734
"11963",2020-07-10,10,7,2020,0,0,"Haiti","HT","HTI",11263079,"America",8.37248855
"11964",2020-07-09,9,7,2020,54,6,"Haiti","HT","HTI",11263079,"America",9.38464518
"11965",2020-07-08,8,7,2020,61,4,"Haiti","HT","HTI",11263079,"America",9.83745209
"11966",2020-07-07,7,7,2020,38,0,"Haiti","HT","HTI",11263079,"America",10.29913756
"11967",2020-07-06,6,7,2020,39,0,"Haiti","HT","HTI",11263079,"America",9.96175202
"11968",2020-07-05,5,7,2020,64,3,"Haiti","HT","HTI",11263079,"America",10.80521587
"11969",2020-07-04,4,7,2020,129,0,"Haiti","HT","HTI",11263079,"America",11.09820858
"11970",2020-07-03,3,7,2020,61,3,"Haiti","HT","HTI",11263079,"America",10.52110173
"11971",2020-07-02,2,7,2020,65,2,"Haiti","HT","HTI",11263079,"America",12.0038224
"11972",2020-07-01,1,7,2020,42,0,"Haiti","HT","HTI",11263079,"America",12.67859348
"11973",2020-06-30,30,6,2020,86,1,"Haiti","HT","HTI",11263079,"America",13.24682176
"11974",2020-06-29,29,6,2020,70,4,"Haiti","HT","HTI",11263079,"America",13.65523584
"11975",2020-06-28,28,6,2020,55,2,"Haiti","HT","HTI",11263079,"America",14.31224979
"11976",2020-06-27,27,6,2020,179,2,"Haiti","HT","HTI",11263079,"America",15.81272759
"11977",2020-06-26,26,6,2020,114,4,"Haiti","HT","HTI",11263079,"America",14.22346412
"11978",2020-06-25,25,6,2020,105,3,"Haiti","HT","HTI",11263079,"America",14.49869969
"11979",2020-06-24,24,6,2020,113,1,"Haiti","HT","HTI",11263079,"America",14.75617813
"11980",2020-06-23,23,6,2020,0,0,"Haiti","HT","HTI",11263079,"America",14.85384236
"11981",2020-06-22,22,6,2020,134,0,"Haiti","HT","HTI",11263079,"America",16.66507
"11982",2020-06-21,21,6,2020,97,1,"Haiti","HT","HTI",11263079,"America",17.80152656
"11983",2020-06-20,20,6,2020,64,3,"Haiti","HT","HTI",11263079,"America",18.25433347
"11984",2020-06-19,19,6,2020,228,2,"Haiti","HT","HTI",11263079,"America",20.20761818
"11985",2020-06-18,18,6,2020,141,2,"Haiti","HT","HTI",11263079,"America",18.18330494
"11986",2020-06-17,17,6,2020,106,4,"Haiti","HT","HTI",11263079,"America",18.1122764
"11987",2020-06-16,16,6,2020,132,3,"Haiti","HT","HTI",11263079,"America",19.6660256
"11988",2020-06-15,15,6,2020,144,3,"Haiti","HT","HTI",11263079,"America",19.3996686
"11989",2020-06-14,14,6,2020,224,6,"Haiti","HT","HTI",11263079,"America",20.42070379
"11990",2020-06-13,13,6,2020,0,0,"Haiti","HT","HTI",11263079,"America",20.9267821
"11991",2020-06-12,12,6,2020,145,6,"Haiti","HT","HTI",11263079,"America",22.17866003
"11992",2020-06-11,11,6,2020,134,2,"Haiti","HT","HTI",11263079,"America",21.98333156
"11993",2020-06-10,10,6,2020,124,2,"Haiti","HT","HTI",11263079,"America",22.08987436
"11994",2020-06-09,9,6,2020,204,3,"Haiti","HT","HTI",11263079,"America",21.97445299
"11995",2020-06-08,8,6,2020,262,1,"Haiti","HT","HTI",11263079,"America",21.09547487
"11996",2020-06-07,7,6,2020,148,0,"Haiti","HT","HTI",11263079,"America",19.59499707
"11997",2020-06-06,6,6,2020,284,0,"Haiti","HT","HTI",11263079,"America",18.75153322
"11998",2020-06-05,5,6,2020,0,0,"Haiti","HT","HTI",11263079,"America",16.92254844
"11999",2020-06-04,4,6,2020,133,2,"Haiti","HT","HTI",11263079,"America",18.14779067
"12000",2020-06-03,3,6,2020,281,3,"Haiti","HT","HTI",11263079,"America",16.96694128
"12001",2020-06-02,2,6,2020,102,1,"Haiti","HT","HTI",11263079,"America",15.0314137
"12002",2020-06-01,1,6,2020,259,3,"Haiti","HT","HTI",11263079,"America",14.80944953
"12003",2020-05-31,31,5,2020,281,6,"Haiti","HT","HTI",11263079,"America",13.38000026
"12004",2020-05-30,30,5,2020,141,0,"Haiti","HT","HTI",11263079,"America",11.31129419
"12005",2020-05-29,29,5,2020,123,1,"Haiti","HT","HTI",11263079,"America",10.38792323
"12006",2020-05-28,28,5,2020,146,1,"Haiti","HT","HTI",11263079,"America",9.64212361
"12007",2020-05-27,27,5,2020,111,2,"Haiti","HT","HTI",11263079,"America",8.47903136
"12008",2020-05-26,26,5,2020,105,4,"Haiti","HT","HTI",11263079,"America",7.5822961
"12009",2020-05-25,25,5,2020,93,1,"Haiti","HT","HTI",11263079,"America",6.88976789
