"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"12511",2020-07-17,17,7,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12512",2020-07-16,16,7,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12513",2020-07-15,15,7,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12514",2020-07-14,14,7,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12515",2020-07-13,13,7,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12516",2020-07-12,12,7,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12517",2020-07-11,11,7,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12518",2020-07-10,10,7,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12519",2020-07-09,9,7,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12520",2020-07-08,8,7,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12521",2020-07-07,7,7,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12522",2020-07-06,6,7,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12523",2020-07-05,5,7,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12524",2020-07-04,4,7,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12525",2020-07-03,3,7,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12526",2020-07-02,2,7,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12527",2020-07-01,1,7,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12528",2020-06-30,30,6,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12529",2020-06-29,29,6,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12530",2020-06-28,28,6,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12531",2020-06-27,27,6,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12532",2020-06-26,26,6,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12533",2020-06-25,25,6,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12534",2020-06-24,24,6,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12535",2020-06-23,23,6,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12536",2020-06-22,22,6,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12537",2020-06-21,21,6,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12538",2020-06-20,20,6,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12539",2020-06-19,19,6,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12540",2020-06-18,18,6,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12541",2020-06-17,17,6,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12542",2020-06-16,16,6,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12543",2020-06-15,15,6,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12544",2020-06-14,14,6,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12545",2020-06-13,13,6,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12546",2020-06-12,12,6,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12547",2020-06-11,11,6,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12548",2020-06-10,10,6,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12549",2020-06-09,9,6,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12550",2020-06-08,8,6,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12551",2020-06-07,7,6,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12552",2020-06-06,6,6,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12553",2020-06-05,5,6,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12554",2020-06-04,4,6,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12555",2020-06-03,3,6,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12556",2020-06-02,2,6,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12557",2020-06-01,1,6,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12558",2020-05-31,31,5,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12559",2020-05-30,30,5,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12560",2020-05-29,29,5,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12561",2020-05-28,28,5,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12562",2020-05-27,27,5,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12563",2020-05-26,26,5,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12564",2020-05-25,25,5,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12565",2020-05-24,24,5,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12566",2020-05-23,23,5,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12567",2020-05-22,22,5,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
"12568",2020-05-21,21,5,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0
