"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"12460",2020-07-15,15,7,2020,527,18,"Honduras","HN","HND",9746115,"America",97.96724131
"12461",2020-07-14,14,7,2020,489,15,"Honduras","HN","HND",9746115,"America",100.15272752
"12462",2020-07-13,13,7,2020,507,3,"Honduras","HN","HND",9746115,"America",102.68707069
"12463",2020-07-12,12,7,2020,530,21,"Honduras","HN","HND",9746115,"America",108.51503394
"12464",2020-07-11,11,7,2020,669,46,"Honduras","HN","HND",9746115,"America",113.4708548
"12465",2020-07-10,10,7,2020,406,10,"Honduras","HN","HND",9746115,"America",113.05017435
"12466",2020-07-09,9,7,2020,550,17,"Honduras","HN","HND",9746115,"America",117.04150833
"12467",2020-07-08,8,7,2020,763,21,"Honduras","HN","HND",9746115,"America",117.84182723
"12468",2020-07-07,7,7,2020,722,17,"Honduras","HN","HND",9746115,"America",116.03597946
"12469",2020-07-06,6,7,2020,1022,10,"Honduras","HN","HND",9746115,"America",114.65081214
"12470",2020-07-05,5,7,2020,805,24,"Honduras","HN","HND",9746115,"America",109.48978131
"12471",2020-07-04,4,7,2020,996,14,"Honduras","HN","HND",9746115,"America",111.40849456
"12472",2020-07-03,3,7,2020,858,49,"Honduras","HN","HND",9746115,"America",106.5142367
"12473",2020-07-02,2,7,2020,704,45,"Honduras","HN","HND",9746115,"America",102.22534825
"12474",2020-07-01,1,7,2020,740,12,"Honduras","HN","HND",9746115,"America",101.59945784
"12475",2020-06-30,30,6,2020,736,6,"Honduras","HN","HND",9746115,"America",98.91120718
"12476",2020-06-29,29,6,2020,1075,0,"Honduras","HN","HND",9746115,"America",94.64283974
"12477",2020-06-28,28,6,2020,1013,8,"Honduras","HN","HND",9746115,"America",87.74778463
"12478",2020-06-27,27,6,2020,628,45,"Honduras","HN","HND",9746115,"America",80.66804055
"12479",2020-06-26,26,6,2020,795,9,"Honduras","HN","HND",9746115,"America",78.97505827
"12480",2020-06-25,25,6,2020,628,12,"Honduras","HN","HND",9746115,"America",73.98845591
"12481",2020-06-24,24,6,2020,587,10,"Honduras","HN","HND",9746115,"America",71.90557468
"12482",2020-06-23,23,6,2020,587,32,"Honduras","HN","HND",9746115,"America",70.85900382
"12483",2020-06-22,22,6,2020,519,5,"Honduras","HN","HND",9746115,"America",66.09813244
"12484",2020-06-21,21,6,2020,992,9,"Honduras","HN","HND",9746115,"America",62.5377394
"12485",2020-06-20,20,6,2020,519,6,"Honduras","HN","HND",9746115,"America",54.24725647
"12486",2020-06-19,19,6,2020,440,7,"Honduras","HN","HND",9746115,"America",49.85576304
"12487",2020-06-18,18,6,2020,643,6,"Honduras","HN","HND",9746115,"America",47.29063837
"12488",2020-06-17,17,6,2020,478,8,"Honduras","HN","HND",9746115,"America",42.36559901
"12489",2020-06-16,16,6,2020,320,10,"Honduras","HN","HND",9746115,"America",39.15406293
"12490",2020-06-15,15,6,2020,403,2,"Honduras","HN","HND",9746115,"America",37.51238314
"12491",2020-06-14,14,6,2020,323,4,"Honduras","HN","HND",9746115,"America",34.48553603
"12492",2020-06-13,13,6,2020,463,12,"Honduras","HN","HND",9746115,"America",33.30557868
"12493",2020-06-12,12,6,2020,309,4,"Honduras","HN","HND",9746115,"America",29.92987462
"12494",2020-06-11,11,6,2020,425,19,"Honduras","HN","HND",9746115,"America",27.90855638
"12495",2020-06-10,10,6,2020,485,9,"Honduras","HN","HND",9746115,"America",26.00010363
"12496",2020-06-09,9,6,2020,123,4,"Honduras","HN","HND",9746115,"America",23.19898749
"12497",2020-06-08,8,6,2020,172,8,"Honduras","HN","HND",9746115,"America",24.38920534
"12498",2020-06-07,7,6,2020,184,2,"Honduras","HN","HND",9746115,"America",24.74832279
"12499",2020-06-06,6,6,2020,91,5,"Honduras","HN","HND",9746115,"America",25.58968368
"12500",2020-06-05,5,6,2020,190,9,"Honduras","HN","HND",9746115,"America",27.45709444
"12501",2020-06-04,4,6,2020,163,9,"Honduras","HN","HND",9746115,"America",26.57469156
"12502",2020-06-03,3,6,2020,165,8,"Honduras","HN","HND",9746115,"America",26.39000258
"12503",2020-06-02,2,6,2020,160,5,"Honduras","HN","HND",9746115,"America",26.30791859
"12504",2020-06-01,1,6,2020,108,11,"Honduras","HN","HND",9746115,"America",26.2258346
"12505",2020-05-31,31,5,2020,208,2,"Honduras","HN","HND",9746115,"America",25.94880114
"12506",2020-05-30,30,5,2020,134,3,"Honduras","HN","HND",9746115,"America",24.89196977
"12507",2020-05-29,29,5,2020,112,2,"Honduras","HN","HND",9746115,"America",24.97405376
"12508",2020-05-28,28,5,2020,239,6,"Honduras","HN","HND",9746115,"America",24.47128933
"12509",2020-05-27,27,5,2020,212,6,"Honduras","HN","HND",9746115,"America",23.81461741
"12510",2020-05-26,26,5,2020,239,2,"Honduras","HN","HND",9746115,"America",22.3986686
"12511",2020-05-25,25,5,2020,207,6,"Honduras","HN","HND",9746115,"America",20.29526637
"12512",2020-05-24,24,5,2020,266,7,"Honduras","HN","HND",9746115,"America",19.62833396
"12513",2020-05-23,23,5,2020,273,11,"Honduras","HN","HND",9746115,"America",17.50441073
"12514",2020-05-22,22,5,2020,104,5,"Honduras","HN","HND",9746115,"America",15.58569748
"12515",2020-05-21,21,5,2020,145,4,"Honduras","HN","HND",9746115,"America",16.81695732
"12516",2020-05-20,20,5,2020,157,1,"Honduras","HN","HND",9746115,"America",17.28894026
"12517",2020-05-19,19,5,2020,152,4,"Honduras","HN","HND",9746115,"America",16.62200785
"12518",2020-05-18,18,5,2020,81,4,"Honduras","HN","HND",9746115,"America",16.32445338
"12519",2020-05-17,17,5,2020,105,4,"Honduras","HN","HND",9746115,"America",15.95507543
"12520",2020-05-16,16,5,2020,142,1,"Honduras","HN","HND",9746115,"America",16.01663842
"12521",2020-05-15,15,5,2020,63,10,"Honduras","HN","HND",9746115,"America",15.53439499
"12522",2020-05-14,14,5,2020,175,2,"Honduras","HN","HND",9746115,"America",15.22658003
"12523",2020-05-13,13,5,2020,74,5,"Honduras","HN","HND",9746115,"America",13.76958922
"12524",2020-05-12,12,5,2020,34,8,"Honduras","HN","HND",9746115,"America",13.47203475
"12525",2020-05-11,11,5,2020,142,0,"Honduras","HN","HND",9746115,"America",13.45151376
"12526",2020-05-10,10,5,2020,59,1,"Honduras","HN","HND",9746115,"America",12.3433799
"12527",2020-05-09,9,5,2020,86,2,"Honduras","HN","HND",9746115,"America",12.10738843
"12528",2020-05-08,8,5,2020,224,6,"Honduras","HN","HND",9746115,"America",11.96374145
"12529",2020-05-07,7,5,2020,191,6,"Honduras","HN","HND",9746115,"America",9.66538975
"12530",2020-05-06,6,5,2020,92,11,"Honduras","HN","HND",9746115,"America",7.79797899
"12531",2020-05-05,5,5,2020,123,0,"Honduras","HN","HND",9746115,"America",7.01818109
"12532",2020-05-04,4,5,2020,45,6,"Honduras","HN","HND",9746115,"America",5.93056823
"12533",2020-05-03,3,5,2020,111,1,"Honduras","HN","HND",9746115,"America",5.52014828
"12534",2020-05-02,2,5,2020,95,0,"Honduras","HN","HND",9746115,"America",4.53514041
"12535",2020-05-01,1,5,2020,33,4,"Honduras","HN","HND",9746115,"America",3.71430052
"12536",2020-04-30,30,4,2020,33,5,"Honduras","HN","HND",9746115,"America",3.53987204
"12537",2020-04-29,29,4,2020,45,5,"Honduras","HN","HND",9746115,"America",3.27309908
"12538",2020-04-28,28,4,2020,32,0,"Honduras","HN","HND",9746115,"America",2.93450262
"12539",2020-04-27,27,4,2020,34,2,"Honduras","HN","HND",9746115,"America",2.70877165
"12540",2020-04-26,26,4,2020,36,12,"Honduras","HN","HND",9746115,"America",2.40095669
"12541",2020-04-25,25,4,2020,72,0,"Honduras","HN","HND",9746115,"America",2.04183924
"12542",2020-04-24,24,4,2020,0,0,"Honduras","HN","HND",9746115,"America",1.40568832
"12543",2020-04-23,23,4,2020,9,1,"Honduras","HN","HND",9746115,"America",1.80584777
"12544",2020-04-22,22,4,2020,16,0,"Honduras","HN","HND",9746115,"America",2.03157874
"12545",2020-04-21,21,4,2020,17,0,"Honduras","HN","HND",9746115,"America",1.93923425
"12546",2020-04-20,20,4,2020,5,0,"Honduras","HN","HND",9746115,"America",1.83662926
"12547",2020-04-19,19,4,2020,15,0,"Honduras","HN","HND",9746115,"America",2.09314173
"12548",2020-04-18,18,4,2020,15,5,"Honduras","HN","HND",9746115,"America",1.98027624
"12549",2020-04-17,17,4,2020,16,6,"Honduras","HN","HND",9746115,"America",2.25730971
"12550",2020-04-16,16,4,2020,7,4,"Honduras","HN","HND",9746115,"America",2.12392322
"12551",2020-04-15,15,4,2020,12,5,"Honduras","HN","HND",9746115,"America",2.53434317
"12552",2020-04-14,14,4,2020,10,1,"Honduras","HN","HND",9746115,"America",2.72929265
"12553",2020-04-13,13,4,2020,4,0,"Honduras","HN","HND",9746115,"America",2.64720866
"12554",2020-04-12,12,4,2020,1,1,"Honduras","HN","HND",9746115,"America",2.90372112
