"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"12584",2020-07-15,15,7,2020,16,0,"Hungary","HU","HUN",9772756,"Europe",1.10511303
"12585",2020-07-14,14,7,2020,13,0,"Hungary","HU","HUN",9772756,"Europe",1.04371786
"12586",2020-07-13,13,7,2020,5,0,"Hungary","HU","HUN",9772756,"Europe",0.94139258
"12587",2020-07-12,12,7,2020,6,2,"Hungary","HU","HUN",9772756,"Europe",0.93116005
"12588",2020-07-11,11,7,2020,3,2,"Hungary","HU","HUN",9772756,"Europe",0.98232269
"12589",2020-07-10,10,7,2020,10,2,"Hungary","HU","HUN",9772756,"Europe",0.99255522
"12590",2020-07-09,9,7,2020,0,0,"Hungary","HU","HUN",9772756,"Europe",0.98232269
"12591",2020-07-08,8,7,2020,21,0,"Hungary","HU","HUN",9772756,"Europe",1.05395039
"12592",2020-07-07,7,7,2020,6,0,"Hungary","HU","HUN",9772756,"Europe",0.8390673
"12593",2020-07-06,6,7,2020,0,0,"Hungary","HU","HUN",9772756,"Europe",0.82883477
"12594",2020-07-05,5,7,2020,11,1,"Hungary","HU","HUN",9772756,"Europe",0.910695
"12595",2020-07-04,4,7,2020,6,1,"Hungary","HU","HUN",9772756,"Europe",0.87999741
"12596",2020-07-03,3,7,2020,9,1,"Hungary","HU","HUN",9772756,"Europe",0.86976489
"12597",2020-07-02,2,7,2020,2,1,"Hungary","HU","HUN",9772756,"Europe",0.79813719
"12598",2020-07-01,1,7,2020,10,0,"Hungary","HU","HUN",9772756,"Europe",0.78790466
"12599",2020-06-30,30,6,2020,3,4,"Hungary","HU","HUN",9772756,"Europe",0.69581191
"12600",2020-06-29,29,6,2020,4,3,"Hungary","HU","HUN",9772756,"Europe",0.67534685
"12601",2020-06-28,28,6,2020,11,0,"Hungary","HU","HUN",9772756,"Europe",0.75720708
"12602",2020-06-27,27,6,2020,4,1,"Hungary","HU","HUN",9772756,"Europe",0.75720708
"12603",2020-06-26,26,6,2020,9,1,"Hungary","HU","HUN",9772756,"Europe",0.85953236
"12604",2020-06-25,25,6,2020,7,3,"Hungary","HU","HUN",9772756,"Europe",0.89022994
"12605",2020-06-24,24,6,2020,0,0,"Hungary","HU","HUN",9772756,"Europe",0.92092753
"12606",2020-06-23,23,6,2020,5,1,"Hungary","HU","HUN",9772756,"Europe",0.95162511
"12607",2020-06-22,22,6,2020,8,2,"Hungary","HU","HUN",9772756,"Europe",1.3506937
"12608",2020-06-21,21,6,2020,8,0,"Hungary","HU","HUN",9772756,"Europe",1.26883348
"12609",2020-06-20,20,6,2020,5,2,"Hungary","HU","HUN",9772756,"Europe",1.18697326
"12610",2020-06-19,19,6,2020,2,0,"Hungary","HU","HUN",9772756,"Europe",1.29953106
"12611",2020-06-18,18,6,2020,1,1,"Hungary","HU","HUN",9772756,"Europe",1.51441415
