"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"12896",2020-07-17,17,7,2020,3,0,"Iceland","IS","ISL",356991,"Europe",17.92762283
"12897",2020-07-16,16,7,2020,6,0,"Iceland","IS","ISL",356991,"Europe",17.92762283
"12898",2020-07-15,15,7,2020,5,0,"Iceland","IS","ISL",356991,"Europe",17.64750372
"12899",2020-07-14,14,7,2020,4,0,"Iceland","IS","ISL",356991,"Europe",16.8071464
"12900",2020-07-13,13,7,2020,8,0,"Iceland","IS","ISL",356991,"Europe",16.24690819
"12901",2020-07-12,12,7,2020,2,0,"Iceland","IS","ISL",356991,"Europe",14.56619355
"12902",2020-07-11,11,7,2020,4,0,"Iceland","IS","ISL",356991,"Europe",15.12643176
"12903",2020-07-10,10,7,2020,2,0,"Iceland","IS","ISL",356991,"Europe",14.56619355
"12904",2020-07-09,9,7,2020,7,0,"Iceland","IS","ISL",356991,"Europe",14.84631265
"12905",2020-07-08,8,7,2020,7,0,"Iceland","IS","ISL",356991,"Europe",13.72583623
"12906",2020-07-07,7,7,2020,3,0,"Iceland","IS","ISL",356991,"Europe",12.04512159
"12907",2020-07-06,6,7,2020,3,0,"Iceland","IS","ISL",356991,"Europe",11.20476427
"12908",2020-07-05,5,7,2020,5,0,"Iceland","IS","ISL",356991,"Europe",10.64452605
"12909",2020-07-04,4,7,2020,5,0,"Iceland","IS","ISL",356991,"Europe",10.08428784
"12910",2020-07-03,3,7,2020,3,0,"Iceland","IS","ISL",356991,"Europe",9.52404963
"12911",2020-07-02,2,7,2020,5,0,"Iceland","IS","ISL",356991,"Europe",8.96381141
"12912",2020-07-01,1,7,2020,2,0,"Iceland","IS","ISL",356991,"Europe",8.4035732
"12913",2020-06-30,30,6,2020,2,0,"Iceland","IS","ISL",356991,"Europe",8.4035732
"12914",2020-06-29,29,6,2020,2,0,"Iceland","IS","ISL",356991,"Europe",7.84333499
"12915",2020-06-28,28,6,2020,4,0,"Iceland","IS","ISL",356991,"Europe",7.84333499
"12916",2020-06-27,27,6,2020,2,0,"Iceland","IS","ISL",356991,"Europe",7.00297767
"12917",2020-06-26,26,6,2020,3,0,"Iceland","IS","ISL",356991,"Europe",6.44273945
"12918",2020-06-25,25,6,2020,3,0,"Iceland","IS","ISL",356991,"Europe",5.60238213
"12919",2020-06-24,24,6,2020,1,0,"Iceland","IS","ISL",356991,"Europe",4.76202481
"12920",2020-06-23,23,6,2020,0,0,"Iceland","IS","ISL",356991,"Europe",4.48190571
"12921",2020-06-22,22,6,2020,1,0,"Iceland","IS","ISL",356991,"Europe",4.48190571
"12922",2020-06-21,21,6,2020,3,0,"Iceland","IS","ISL",356991,"Europe",4.48190571
"12923",2020-06-20,20,6,2020,3,0,"Iceland","IS","ISL",356991,"Europe",3.64154839
"12924",2020-06-19,19,6,2020,1,0,"Iceland","IS","ISL",356991,"Europe",2.80119107
"12925",2020-06-18,18,6,2020,3,0,"Iceland","IS","ISL",356991,"Europe",2.52107196
"12926",2020-06-17,17,6,2020,2,0,"Iceland","IS","ISL",356991,"Europe",1.68071464
"12927",2020-06-16,16,6,2020,0,0,"Iceland","IS","ISL",356991,"Europe",1.12047643
"12928",2020-06-15,15,6,2020,2,0,"Iceland","IS","ISL",356991,"Europe",1.12047643
"12929",2020-06-14,14,6,2020,1,0,"Iceland","IS","ISL",356991,"Europe",0.56023821
