"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"13915",2020-07-26,26,7,2020,48661,705,"India","IN","IND",1366417756,"Asia",39.22438783
"13916",2020-07-25,25,7,2020,48916,757,"India","IN","IND",1366417756,"Asia",37.7589502
"13917",2020-07-24,24,7,2020,49310,740,"India","IN","IND",1366417756,"Asia",36.16339131
"13918",2020-07-23,23,7,2020,45720,1129,"India","IN","IND",1366417756,"Asia",34.49450199
"13919",2020-07-22,22,7,2020,37724,648,"India","IN","IND",1366417756,"Asia",32.96927298
"13920",2020-07-21,21,7,2020,37148,587,"India","IN","IND",1366417756,"Asia",31.87356122
"13921",2020-07-20,20,7,2020,40425,681,"India","IN","IND",1366417756,"Asia",30.78341145
"13922",2020-07-19,19,7,2020,38902,543,"India","IN","IND",1366417756,"Asia",29.5995129
"13923",2020-07-18,18,7,2020,34884,671,"India","IN","IND",1366417756,"Asia",28.57113048
"13924",2020-07-17,17,7,2020,34956,687,"India","IN","IND",1366417756,"Asia",27.68465196
"13925",2020-07-16,16,7,2020,32695,606,"India","IN","IND",1366417756,"Asia",26.65619635
"13926",2020-07-15,15,7,2020,29429,582,"India","IN","IND",1366417756,"Asia",25.66477188
"13927",2020-07-14,14,7,2020,28498,553,"India","IN","IND",1366417756,"Asia",24.87614044
"13928",2020-07-13,13,7,2020,28701,500,"India","IN","IND",1366417756,"Asia",24.14605625
"13929",2020-07-12,12,7,2020,28637,551,"India","IN","IND",1366417756,"Asia",23.46968916
"13930",2020-07-11,11,7,2020,27114,519,"India","IN","IND",1366417756,"Asia",22.83071913
"13931",2020-07-10,10,7,2020,26506,475,"India","IN","IND",1366417756,"Asia",22.2041172
"13932",2020-07-09,9,7,2020,24879,487,"India","IN","IND",1366417756,"Asia",21.530092
"13933",2020-07-08,8,7,2020,22752,482,"India","IN","IND",1366417756,"Asia",20.94776643
"13934",2020-07-07,7,7,2020,22252,467,"India","IN","IND",1366417756,"Asia",20.45128576
"13935",2020-07-06,6,7,2020,24248,425,"India","IN","IND",1366417756,"Asia",19.91565162
"13936",2020-07-05,5,7,2020,24850,613,"India","IN","IND",1366417756,"Asia",19.22574548
"13937",2020-07-04,4,7,2020,22771,442,"India","IN","IND",1366417756,"Asia",18.5351075
"13938",2020-07-03,3,7,2020,20903,379,"India","IN","IND",1366417756,"Asia",17.93097308
"13939",2020-07-02,2,7,2020,19148,434,"India","IN","IND",1366417756,"Asia",17.39548531
"13940",2020-07-01,1,7,2020,18653,507,"India","IN","IND",1366417756,"Asia",16.9368408
