"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"13571",2020-07-20,20,7,2020,1639,127,"Indonesia","ID","IDN",270625567,"Asia",8.41457821
"13572",2020-07-19,19,7,2020,1752,59,"Indonesia","ID","IDN",270625567,"Asia",8.40275376
"13573",2020-07-18,18,7,2020,1462,84,"Indonesia","ID","IDN",270625567,"Asia",8.29005192
"13574",2020-07-17,17,7,2020,1574,76,"Indonesia","ID","IDN",270625567,"Asia",8.23056012
"13575",2020-07-16,16,7,2020,1522,87,"Indonesia","ID","IDN",270625567,"Asia",8.24903583
"13576",2020-07-15,15,7,2020,1591,54,"Indonesia","ID","IDN",270625567,"Asia",8.19841238
"13577",2020-07-14,14,7,2020,1282,50,"Indonesia","ID","IDN",270625567,"Asia",8.08829714
"13578",2020-07-13,13,7,2020,1681,71,"Indonesia","ID","IDN",270625567,"Asia",8.01439429
"13579",2020-07-12,12,7,2020,1671,66,"Indonesia","ID","IDN",270625567,"Asia",7.83591892
"13580",2020-07-11,11,7,2020,1611,52,"Indonesia","ID","IDN",270625567,"Asia",7.73023785
"13581",2020-07-10,10,7,2020,2657,58,"Indonesia","ID","IDN",270625567,"Asia",7.59314806
"13582",2020-07-09,9,7,2020,1853,50,"Indonesia","ID","IDN",270625567,"Asia",7.04663651
"13583",2020-07-08,8,7,2020,1268,68,"Indonesia","ID","IDN",270625567,"Asia",6.77319597
"13584",2020-07-07,7,7,2020,1209,70,"Indonesia","ID","IDN",270625567,"Asia",6.69301138
"13585",2020-07-06,6,7,2020,1607,82,"Indonesia","ID","IDN",270625567,"Asia",6.59878525
"13586",2020-07-05,5,7,2020,1447,53,"Indonesia","ID","IDN",270625567,"Asia",6.32349714
"13587",2020-07-04,4,7,2020,1301,49,"Indonesia","ID","IDN",270625567,"Asia",6.2418345
"13588",2020-07-03,3,7,2020,1624,53,"Indonesia","ID","IDN",270625567,"Asia",6.1457608
"13589",2020-07-02,2,7,2020,1385,58,"Indonesia","ID","IDN",270625567,"Asia",6.03749312
"13590",2020-07-01,1,7,2020,1293,71,"Indonesia","ID","IDN",270625567,"Asia",5.90668508
"13591",2020-06-30,30,6,2020,1082,51,"Indonesia","ID","IDN",270625567,"Asia",5.83758592
"13592",2020-06-29,29,6,2020,1198,34,"Indonesia","ID","IDN",270625567,"Asia",5.8135675
"13593",2020-06-28,28,6,2020,1385,37,"Indonesia","ID","IDN",270625567,"Asia",5.68756314
"13594",2020-06-27,27,6,2020,1240,63,"Indonesia","ID","IDN",270625567,"Asia",5.55047336
"13595",2020-06-26,26,6,2020,1178,47,"Indonesia","ID","IDN",270625567,"Asia",5.50280602
"13596",2020-06-25,25,6,2020,1113,38,"Indonesia","ID","IDN",270625567,"Asia",5.42927269
"13597",2020-06-24,24,6,2020,1051,35,"Indonesia","ID","IDN",270625567,"Asia",5.476201
"13598",2020-06-23,23,6,2020,954,35,"Indonesia","ID","IDN",270625567,"Asia",5.47324488
"13599",2020-06-22,22,6,2020,862,36,"Indonesia","ID","IDN",270625567,"Asia",5.43370686
"13600",2020-06-21,21,6,2020,1226,56,"Indonesia","ID","IDN",270625567,"Asia",5.36349916
"13601",2020-06-20,20,6,2020,1041,34,"Indonesia","ID","IDN",270625567,"Asia",5.27740234
"13602",2020-06-19,19,6,2020,1331,63,"Indonesia","ID","IDN",270625567,"Asia",5.15250653
"13603",2020-06-18,18,6,2020,1031,45,"Indonesia","ID","IDN",270625567,"Asia",4.8768489
"13604",2020-06-17,17,6,2020,1106,33,"Indonesia","ID","IDN",270625567,"Asia",4.74862746
"13605",2020-06-16,16,6,2020,1017,64,"Indonesia","ID","IDN",270625567,"Asia",4.56497889
"13606",2020-06-15,15,6,2020,857,43,"Indonesia","ID","IDN",270625567,"Asia",4.36174606
"13607",2020-06-14,14,6,2020,1014,43,"Indonesia","ID","IDN",270625567,"Asia",4.30373232
"13608",2020-06-13,13,6,2020,1111,48,"Indonesia","ID","IDN",270625567,"Asia",4.13486432
"13609",2020-06-12,12,6,2020,979,41,"Indonesia","ID","IDN",270625567,"Asia",3.97486465
"13610",2020-06-11,11,6,2020,1240,36,"Indonesia","ID","IDN",270625567,"Asia",3.86696649
"13611",2020-06-10,10,6,2020,1043,40,"Indonesia","ID","IDN",270625567,"Asia",3.66225561
"13612",2020-06-09,9,6,2020,847,32,"Indonesia","ID","IDN",270625567,"Asia",3.43020067
"13613",2020-06-08,8,6,2020,672,50,"Indonesia","ID","IDN",270625567,"Asia",3.29421943
"13614",2020-06-07,7,6,2020,993,31,"Indonesia","ID","IDN",270625567,"Asia",3.24027035
"13615",2020-06-06,6,6,2020,703,49,"Indonesia","ID","IDN",270625567,"Asia",3.22401172
"13616",2020-06-05,5,6,2020,585,23,"Indonesia","ID","IDN",270625567,"Asia",3.19851524
"13617",2020-06-04,4,6,2020,684,35,"Indonesia","ID","IDN",270625567,"Asia",3.34188676
"13618",2020-06-03,3,6,2020,609,22,"Indonesia","ID","IDN",270625567,"Asia",3.34521239
"13619",2020-06-02,2,6,2020,467,28,"Indonesia","ID","IDN",270625567,"Asia",3.29976214
"13620",2020-06-01,1,6,2020,700,40,"Indonesia","ID","IDN",270625567,"Asia",3.31047805
"13621",2020-05-31,31,5,2020,557,53,"Indonesia","ID","IDN",270625567,"Asia",3.23251055
"13622",2020-05-30,30,5,2020,678,24,"Indonesia","ID","IDN",270625567,"Asia",3.22216415
"13623",2020-05-29,29,5,2020,687,23,"Indonesia","ID","IDN",270625567,"Asia",3.15269547
"13624",2020-05-28,28,5,2020,686,55,"Indonesia","ID","IDN",270625567,"Asia",3.10872328
"13625",2020-05-27,27,5,2020,415,27,"Indonesia","ID","IDN",270625567,"Asia",3.10983182
"13626",2020-05-26,26,5,2020,479,19,"Indonesia","ID","IDN",270625567,"Asia",3.1353283
"13627",2020-05-25,25,5,2020,526,21,"Indonesia","ID","IDN",270625567,"Asia",3.0444278
"13628",2020-05-24,24,5,2020,949,25,"Indonesia","ID","IDN",270625567,"Asia",2.99306532
"13629",2020-05-23,23,5,2020,634,48,"Indonesia","ID","IDN",270625567,"Asia",2.8393474
"13630",2020-05-22,22,5,2020,973,36,"Indonesia","ID","IDN",270625567,"Asia",2.72923216
"13631",2020-05-21,21,5,2020,693,21,"Indonesia","ID","IDN",270625567,"Asia",2.49459062
"13632",2020-05-20,20,5,2020,486,30,"Indonesia","ID","IDN",270625567,"Asia",2.37412898
"13633",2020-05-19,19,5,2020,496,43,"Indonesia","ID","IDN",270625567,"Asia",2.37338995
"13634",2020-05-18,18,5,2020,489,59,"Indonesia","ID","IDN",270625567,"Asia",2.33606901
"13635",2020-05-17,17,5,2020,529,13,"Indonesia","ID","IDN",270625567,"Asia",2.28433702
"13636",2020-05-16,16,5,2020,490,33,"Indonesia","ID","IDN",270625567,"Asia",2.19676214
"13637",2020-05-15,15,5,2020,568,15,"Indonesia","ID","IDN",270625567,"Asia",2.17569983
"13638",2020-05-14,14,5,2020,689,21,"Indonesia","ID","IDN",270625567,"Asia",2.09403718
"13639",2020-05-13,13,5,2020,484,16,"Indonesia","ID","IDN",270625567,"Asia",1.93551558
"13640",2020-05-12,12,5,2020,233,18,"Indonesia","ID","IDN",270625567,"Asia",1.91001909
"13641",2020-05-11,11,5,2020,387,14,"Indonesia","ID","IDN",270625567,"Asia",1.90299832
"13642",2020-05-10,10,5,2020,533,16,"Indonesia","ID","IDN",270625567,"Asia",1.86161273
"13643",2020-05-09,9,5,2020,336,13,"Indonesia","ID","IDN",270625567,"Asia",1.81098928
"13644",2020-05-08,8,5,2020,338,35,"Indonesia","ID","IDN",270625567,"Asia",1.8479407
"13645",2020-05-07,7,5,2020,367,23,"Indonesia","ID","IDN",270625567,"Asia",1.85496147
"13646",2020-05-06,6,5,2020,484,8,"Indonesia","ID","IDN",270625567,"Asia",1.82392228
"13647",2020-05-05,5,5,2020,395,19,"Indonesia","ID","IDN",270625567,"Asia",1.78364522
"13648",2020-05-04,4,5,2020,349,14,"Indonesia","ID","IDN",270625567,"Asia",1.70604723
"13649",2020-05-03,3,5,2020,292,31,"Indonesia","ID","IDN",270625567,"Asia",1.69791792
"13650",2020-05-02,2,5,2020,433,8,"Indonesia","ID","IDN",270625567,"Asia",1.71011189
"13651",2020-05-01,1,5,2020,347,8,"Indonesia","ID","IDN",270625567,"Asia",1.70050452
"13652",2020-04-30,30,4,2020,260,11,"Indonesia","ID","IDN",270625567,"Asia",1.71269849
"13653",2020-04-29,29,4,2020,415,8,"Indonesia","ID","IDN",270625567,"Asia",1.72637052
"13654",2020-04-28,28,4,2020,214,22,"Indonesia","ID","IDN",270625567,"Asia",1.67722512
"13655",2020-04-27,27,4,2020,275,23,"Indonesia","ID","IDN",270625567,"Asia",1.71491558
"13656",2020-04-26,26,4,2020,396,31,"Indonesia","ID","IDN",270625567,"Asia",1.76073534
"13657",2020-04-25,25,4,2020,436,42,"Indonesia","ID","IDN",270625567,"Asia",1.7363474
