"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"15162",2020-08-04,4,8,2020,2598,215,"Iran","IR","IRN",82913893,"Asia",43.21712406
"15163",2020-08-03,3,8,2020,2685,208,"Iran","IR","IRN",82913893,"Asia",42.99520709
"15164",2020-08-02,2,8,2020,2548,216,"Iran","IR","IRN",82913893,"Asia",42.38855363
"15165",2020-08-01,1,8,2020,2674,197,"Iran","IR","IRN",82913893,"Asia",41.9278347
"15166",2020-07-31,31,7,2020,2621,226,"Iran","IR","IRN",82913893,"Asia",41.5720439
"15167",2020-07-30,30,7,2020,2636,196,"Iran","IR","IRN",82913893,"Asia",41.42610937
"15168",2020-07-29,29,7,2020,2667,235,"Iran","IR","IRN",82913893,"Asia",41.12700389
"15169",2020-07-28,28,7,2020,2434,212,"Iran","IR","IRN",82913893,"Asia",40.9509176
"15170",2020-07-27,27,7,2020,2333,216,"Iran","IR","IRN",82913893,"Asia",40.84840161
"15171",2020-07-26,26,7,2020,2316,195,"Iran","IR","IRN",82913893,"Asia",40.67110924
"15172",2020-07-25,25,7,2020,2489,215,"Iran","IR","IRN",82913893,"Asia",40.76880095
"15173",2020-07-24,24,7,2020,2621,221,"Iran","IR","IRN",82913893,"Asia",40.49502295
"15174",2020-07-23,23,7,2020,2586,219,"Iran","IR","IRN",82913893,"Asia",39.84133274
"15175",2020-07-22,22,7,2020,2625,229,"Iran","IR","IRN",82913893,"Asia",39.96797014
"15176",2020-07-21,21,7,2020,2414,217,"Iran","IR","IRN",82913893,"Asia",39.98244299
"15177",2020-07-20,20,7,2020,2182,209,"Iran","IR","IRN",82913893,"Asia",40.22245102
"15178",2020-07-19,19,7,2020,2166,188,"Iran","IR","IRN",82913893,"Asia",40.67834567
"15179",2020-07-18,18,7,2020,2379,183,"Iran","IR","IRN",82913893,"Asia",41.01966362
"15180",2020-07-17,17,7,2020,2500,198,"Iran","IR","IRN",82913893,"Asia",41.2451988
"15181",2020-07-16,16,7,2020,2388,199,"Iran","IR","IRN",82913893,"Asia",41.42852151
"15182",2020-07-15,15,7,2020,2521,179,"Iran","IR","IRN",82913893,"Asia",41.62269886
"15183",2020-07-14,14,7,2020,2349,203,"Iran","IR","IRN",82913893,"Asia",41.54551035
"15184",2020-07-13,13,7,2020,2186,194,"Iran","IR","IRN",82913893,"Asia",41.77104554
"15185",2020-07-12,12,7,2020,2397,188,"Iran","IR","IRN",82913893,"Asia",42.1364849
"15186",2020-07-11,11,7,2020,2262,142,"Iran","IR","IRN",82913893,"Asia",42.20764305
"15187",2020-07-10,10,7,2020,2079,221,"Iran","IR","IRN",82913893,"Asia",42.64906486
"15188",2020-07-09,9,7,2020,2691,153,"Iran","IR","IRN",82913893,"Asia",43.27139723
"15189",2020-07-08,8,7,2020,2637,200,"Iran","IR","IRN",82913893,"Asia",43.07842595
"15190",2020-07-07,7,7,2020,2613,160,"Iran","IR","IRN",82913893,"Asia",42.84686042
"15191",2020-07-06,6,7,2020,2560,163,"Iran","IR","IRN",82913893,"Asia",42.7986176
"15192",2020-07-05,5,7,2020,2449,148,"Iran","IR","IRN",82913893,"Asia",42.56705206
"15193",2020-07-04,4,7,2020,2566,154,"Iran","IR","IRN",82913893,"Asia",42.41388111
"15194",2020-07-03,3,7,2020,2652,148,"Iran","IR","IRN",82913893,"Asia",42.47297856
"15195",2020-07-02,2,7,2020,2549,141,"Iran","IR","IRN",82913893,"Asia",42.40543862
"15196",2020-07-01,1,7,2020,2457,147,"Iran","IR","IRN",82913893,"Asia",42.48142106
"15197",2020-06-30,30,6,2020,2536,162,"Iran","IR","IRN",82913893,"Asia",42.60926453
"15198",2020-06-29,29,6,2020,2489,144,"Iran","IR","IRN",82913893,"Asia",42.5043364
"15199",2020-06-28,28,6,2020,2456,234,"Iran","IR","IRN",82913893,"Asia",42.4838332
"15200",2020-06-27,27,6,2020,2628,0,"Iran","IR","IRN",82913893,"Asia",42.42835396
"15201",2020-06-26,26,6,2020,2595,134,"Iran","IR","IRN",82913893,"Asia",42.1159817
"15202",2020-06-25,25,6,2020,2531,133,"Iran","IR","IRN",82913893,"Asia",41.68541453
"15203",2020-06-24,24,6,2020,2445,121,"Iran","IR","IRN",82913893,"Asia",41.05825787
"15204",2020-06-23,23,6,2020,2573,119,"Iran","IR","IRN",82913893,"Asia",40.6361332
"15205",2020-06-22,22,6,2020,2368,116,"Iran","IR","IRN",82913893,"Asia",39.99691584
"15206",2020-06-21,21,6,2020,2322,115,"Iran","IR","IRN",82913893,"Asia",39.99209155
"15207",2020-06-20,20,6,2020,2615,120,"Iran","IR","IRN",82913893,"Asia",39.92816982
"15208",2020-06-19,19,6,2020,2596,87,"Iran","IR","IRN",82913893,"Asia",40.25501492
"15209",2020-06-18,18,6,2020,2612,120,"Iran","IR","IRN",82913893,"Asia",41.43455187
"15210",2020-06-17,17,6,2020,2563,115,"Iran","IR","IRN",82913893,"Asia",42.06412067
"15211",2020-06-16,16,6,2020,2449,113,"Iran","IR","IRN",82913893,"Asia",42.73228372
"15212",2020-06-15,15,6,2020,2472,107,"Iran","IR","IRN",82913893,"Asia",43.37150108
"15213",2020-06-14,14,6,2020,2410,71,"Iran","IR","IRN",82913893,"Asia",43.42456818
"15214",2020-06-13,13,6,2020,2369,75,"Iran","IR","IRN",82913893,"Asia",43.27019116
"15215",2020-06-12,12,6,2020,2238,78,"Iran","IR","IRN",82913893,"Asia",43.81292288
"15216",2020-06-11,11,6,2020,2011,81,"Iran","IR","IRN",82913893,"Asia",43.83704429
"15217",2020-06-10,10,6,2020,2095,74,"Iran","IR","IRN",82913893,"Asia",43.92026316
"15218",2020-06-09,9,6,2020,2043,70,"Iran","IR","IRN",82913893,"Asia",43.54879345
"15219",2020-06-08,8,6,2020,2364,72,"Iran","IR","IRN",82913893,"Asia",43.52467204
"15220",2020-06-07,7,6,2020,2269,75,"Iran","IR","IRN",82913893,"Asia",43.30275506
"15221",2020-06-06,6,6,2020,2886,63,"Iran","IR","IRN",82913893,"Asia",42.82032687
"15222",2020-06-05,5,6,2020,3574,59,"Iran","IR","IRN",82913893,"Asia",42.12683633
"15223",2020-06-04,4,6,2020,3134,70,"Iran","IR","IRN",82913893,"Asia",40.70126101
"15224",2020-06-03,3,6,2020,3117,64,"Iran","IR","IRN",82913893,"Asia",39.75087746
"15225",2020-06-02,2,6,2020,2979,81,"Iran","IR","IRN",82913893,"Asia",38.53757054
"15226",2020-06-01,1,6,2020,2516,63,"Iran","IR","IRN",82913893,"Asia",37.71141225
"15227",2020-05-31,31,5,2020,2282,57,"Iran","IR","IRN",82913893,"Asia",36.8551022
"15228",2020-05-30,30,5,2020,2819,50,"Iran","IR","IRN",82913893,"Asia",36.22191519
"15229",2020-05-29,29,5,2020,2258,63,"Iran","IR","IRN",82913893,"Asia",35.35716264
"15230",2020-05-28,28,5,2020,2080,56,"Iran","IR","IRN",82913893,"Asia",34.81443092
"15231",2020-05-27,27,5,2020,1787,57,"Iran","IR","IRN",82913893,"Asia",34.66729032
"15232",2020-05-26,26,5,2020,2023,34,"Iran","IR","IRN",82913893,"Asia",34.29823275
"15233",2020-05-25,25,5,2020,2180,58,"Iran","IR","IRN",82913893,"Asia",33.88816878
"15234",2020-05-24,24,5,2020,1869,59,"Iran","IR","IRN",82913893,"Asia",32.92693059
"15235",2020-05-23,23,5,2020,2311,51,"Iran","IR","IRN",82913893,"Asia",32.51686662
"15236",2020-05-22,22,5,2020,2392,66,"Iran","IR","IRN",82913893,"Asia",31.6062834
"15237",2020-05-21,21,5,2020,2346,64,"Iran","IR","IRN",82913893,"Asia",30.51237746
"15238",2020-05-20,20,5,2020,2111,62,"Iran","IR","IRN",82913893,"Asia",29.70913451
"15239",2020-05-19,19,5,2020,2294,69,"Iran","IR","IRN",82913893,"Asia",28.75875096
"15240",2020-05-18,18,5,2020,1806,51,"Iran","IR","IRN",82913893,"Asia",27.46704946
"15241",2020-05-17,17,5,2020,1757,35,"Iran","IR","IRN",82913893,"Asia",26.46601095
"15242",2020-05-16,16,5,2020,2102,48,"Iran","IR","IRN",82913893,"Asia",25.31421363
"15243",2020-05-15,15,5,2020,1808,71,"Iran","IR","IRN",82913893,"Asia",23.99236036
"15244",2020-05-14,14,5,2020,1958,50,"Iran","IR","IRN",82913893,"Asia",22.9973522
"15245",2020-05-13,13,5,2020,1481,48,"Iran","IR","IRN",82913893,"Asia",21.92997982
"15246",2020-05-12,12,5,2020,1683,45,"Iran","IR","IRN",82913893,"Asia",21.4849398
