"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"15380",2020-08-04,4,8,2020,2735,66,"Iraq","IQ","IRQ",39309789,"Asia",94.61510974
"15381",2020-08-03,3,8,2020,2447,63,"Iraq","IQ","IRQ",39309789,"Asia",93.16000144
"15382",2020-08-02,2,8,2020,2095,64,"Iraq","IQ","IRQ",39309789,"Asia",92.81148774
"15383",2020-08-01,1,8,2020,3346,70,"Iraq","IQ","IRQ",39309789,"Asia",92.69446855
"15384",2020-07-31,31,7,2020,2963,68,"Iraq","IQ","IRQ",39309789,"Asia",89.32889464
"15385",2020-07-30,30,7,2020,2968,68,"Iraq","IQ","IRQ",39309789,"Asia",87.59395783
"15386",2020-07-29,29,7,2020,2747,77,"Iraq","IQ","IRQ",39309789,"Asia",85.41129539
"15387",2020-07-28,28,7,2020,2553,96,"Iraq","IQ","IRQ",39309789,"Asia",83.56697107
"15388",2020-07-27,27,7,2020,2459,78,"Iraq","IQ","IRQ",39309789,"Asia",82.74274889
"15389",2020-07-26,26,7,2020,2862,72,"Iraq","IQ","IRQ",39309789,"Asia",82.36879623
"15390",2020-07-25,25,7,2020,2485,90,"Iraq","IQ","IRQ",39309789,"Asia",82.04317759
"15391",2020-07-24,24,7,2020,2361,80,"Iraq","IQ","IRQ",39309789,"Asia",82.9666117
"15392",2020-07-23,23,7,2020,2706,92,"Iraq","IQ","IRQ",39309789,"Asia",82.48072764
"15393",2020-07-22,22,7,2020,2466,81,"Iraq","IQ","IRQ",39309789,"Asia",82.56976398
"15394",2020-07-21,21,7,2020,2163,88,"Iraq","IQ","IRQ",39309789,"Asia",82.46800816
"15395",2020-07-20,20,7,2020,2310,90,"Iraq","IQ","IRQ",39309789,"Asia",81.53439847
"15396",2020-07-19,19,7,2020,2049,75,"Iraq","IQ","IRQ",39309789,"Asia",81.06377778
"15397",2020-07-18,18,7,2020,2023,94,"Iraq","IQ","IRQ",39309789,"Asia",81.78878803
"15398",2020-07-17,17,7,2020,2281,90,"Iraq","IQ","IRQ",39309789,"Asia",82.52397386
"15399",2020-07-16,16,7,2020,2110,87,"Iraq","IQ","IRQ",39309789,"Asia",82.27721599
"15400",2020-07-15,15,7,2020,2022,95,"Iraq","IQ","IRQ",39309789,"Asia",83.05310415
"15401",2020-07-14,14,7,2020,2229,100,"Iraq","IQ","IRQ",39309789,"Asia",82.89029483
"15402",2020-07-13,13,7,2020,2312,95,"Iraq","IQ","IRQ",39309789,"Asia",81.66922494
