"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"14694",2020-07-20,20,7,2020,218,3,"Italy","IT","ITA",60359546,"Europe",4.67697355
"14695",2020-07-19,19,7,2020,249,14,"Italy","IT","ITA",60359546,"Europe",4.63389834
"14696",2020-07-18,18,7,2020,231,11,"Italy","IT","ITA",60359546,"Europe",4.610704
"14697",2020-07-17,17,7,2020,230,20,"Italy","IT","ITA",60359546,"Europe",4.59745009
"14698",2020-07-16,16,7,2020,162,13,"Italy","IT","ITA",60359546,"Europe",4.54940466
"14699",2020-07-15,15,7,2020,114,17,"Italy","IT","ITA",60359546,"Europe",4.58253944
"14700",2020-07-14,14,7,2020,169,13,"Italy","IT","ITA",60359546,"Europe",4.62892812
"14701",2020-07-13,13,7,2020,234,9,"Italy","IT","ITA",60359546,"Europe",4.55768836
"14702",2020-07-12,12,7,2020,188,7,"Italy","IT","ITA",60359546,"Europe",4.45828403
"14703",2020-07-11,11,7,2020,276,12,"Italy","IT","ITA",60359546,"Europe",4.43674643
"14704",2020-07-10,10,7,2020,214,12,"Italy","IT","ITA",60359546,"Europe",4.40195491
"14705",2020-07-09,9,7,2020,193,15,"Italy","IT","ITA",60359546,"Europe",4.53780749
"14706",2020-07-08,8,7,2020,137,30,"Italy","IT","ITA",60359546,"Europe",5.17399518
"14707",2020-07-07,7,7,2020,208,8,"Italy","IT","ITA",60359546,"Europe",5.13423345
"14708",2020-07-06,6,7,2020,192,7,"Italy","IT","ITA",60359546,"Europe",5.15577105
"14709",2020-07-05,5,7,2020,235,21,"Italy","IT","ITA",60359546,"Europe",5.20878669
"14710",2020-07-04,4,7,2020,223,15,"Italy","IT","ITA",60359546,"Europe",5.25683212
"14711",2020-07-03,3,7,2020,201,30,"Italy","IT","ITA",60359546,"Europe",4.64218203
"14712",2020-07-02,2,7,2020,182,21,"Italy","IT","ITA",60359546,"Europe",4.85755807
"14713",2020-07-01,1,7,2020,142,23,"Italy","IT","ITA",60359546,"Europe",5.09944193
"14714",2020-06-30,30,6,2020,126,6,"Italy","IT","ITA",60359546,"Europe",5.21210017
"14715",2020-06-29,29,6,2020,174,22,"Italy","IT","ITA",60359546,"Europe",5.50202946
"14716",2020-06-28,28,6,2020,175,8,"Italy","IT","ITA",60359546,"Europe",5.77373461
"14717",2020-06-27,27,6,2020,255,30,"Italy","IT","ITA",60359546,"Europe",6.05703694
"14718",2020-06-26,26,6,2020,296,34,"Italy","IT","ITA",60359546,"Europe",5.90461698
"14719",2020-06-25,25,6,2020,577,-31,"Italy","IT","ITA",60359546,"Europe",6.04212629
"14720",2020-06-24,24,6,2020,113,18,"Italy","IT","ITA",60359546,"Europe",5.42084926
"14721",2020-06-23,23,6,2020,221,23,"Italy","IT","ITA",60359546,"Europe",5.70249485
"14722",2020-06-22,22,6,2020,224,24,"Italy","IT","ITA",60359546,"Europe",5.80024243
"14723",2020-06-21,21,6,2020,264,49,"Italy","IT","ITA",60359546,"Europe",5.75551049
"14724",2020-06-20,20,6,2020,-148,47,"Italy","IT","ITA",60359546,"Europe",5.76545092
"14725",2020-06-19,19,6,2020,331,66,"Italy","IT","ITA",60359546,"Europe",6.86883894
"14726",2020-06-18,18,6,2020,328,43,"Italy","IT","ITA",60359546,"Europe",6.61370117
"14727",2020-06-17,17,6,2020,210,34,"Italy","IT","ITA",60359546,"Europe",6.602104
"14728",2020-06-16,16,6,2020,301,26,"Italy","IT","ITA",60359546,"Europe",6.78103179
"14729",2020-06-15,15,6,2020,338,44,"Italy","IT","ITA",60359546,"Europe",6.57725292
"14730",2020-06-14,14,6,2020,346,78,"Italy","IT","ITA",60359546,"Europe",6.60541748
"14731",2020-06-13,13,6,2020,163,56,"Italy","IT","ITA",60359546,"Europe",6.72138919
"14732",2020-06-12,12,6,2020,379,53,"Italy","IT","ITA",60359546,"Europe",7.30621798
"14733",2020-06-11,11,6,2020,202,71,"Italy","IT","ITA",60359546,"Europe",7.66076007
"14734",2020-06-10,10,6,2020,283,79,"Italy","IT","ITA",60359546,"Europe",8.29363428
"14735",2020-06-09,9,6,2020,280,65,"Italy","IT","ITA",60359546,"Europe",8.4825025
"14736",2020-06-08,8,6,2020,197,53,"Italy","IT","ITA",60359546,"Europe",8.51563728
"14737",2020-06-07,7,6,2020,270,72,"Italy","IT","ITA",60359546,"Europe",9.06898803
"14738",2020-06-06,6,6,2020,518,85,"Italy","IT","ITA",60359546,"Europe",9.7300268
"14739",2020-06-05,5,6,2020,177,88,"Italy","IT","ITA",60359546,"Europe",9.95202979
"14740",2020-06-04,4,6,2020,321,71,"Italy","IT","ITA",60359546,"Europe",10.72241332
"14741",2020-06-03,3,6,2020,318,55,"Italy","IT","ITA",60359546,"Europe",11.29233146
"14742",2020-06-02,2,6,2020,178,60,"Italy","IT","ITA",60359546,"Europe",12.11241715
"14743",2020-06-01,1,6,2020,355,75,"Italy","IT","ITA",60359546,"Europe",12.56470683
"14744",2020-05-31,31,5,2020,416,111,"Italy","IT","ITA",60359546,"Europe",13.09486324
"14745",2020-05-30,30,5,2020,516,87,"Italy","IT","ITA",60359546,"Europe",13.85530633
"14746",2020-05-29,29,5,2020,593,70,"Italy","IT","ITA",60359546,"Europe",14.30759602
"14747",2020-05-28,28,5,2020,584,117,"Italy","IT","ITA",60359546,"Europe",14.96863479
"14748",2020-05-27,27,5,2020,397,78,"Italy","IT","ITA",60359546,"Europe",15.47228337
"14749",2020-05-26,26,5,2020,300,92,"Italy","IT","ITA",60359546,"Europe",17.13730584
"14750",2020-05-25,25,5,2020,531,50,"Italy","IT","ITA",60359546,"Europe",17.87289785
"14751",2020-05-24,24,5,2020,669,119,"Italy","IT","ITA",60359546,"Europe",18.32187406
"14752",2020-05-23,23,5,2020,652,130,"Italy","IT","ITA",60359546,"Europe",19.00776391
"14753",2020-05-22,22,5,2020,642,156,"Italy","IT","ITA",60359546,"Europe",20.12606258
"14754",2020-05-21,21,5,2020,665,161,"Italy","IT","ITA",60359546,"Europe",21.3835273
"14755",2020-05-20,20,5,2020,813,162,"Italy","IT","ITA",60359546,"Europe",22.67412681
"14756",2020-05-19,19,5,2020,451,99,"Italy","IT","ITA",60359546,"Europe",23.10819236
"14757",2020-05-18,18,5,2020,675,145,"Italy","IT","ITA",60359546,"Europe",24.38388122
"14758",2020-05-17,17,5,2020,875,153,"Italy","IT","ITA",60359546,"Europe",25.5667927
"14759",2020-05-16,16,5,2020,789,242,"Italy","IT","ITA",60359546,"Europe",27.26494994
"14760",2020-05-15,15,5,2020,992,262,"Italy","IT","ITA",60359546,"Europe",29.21327473
"14761",2020-05-14,14,5,2020,888,195,"Italy","IT","ITA",60359546,"Europe",30.67120485
"14762",2020-05-13,13,5,2020,1402,172,"Italy","IT","ITA",60359546,"Europe",32.6559779
"14763",2020-05-12,12,5,2020,744,179,"Italy","IT","ITA",60359546,"Europe",33.79747091
"14764",2020-05-11,11,5,2020,802,165,"Italy","IT","ITA",60359546,"Europe",35.44592598
"14765",2020-05-10,10,5,2020,1083,194,"Italy","IT","ITA",60359546,"Europe",37.96748239
"14766",2020-05-09,9,5,2020,1327,243,"Italy","IT","ITA",60359546,"Europe",40.07816759
"14767",2020-05-08,8,5,2020,1401,274,"Italy","IT","ITA",60359546,"Europe",42.88468306
"14768",2020-05-07,7,5,2020,1444,369,"Italy","IT","ITA",60359546,"Europe",44.94732283
"14769",2020-05-06,6,5,2020,1075,236,"Italy","IT","ITA",60359546,"Europe",48.1382017
"14770",2020-05-05,5,5,2020,1221,195,"Italy","IT","ITA",60359546,"Europe",50.87844763
"14771",2020-05-04,4,5,2020,1389,174,"Italy","IT","ITA",60359546,"Europe",52.59317225
"14772",2020-05-03,3,5,2020,1900,474,"Italy","IT","ITA",60359546,"Europe",55.34004514
"14773",2020-05-02,2,5,2020,1965,269,"Italy","IT","ITA",60359546,"Europe",57.97591652
"14774",2020-05-01,1,5,2020,1872,285,"Italy","IT","ITA",60359546,"Europe",60.50741336
"14775",2020-04-30,30,4,2020,2086,323,"Italy","IT","ITA",60359546,"Europe",63.67841137
"14776",2020-04-29,29,4,2020,2091,382,"Italy","IT","ITA",60359546,"Europe",64.64097659
"14777",2020-04-28,28,4,2020,1739,333,"Italy","IT","ITA",60359546,"Europe",66.10056345
"14778",2020-04-27,27,4,2020,2324,260,"Italy","IT","ITA",60359546,"Europe",68.44319207
"14779",2020-04-26,26,4,2020,2357,415,"Italy","IT","ITA",60359546,"Europe",71.37230621
"14780",2020-04-25,25,4,2020,3021,420,"Italy","IT","ITA",60359546,"Europe",75.24410472
"14781",2020-04-24,24,4,2020,2646,464,"Italy","IT","ITA",60359546,"Europe",76.78487177
"14782",2020-04-23,23,4,2020,3370,437,"Italy","IT","ITA",60359546,"Europe",79.36607078
"14783",2020-04-22,22,4,2020,2729,534,"Italy","IT","ITA",60359546,"Europe",80.13811105
"14784",2020-04-21,21,4,2020,2256,454,"Italy","IT","ITA",60359546,"Europe",80.65170006
"14785",2020-04-20,20,4,2020,3047,433,"Italy","IT","ITA",60359546,"Europe",82.87670023
"14786",2020-04-19,19,4,2020,3491,480,"Italy","IT","ITA",60359546,"Europe",84.97910173
"14787",2020-04-18,18,4,2020,3493,575,"Italy","IT","ITA",60359546,"Europe",87.15605648
"14788",2020-04-17,17,4,2020,3786,525,"Italy","IT","ITA",60359546,"Europe",88.96521521
"14789",2020-04-16,16,4,2020,2667,578,"Italy","IT","ITA",60359546,"Europe",90.42645881
"14790",2020-04-15,15,4,2020,2972,604,"Italy","IT","ITA",60359546,"Europe",93.93046131
"14791",2020-04-14,14,4,2020,3153,564,"Italy","IT","ITA",60359546,"Europe",95.72139592
"14792",2020-04-13,13,4,2020,4092,431,"Italy","IT","ITA",60359546,"Europe",97.20749059
"14793",2020-04-12,12,4,2020,4694,619,"Italy","IT","ITA",60359546,"Europe",99.07132171
"14794",2020-04-11,11,4,2020,3951,570,"Italy","IT","ITA",60359546,"Europe",101.19194734
"14795",2020-04-10,10,4,2020,4204,612,"Italy","IT","ITA",60359546,"Europe",104.51867879
"14796",2020-04-09,9,4,2020,3836,540,"Italy","IT","ITA",60359546,"Europe",107.74766265
"14797",2020-04-08,8,4,2020,3039,604,"Italy","IT","ITA",60359546,"Europe",110.02402172
"14798",2020-04-07,7,4,2020,3599,636,"Italy","IT","ITA",60359546,"Europe",113.6854144
"14799",2020-04-06,6,4,2020,4316,527,"Italy","IT","ITA",60359546,"Europe",115.65693354
"14800",2020-04-05,5,4,2020,4805,681,"Italy","IT","ITA",60359546,"Europe",117.71791657
"14801",2020-04-04,4,4,2020,4585,764,"Italy","IT","ITA",60359546,"Europe",120.62052289
"14802",2020-04-03,3,4,2020,4668,760,"Italy","IT","ITA",60359546,"Europe",122.94161391
"14803",2020-04-02,2,4,2020,4782,727,"Italy","IT","ITA",60359546,"Europe",124.02512106
"14804",2020-04-01,1,4,2020,4053,839,"Italy","IT","ITA",60359546,"Europe",123.07249627
"14805",2020-03-31,31,3,2020,4050,810,"Italy","IT","ITA",60359546,"Europe",122.19939494
"14806",2020-03-30,30,3,2020,5217,758,"Italy","IT","ITA",60359546,"Europe",122.116558
"14807",2020-03-29,29,3,2020,5974,887,"Italy","IT","ITA",60359546,"Europe",118.15032539
"14808",2020-03-28,28,3,2020,5959,971,"Italy","IT","ITA",60359546,"Europe",114.04658345
"14809",2020-03-27,27,3,2020,6153,660,"Italy","IT","ITA",60359546,"Europe",108.39379077
"14810",2020-03-26,26,3,2020,5210,685,"Italy","IT","ITA",60359546,"Europe",102.5918916
"14811",2020-03-25,25,3,2020,5249,743,"Italy","IT","ITA",60359546,"Europe",97.79231938
"14812",2020-03-24,24,3,2020,4789,601,"Italy","IT","ITA",60359546,"Europe",90.71473135
"14813",2020-03-23,23,3,2020,5560,649,"Italy","IT","ITA",60359546,"Europe",85.75776895
"14814",2020-03-22,22,3,2020,6557,795,"Italy","IT","ITA",60359546,"Europe",79.01815564
"14815",2020-03-21,21,3,2020,5986,625,"Italy","IT","ITA",60359546,"Europe",70.22087277
"14816",2020-03-20,20,3,2020,5322,429,"Italy","IT","ITA",60359546,"Europe",61.59257725
"14817",2020-03-19,19,3,2020,4207,473,"Italy","IT","ITA",60359546,"Europe",54.04944563
"14818",2020-03-18,18,3,2020,3526,347,"Italy","IT","ITA",60359546,"Europe",48.05205129
"14819",2020-03-17,17,3,2020,4000,347,"Italy","IT","ITA",60359546,"Europe",42.98243065
"14820",2020-03-16,16,3,2020,2823,370,"Italy","IT","ITA",60359546,"Europe",36.93036392
"14821",2020-03-15,15,3,2020,3497,173,"Italy","IT","ITA",60359546,"Europe",33.18282083
"14822",2020-03-14,14,3,2020,2547,252,"Italy","IT","ITA",60359546,"Europe",27.78682265
"14823",2020-03-13,13,3,2020,2651,189,"Italy","IT","ITA",60359546,"Europe",23.96141283
"14824",2020-03-12,12,3,2020,2313,196,"Italy","IT","ITA",60359546,"Europe",19.98358304
"14825",2020-03-11,11,3,2020,977,167,"Italy","IT","ITA",60359546,"Europe",16.28077189
"14826",2020-03-10,10,3,2020,1797,98,"Italy","IT","ITA",60359546,"Europe",14.81621482
"14827",2020-03-09,9,3,2020,1492,133,"Italy","IT","ITA",60359546,"Europe",11.99975891
"14828",2020-03-08,8,3,2020,1247,36,"Italy","IT","ITA",60359546,"Europe",9.61571182
"14829",2020-03-07,7,3,2020,778,49,"Italy","IT","ITA",60359546,"Europe",7.65247638
