"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"14600",2020-07-17,17,7,2020,2,0,"Jamaica","JM","JAM",2948277,"America",1.69590578
"14601",2020-07-16,16,7,2020,1,0,"Jamaica","JM","JAM",2948277,"America",1.89941447
"14602",2020-07-15,15,7,2020,3,0,"Jamaica","JM","JAM",2948277,"America",2.03508693
"14603",2020-07-14,14,7,2020,1,0,"Jamaica","JM","JAM",2948277,"America",2.06900505
"14604",2020-07-13,13,7,2020,0,0,"Jamaica","JM","JAM",2948277,"America",2.10292316
"14605",2020-07-12,12,7,2020,5,0,"Jamaica","JM","JAM",2948277,"America",2.30643186
"14606",2020-07-11,11,7,2020,0,0,"Jamaica","JM","JAM",2948277,"America",2.27251374
"14607",2020-07-10,10,7,2020,2,0,"Jamaica","JM","JAM",2948277,"America",2.34034997
"14608",2020-07-09,9,7,2020,6,0,"Jamaica","JM","JAM",2948277,"America",2.47602244
"14609",2020-07-08,8,7,2020,8,0,"Jamaica","JM","JAM",2948277,"America",2.54385867
"14610",2020-07-07,7,7,2020,5,0,"Jamaica","JM","JAM",2948277,"America",2.44210432
"14611",2020-07-06,6,7,2020,4,0,"Jamaica","JM","JAM",2948277,"America",2.47602244
"14612",2020-07-05,5,7,2020,7,0,"Jamaica","JM","JAM",2948277,"America",2.40818621
"14613",2020-07-04,4,7,2020,6,0,"Jamaica","JM","JAM",2948277,"America",2.34034997
"14614",2020-07-03,3,7,2020,8,0,"Jamaica","JM","JAM",2948277,"America",3.01871229
"14615",2020-07-02,2,7,2020,5,0,"Jamaica","JM","JAM",2948277,"America",2.74736736
"14616",2020-07-01,1,7,2020,4,0,"Jamaica","JM","JAM",2948277,"America",2.74736736
"14617",2020-06-30,30,6,2020,2,0,"Jamaica","JM","JAM",2948277,"America",2.6116949
"14618",2020-06-29,29,6,2020,6,0,"Jamaica","JM","JAM",2948277,"America",2.67953113
"14619",2020-06-28,28,6,2020,4,0,"Jamaica","JM","JAM",2948277,"America",2.54385867
"14620",2020-06-27,27,6,2020,2,0,"Jamaica","JM","JAM",2948277,"America",2.44210432
"14621",2020-06-26,26,6,2020,6,0,"Jamaica","JM","JAM",2948277,"America",2.47602244
"14622",2020-06-25,25,6,2020,8,0,"Jamaica","JM","JAM",2948277,"America",2.47602244
"14623",2020-06-24,24,6,2020,5,0,"Jamaica","JM","JAM",2948277,"America",2.20467751
"14624",2020-06-23,23,6,2020,6,0,"Jamaica","JM","JAM",2948277,"America",2.23859563
"14625",2020-06-22,22,6,2020,2,0,"Jamaica","JM","JAM",2948277,"America",2.06900505
"14626",2020-06-21,21,6,2020,5,0,"Jamaica","JM","JAM",2948277,"America",2.06900505
"14627",2020-06-20,20,6,2020,26,0,"Jamaica","JM","JAM",2948277,"America",1.93333259
"14628",2020-06-19,19,6,2020,0,0,"Jamaica","JM","JAM",2948277,"America",1.18713404
"14629",2020-06-18,18,6,2020,5,0,"Jamaica","JM","JAM",2948277,"America",1.22105216
"14630",2020-06-17,17,6,2020,0,0,"Jamaica","JM","JAM",2948277,"America",1.05146158
"14631",2020-06-16,16,6,2020,4,0,"Jamaica","JM","JAM",2948277,"America",1.11929781
"14632",2020-06-15,15,6,2020,2,0,"Jamaica","JM","JAM",2948277,"America",1.05146158
"14633",2020-06-14,14,6,2020,1,0,"Jamaica","JM","JAM",2948277,"America",1.15321593
"14634",2020-06-13,13,6,2020,3,0,"Jamaica","JM","JAM",2948277,"America",1.32280651
"14635",2020-06-12,12,6,2020,6,0,"Jamaica","JM","JAM",2948277,"America",1.42456085
"14636",2020-06-11,11,6,2020,0,0,"Jamaica","JM","JAM",2948277,"America",1.22105216
"14637",2020-06-10,10,6,2020,6,0,"Jamaica","JM","JAM",2948277,"America",1.39064274
"14638",2020-06-09,9,6,2020,1,0,"Jamaica","JM","JAM",2948277,"America",1.45847897
"14639",2020-06-08,8,6,2020,2,0,"Jamaica","JM","JAM",2948277,"America",1.56023332
