"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"15230",2020-07-20,20,7,2020,0,0,"Jersey","JE","JEY",107796,"Europe",10.20446028
"15231",2020-07-19,19,7,2020,0,0,"Jersey","JE","JEY",107796,"Europe",10.20446028
"15232",2020-07-18,18,7,2020,0,0,"Jersey","JE","JEY",107796,"Europe",10.20446028
"15233",2020-07-17,17,7,2020,2,0,"Jersey","JE","JEY",107796,"Europe",10.20446028
"15234",2020-07-16,16,7,2020,0,0,"Jersey","JE","JEY",107796,"Europe",9.27678207
"15235",2020-07-15,15,7,2020,0,0,"Jersey","JE","JEY",107796,"Europe",9.27678207
"15236",2020-07-14,14,7,2020,4,0,"Jersey","JE","JEY",107796,"Europe",9.27678207
"15237",2020-07-13,13,7,2020,0,0,"Jersey","JE","JEY",107796,"Europe",5.56606924
"15238",2020-07-12,12,7,2020,0,0,"Jersey","JE","JEY",107796,"Europe",5.56606924
"15239",2020-07-11,11,7,2020,0,0,"Jersey","JE","JEY",107796,"Europe",5.56606924
"15240",2020-07-10,10,7,2020,0,0,"Jersey","JE","JEY",107796,"Europe",5.56606924
"15241",2020-07-09,9,7,2020,0,0,"Jersey","JE","JEY",107796,"Europe",5.56606924
"15242",2020-07-08,8,7,2020,0,0,"Jersey","JE","JEY",107796,"Europe",6.49374745
"15243",2020-07-07,7,7,2020,5,0,"Jersey","JE","JEY",107796,"Europe",6.49374745
"15244",2020-07-06,6,7,2020,0,0,"Jersey","JE","JEY",107796,"Europe",1.85535641
"15245",2020-07-05,5,7,2020,0,0,"Jersey","JE","JEY",107796,"Europe",1.85535641
"15246",2020-07-04,4,7,2020,0,0,"Jersey","JE","JEY",107796,"Europe",1.85535641
"15247",2020-07-03,3,7,2020,1,0,"Jersey","JE","JEY",107796,"Europe",1.85535641
"15248",2020-07-02,2,7,2020,0,0,"Jersey","JE","JEY",107796,"Europe",0.92767821
