"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"14537",2020-07-12,12,7,2020,3,0,"Jordan","JO","JOR",10101697,"Asia",0.64345624
"14538",2020-07-11,11,7,2020,4,0,"Jordan","JO","JOR",10101697,"Asia",0.68305355
"14539",2020-07-10,10,7,2020,0,0,"Jordan","JO","JOR",10101697,"Asia",0.82164413
"14540",2020-07-09,9,7,2020,0,0,"Jordan","JO","JOR",10101697,"Asia",0.97013403
"14541",2020-07-08,8,7,2020,2,0,"Jordan","JO","JOR",10101697,"Asia",1.20771787
"14542",2020-07-07,7,7,2020,3,0,"Jordan","JO","JOR",10101697,"Asia",1.23741585
"14543",2020-07-06,6,7,2020,14,0,"Jordan","JO","JOR",10101697,"Asia",1.29681181
"14544",2020-07-05,5,7,2020,3,0,"Jordan","JO","JOR",10101697,"Asia",1.33640912
"14545",2020-07-04,4,7,2020,11,1,"Jordan","JO","JOR",10101697,"Asia",1.37600643
"14546",2020-07-03,3,7,2020,3,0,"Jordan","JO","JOR",10101697,"Asia",1.33640912
"14547",2020-07-02,2,7,2020,1,0,"Jordan","JO","JOR",10101697,"Asia",1.44530172
"14548",2020-07-01,1,7,2020,4,0,"Jordan","JO","JOR",10101697,"Asia",1.49479835
"14549",2020-06-30,30,6,2020,7,0,"Jordan","JO","JOR",10101697,"Asia",1.4749997
"14550",2020-06-29,29,6,2020,10,0,"Jordan","JO","JOR",10101697,"Asia",1.58389229
"14551",2020-06-28,28,6,2020,7,0,"Jordan","JO","JOR",10101697,"Asia",1.56409364
"14552",2020-06-27,27,6,2020,18,0,"Jordan","JO","JOR",10101697,"Asia",1.87097277
"14553",2020-06-26,26,6,2020,15,0,"Jordan","JO","JOR",10101697,"Asia",1.94026806
"14554",2020-06-25,25,6,2020,24,0,"Jordan","JO","JOR",10101697,"Asia",2.05905998
"14555",2020-06-24,24,6,2020,5,0,"Jordan","JO","JOR",10101697,"Asia",1.99966402
"14556",2020-06-23,23,6,2020,9,0,"Jordan","JO","JOR",10101697,"Asia",2.08875796
"14557",2020-06-22,22,6,2020,18,0,"Jordan","JO","JOR",10101697,"Asia",2.22734853
"14558",2020-06-21,21,6,2020,7,0,"Jordan","JO","JOR",10101697,"Asia",2.1778519
"14559",2020-06-20,20,6,2020,7,0,"Jordan","JO","JOR",10101697,"Asia",2.21744921
"14560",2020-06-19,19,6,2020,14,0,"Jordan","JO","JOR",10101697,"Asia",2.33624113
"14561",2020-06-18,18,6,2020,6,0,"Jordan","JO","JOR",10101697,"Asia",2.27684517
"14562",2020-06-17,17,6,2020,2,0,"Jordan","JO","JOR",10101697,"Asia",2.23724786
"14563",2020-06-16,16,6,2020,18,0,"Jordan","JO","JOR",10101697,"Asia",2.30654315
"14564",2020-06-15,15,6,2020,8,0,"Jordan","JO","JOR",10101697,"Asia",2.19765055
"14565",2020-06-14,14,6,2020,38,0,"Jordan","JO","JOR",10101697,"Asia",2.16795257
"14566",2020-06-13,13,6,2020,25,0,"Jordan","JO","JOR",10101697,"Asia",1.83137546
"14567",2020-06-12,12,6,2020,27,0,"Jordan","JO","JOR",10101697,"Asia",1.60369094
"14568",2020-06-11,11,6,2020,18,0,"Jordan","JO","JOR",10101697,"Asia",1.41560373
