"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"14659",2020-07-12,12,7,2020,1798,0,"Kazakhstan","KZ","KAZ",18551428,"Asia",201.99523185
"14660",2020-07-11,11,7,2020,1708,0,"Kazakhstan","KZ","KAZ",18551428,"Asia",194.78823948
"14661",2020-07-10,10,7,2020,1726,0,"Kazakhstan","KZ","KAZ",18551428,"Asia",188.6485504
"14662",2020-07-09,9,7,2020,1962,0,"Kazakhstan","KZ","KAZ",18551428,"Asia",181.85123
"14663",2020-07-08,8,7,2020,1376,0,"Kazakhstan","KZ","KAZ",18551428,"Asia",174.07824346
"14664",2020-07-07,7,7,2020,1109,76,"Kazakhstan","KZ","KAZ",18551428,"Asia",169.5395093
"14665",2020-07-06,6,7,2020,1403,0,"Kazakhstan","KZ","KAZ",18551428,"Asia",166.25135273
"14666",2020-07-05,5,7,2020,1452,0,"Kazakhstan","KZ","KAZ",18551428,"Asia",161.42153585
"14667",2020-07-04,4,7,2020,1644,0,"Kazakhstan","KZ","KAZ",18551428,"Asia",155.99877271
"14668",2020-07-03,3,7,2020,1501,0,"Kazakhstan","KZ","KAZ",18551428,"Asia",149.44402124
"14669",2020-07-02,2,7,2020,1509,0,"Kazakhstan","KZ","KAZ",18551428,"Asia",143.90805926
"14670",2020-07-01,1,7,2020,19246,0,"Kazakhstan","KZ","KAZ",18551428,"Asia",137.57970545
"14671",2020-06-30,30,6,2020,492,5,"Kazakhstan","KZ","KAZ",18551428,"Asia",35.72231744
"14672",2020-06-29,29,6,2020,547,10,"Kazakhstan","KZ","KAZ",18551428,"Asia",35.13476159
"14673",2020-06-28,28,6,2020,461,23,"Kazakhstan","KZ","KAZ",18551428,"Asia",33.87340317
"14674",2020-06-27,27,6,2020,569,3,"Kazakhstan","KZ","KAZ",18551428,"Asia",32.77914778
"14675",2020-06-26,26,6,2020,465,11,"Kazakhstan","KZ","KAZ",18551428,"Asia",31.6848924
"14676",2020-06-25,25,6,2020,520,2,"Kazakhstan","KZ","KAZ",18551428,"Asia",30.87093888
"14677",2020-06-24,24,6,2020,534,7,"Kazakhstan","KZ","KAZ",18551428,"Asia",29.35623069
"14678",2020-06-23,23,6,2020,499,7,"Kazakhstan","KZ","KAZ",18551428,"Asia",27.79839913
"14679",2020-06-22,22,6,2020,507,2,"Kazakhstan","KZ","KAZ",18551428,"Asia",26.26751968
"14680",2020-06-21,21,6,2020,446,5,"Kazakhstan","KZ","KAZ",18551428,"Asia",24.42399582
"14681",2020-06-20,20,6,2020,428,8,"Kazakhstan","KZ","KAZ",18551428,"Asia",23.0063152
"14682",2020-06-19,19,6,2020,474,5,"Kazakhstan","KZ","KAZ",18551428,"Asia",21.77190888
"14683",2020-06-18,18,6,2020,335,12,"Kazakhstan","KZ","KAZ",18551428,"Asia",20.53750256
"14684",2020-06-17,17,6,2020,350,7,"Kazakhstan","KZ","KAZ",18551428,"Asia",20.19251564
"14685",2020-06-16,16,6,2020,383,4,"Kazakhstan","KZ","KAZ",18551428,"Asia",19.51871306
"14686",2020-06-15,15,6,2020,313,4,"Kazakhstan","KZ","KAZ",18551428,"Asia",18.87186259
"14687",2020-06-14,14,6,2020,258,3,"Kazakhstan","KZ","KAZ",18551428,"Asia",19.61035021
"14688",2020-06-13,13,6,2020,366,3,"Kazakhstan","KZ","KAZ",18551428,"Asia",20.78546191
"14689",2020-06-12,12,6,2020,314,0,"Kazakhstan","KZ","KAZ",18551428,"Asia",21.23825724
"14690",2020-06-11,11,6,2020,239,6,"Kazakhstan","KZ","KAZ",18551428,"Asia",21.4646549
"14691",2020-06-10,10,6,2020,245,3,"Kazakhstan","KZ","KAZ",18551428,"Asia",21.64253878
"14692",2020-06-09,9,6,2020,215,2,"Kazakhstan","KZ","KAZ",18551428,"Asia",22.12767664
"14693",2020-06-08,8,6,2020,165,3,"Kazakhstan","KZ","KAZ",18551428,"Asia",23.32974044
"14694",2020-06-07,7,6,2020,183,1,"Kazakhstan","KZ","KAZ",18551428,"Asia",23.56691895
"14695",2020-06-06,6,6,2020,199,0,"Kazakhstan","KZ","KAZ",18551428,"Asia",24.75281148
"14696",2020-06-05,5,6,2020,245,4,"Kazakhstan","KZ","KAZ",18551428,"Asia",25.41583322
"14697",2020-06-04,4,6,2020,271,4,"Kazakhstan","KZ","KAZ",18551428,"Asia",26.05190285
"14698",2020-06-03,3,6,2020,225,3,"Kazakhstan","KZ","KAZ",18551428,"Asia",26.01956033
"14699",2020-06-02,2,6,2020,263,0,"Kazakhstan","KZ","KAZ",18551428,"Asia",25.98182738
"14700",2020-06-01,1,6,2020,450,3,"Kazakhstan","KZ","KAZ",18551428,"Asia",26.24056757
"14701",2020-05-31,31,5,2020,476,1,"Kazakhstan","KZ","KAZ",18551428,"Asia",25.34036733
"14702",2020-05-30,30,5,2020,450,0,"Kazakhstan","KZ","KAZ",18551428,"Asia",24.42938624
"14703",2020-05-29,29,5,2020,356,0,"Kazakhstan","KZ","KAZ",18551428,"Asia",23.50762432
"14704",2020-05-28,28,5,2020,272,0,"Kazakhstan","KZ","KAZ",18551428,"Asia",21.58863458
"14705",2020-05-27,27,5,2020,335,2,"Kazakhstan","KZ","KAZ",18551428,"Asia",20.95256495
"14706",2020-05-26,26,5,2020,438,0,"Kazakhstan","KZ","KAZ",18551428,"Asia",20.10087849
"14707",2020-05-25,25,5,2020,209,0,"Kazakhstan","KZ","KAZ",18551428,"Asia",18.35438221
"14708",2020-05-24,24,5,2020,403,0,"Kazakhstan","KZ","KAZ",18551428,"Asia",17.71292215
"14709",2020-05-23,23,5,2020,322,0,"Kazakhstan","KZ","KAZ",18551428,"Asia",16.62944761
"14710",2020-05-22,22,5,2020,363,0,"Kazakhstan","KZ","KAZ",18551428,"Asia",15.66995274
"14711",2020-05-21,21,5,2020,265,0,"Kazakhstan","KZ","KAZ",18551428,"Asia",14.72662913
"14712",2020-05-20,20,5,2020,218,0,"Kazakhstan","KZ","KAZ",18551428,"Asia",14.51101231
"14713",2020-05-19,19,5,2020,311,1,"Kazakhstan","KZ","KAZ",18551428,"Asia",14.17680623
"14714",2020-05-18,18,5,2020,283,0,"Kazakhstan","KZ","KAZ",18551428,"Asia",13.34668145
"14715",2020-05-17,17,5,2020,307,0,"Kazakhstan","KZ","KAZ",18551428,"Asia",12.29015901
"14716",2020-05-16,16,5,2020,279,2,"Kazakhstan","KZ","KAZ",18551428,"Asia",11.74572653
