"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"15507",2020-07-19,19,7,2020,688,3,"Kenya","KE","KEN",52573967,"Africa",9.83947055
"15508",2020-07-18,18,7,2020,389,9,"Kenya","KE","KEN",52573967,"Africa",9.27074801
"15509",2020-07-17,17,7,2020,421,4,"Kenya","KE","KEN",52573967,"Africa",9.00065236
"15510",2020-07-16,16,7,2020,461,7,"Kenya","KE","KEN",52573967,"Africa",8.7096338
"15511",2020-07-15,15,7,2020,497,5,"Kenya","KE","KEN",52573967,"Africa",8.41671316
"15512",2020-07-14,14,7,2020,189,12,"Kenya","KE","KEN",52573967,"Africa",7.80614482
"15513",2020-07-13,13,7,2020,379,1,"Kenya","KE","KEN",52573967,"Africa",7.67490115
"15514",2020-07-12,12,7,2020,278,3,"Kenya","KE","KEN",52573967,"Africa",7.44665131
"15515",2020-07-11,11,7,2020,473,8,"Kenya","KE","KEN",52573967,"Africa",7.44665131
"15516",2020-07-10,10,7,2020,447,4,"Kenya","KE","KEN",52573967,"Africa",6.83037671
"15517",2020-07-09,9,7,2020,278,2,"Kenya","KE","KEN",52573967,"Africa",6.31871664
"15518",2020-07-08,8,7,2020,183,3,"Kenya","KE","KEN",52573967,"Africa",6.27306667
"15519",2020-07-07,7,7,2020,181,4,"Kenya","KE","KEN",52573967,"Africa",6.21980837
"15520",2020-07-06,6,7,2020,309,1,"Kenya","KE","KEN",52573967,"Africa",5.98775436
"15521",2020-07-05,5,7,2020,389,5,"Kenya","KE","KEN",52573967,"Africa",5.89455234
"15522",2020-07-04,4,7,2020,247,2,"Kenya","KE","KEN",52573967,"Africa",5.35245895
"15523",2020-07-03,3,7,2020,268,3,"Kenya","KE","KEN",52573967,"Africa",5.10518828
"15524",2020-07-02,2,7,2020,307,1,"Kenya","KE","KEN",52573967,"Africa",5.00057376
"15525",2020-07-01,1,7,2020,176,4,"Kenya","KE","KEN",52573967,"Africa",4.76661767
"15526",2020-06-30,30,6,2020,120,1,"Kenya","KE","KEN",52573967,"Africa",4.68482814
