"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"15425",2020-07-17,17,7,2020,0,0,"Kosovo","XK","XKX",1798506,"Europe",120.8225049
"15426",2020-07-16,16,7,2020,119,4,"Kosovo","XK","XKX",1798506,"Europe",124.88142936
"15427",2020-07-15,15,7,2020,0,0,"Kosovo","XK","XKX",1798506,"Europe",124.54781913
"15428",2020-07-14,14,7,2020,187,6,"Kosovo","XK","XKX",1798506,"Europe",128.94035383
"15429",2020-07-13,13,7,2020,216,1,"Kosovo","XK","XKX",1798506,"Europe",125.326243
"15430",2020-07-12,12,7,2020,408,7,"Kosovo","XK","XKX",1798506,"Europe",118.15362306
"15431",2020-07-11,11,7,2020,207,8,"Kosovo","XK","XKX",1798506,"Europe",100.80589111
"15432",2020-07-10,10,7,2020,214,4,"Kosovo","XK","XKX",1798506,"Europe",92.74364389
"15433",2020-07-09,9,7,2020,183,3,"Kosovo","XK","XKX",1798506,"Europe",84.68139667
"15434",2020-07-08,8,7,2020,195,4,"Kosovo","XK","XKX",1798506,"Europe",79.78844663
"15435",2020-07-07,7,7,2020,152,9,"Kosovo","XK","XKX",1798506,"Europe",71.83740282
"15436",2020-07-06,6,7,2020,292,11,"Kosovo","XK","XKX",1798506,"Europe",65.9992238
"15437",2020-07-05,5,7,2020,0,0,"Kosovo","XK","XKX",1798506,"Europe",55.10128963
"15438",2020-07-04,4,7,2020,0,0,"Kosovo","XK","XKX",1798506,"Europe",59.2714175
"15439",2020-07-03,3,7,2020,73,1,"Kosovo","XK","XKX",1798506,"Europe",63.83075731
"15440",2020-07-02,2,7,2020,113,3,"Kosovo","XK","XKX",1798506,"Europe",64.38677436
"15441",2020-07-01,1,7,2020,79,2,"Kosovo","XK","XKX",1798506,"Europe",62.38511298
"15442",2020-06-30,30,6,2020,122,0,"Kosovo","XK","XKX",1798506,"Europe",65.83241869
"15443",2020-06-29,29,6,2020,87,1,"Kosovo","XK","XKX",1798506,"Europe",66.22163062
"15444",2020-06-28,28,6,2020,96,4,"Kosovo","XK","XKX",1798506,"Europe",64.10876583
"15445",2020-06-27,27,6,2020,62,2,"Kosovo","XK","XKX",1798506,"Europe",61.71789252
"15446",2020-06-26,26,6,2020,69,2,"Kosovo","XK","XKX",1798506,"Europe",61.4954857
"15447",2020-06-25,25,6,2020,95,2,"Kosovo","XK","XKX",1798506,"Europe",59.21581579
"15448",2020-06-24,24,6,2020,52,1,"Kosovo","XK","XKX",1798506,"Europe",55.54610327
"15449",2020-06-23,23,6,2020,47,1,"Kosovo","XK","XKX",1798506,"Europe",52.98842484
"15450",2020-06-22,22,6,2020,96,1,"Kosovo","XK","XKX",1798506,"Europe",51.98759415
"15451",2020-06-21,21,6,2020,75,1,"Kosovo","XK","XKX",1798506,"Europe",48.87389867
"15452",2020-06-20,20,6,2020,82,0,"Kosovo","XK","XKX",1798506,"Europe",46.70543218
"15453",2020-06-19,19,6,2020,83,0,"Kosovo","XK","XKX",1798506,"Europe",42.75771112
"15454",2020-06-18,18,6,2020,77,0,"Kosovo","XK","XKX",1798506,"Europe",38.42077813
"15455",2020-06-17,17,6,2020,141,1,"Kosovo","XK","XKX",1798506,"Europe",35.19587925
"15456",2020-06-16,16,6,2020,129,0,"Kosovo","XK","XKX",1798506,"Europe",28.07886101
"15457",2020-06-15,15,6,2020,49,1,"Kosovo","XK","XKX",1798506,"Europe",22.4074871
"15458",2020-06-14,14,6,2020,53,1,"Kosovo","XK","XKX",1798506,"Europe",20.40582572
"15459",2020-06-13,13,6,2020,58,0,"Kosovo","XK","XKX",1798506,"Europe",17.79254559
"15460",2020-06-12,12,6,2020,28,0,"Kosovo","XK","XKX",1798506,"Europe",15.23486716
"15461",2020-06-11,11,6,2020,29,0,"Kosovo","XK","XKX",1798506,"Europe",13.90042624
"15462",2020-06-10,10,6,2020,6,0,"Kosovo","XK","XKX",1798506,"Europe",12.3435785
"15463",2020-06-09,9,6,2020,29,0,"Kosovo","XK","XKX",1798506,"Europe",12.51038362
"15464",2020-06-08,8,6,2020,40,1,"Kosovo","XK","XKX",1798506,"Europe",11.2315444
"15465",2020-06-07,7,6,2020,36,0,"Kosovo","XK","XKX",1798506,"Europe",9.00747621
"15466",2020-06-06,6,6,2020,11,0,"Kosovo","XK","XKX",1798506,"Europe",7.39502676
"15467",2020-06-05,5,6,2020,5,0,"Kosovo","XK","XKX",1798506,"Europe",7.95104381
"15468",2020-06-04,4,6,2020,19,0,"Kosovo","XK","XKX",1798506,"Europe",7.72863699
"15469",2020-06-03,3,6,2020,13,0,"Kosovo","XK","XKX",1798506,"Europe",7.45062847
"15470",2020-06-02,2,6,2020,27,0,"Kosovo","XK","XKX",1798506,"Europe",6.78340801
"15471",2020-06-01,1,6,2020,13,0,"Kosovo","XK","XKX",1798506,"Europe",5.44896709
"15472",2020-05-31,31,5,2020,6,0,"Kosovo","XK","XKX",1798506,"Europe",5.11535686
"15473",2020-05-30,30,5,2020,12,0,"Kosovo","XK","XKX",1798506,"Europe",6.06058584
"15474",2020-05-29,29,5,2020,4,0,"Kosovo","XK","XKX",1798506,"Europe",5.94938243
"15475",2020-05-28,28,5,2020,1,0,"Kosovo","XK","XKX",1798506,"Europe",6.7278063
"15476",2020-05-27,27,5,2020,9,0,"Kosovo","XK","XKX",1798506,"Europe",7.11701824
