"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"17459",2020-08-04,4,8,2020,388,4,"Kuwait","KW","KWT",4207077,"Asia",202.89621512
"17460",2020-08-03,3,8,2020,463,4,"Kuwait","KW","KWT",4207077,"Asia",206.96079487
"17461",2020-08-02,2,8,2020,491,6,"Kuwait","KW","KWT",4207077,"Asia",203.08637089
"17462",2020-08-01,1,8,2020,428,2,"Kuwait","KW","KWT",4207077,"Asia",207.65010957
"17463",2020-07-31,31,7,2020,626,1,"Kuwait","KW","KWT",4207077,"Asia",210.6212936
"17464",2020-07-30,30,7,2020,754,2,"Kuwait","KW","KWT",4207077,"Asia",214.54325652
"17465",2020-07-29,29,7,2020,770,4,"Kuwait","KW","KWT",4207077,"Asia",213.33101343
"17466",2020-07-28,28,7,2020,606,5,"Kuwait","KW","KWT",4207077,"Asia",210.85898832
"17467",2020-07-27,27,7,2020,464,4,"Kuwait","KW","KWT",4207077,"Asia",211.0491441
"17468",2020-07-26,26,7,2020,684,4,"Kuwait","KW","KWT",4207077,"Asia",219.89138777
"17469",2020-07-25,25,7,2020,753,4,"Kuwait","KW","KWT",4207077,"Asia",214.99487649
"17470",2020-07-24,24,7,2020,687,4,"Kuwait","KW","KWT",4207077,"Asia",214.68587335
"17471",2020-07-23,23,7,2020,751,5,"Kuwait","KW","KWT",4207077,"Asia",218.1562163
"17472",2020-07-22,22,7,2020,671,4,"Kuwait","KW","KWT",4207077,"Asia",218.41768049
"17473",2020-07-21,21,7,2020,559,0,"Kuwait","KW","KWT",4207077,"Asia",216.75381744
"17474",2020-07-20,20,7,2020,300,1,"Kuwait","KW","KWT",4207077,"Asia",220.17662144
"17475",2020-07-19,19,7,2020,683,3,"Kuwait","KW","KWT",4207077,"Asia",228.21070306
"17476",2020-07-18,18,7,2020,553,2,"Kuwait","KW","KWT",4207077,"Asia",226.9746905
"17477",2020-07-17,17,7,2020,791,3,"Kuwait","KW","KWT",4207077,"Asia",233.15475329
"17478",2020-07-16,16,7,2020,703,3,"Kuwait","KW","KWT",4207077,"Asia",236.19724574
"17479",2020-07-15,15,7,2020,666,3,"Kuwait","KW","KWT",4207077,"Asia",237.19556357
"17480",2020-07-14,14,7,2020,614,3,"Kuwait","KW","KWT",4207077,"Asia",237.31441093
"17481",2020-07-13,13,7,2020,836,4,"Kuwait","KW","KWT",4207077,"Asia",236.55378782
"17482",2020-07-12,12,7,2020,478,3,"Kuwait","KW","KWT",4207077,"Asia",229.77948823
"17483",2020-07-11,11,7,2020,740,1,"Kuwait","KW","KWT",4207077,"Asia",234.7710774
"17484",2020-07-10,10,7,2020,833,3,"Kuwait","KW","KWT",4207077,"Asia",238.93073504
"17485",2020-07-09,9,7,2020,762,2,"Kuwait","KW","KWT",4207077,"Asia",240.73721494
"17486",2020-07-08,8,7,2020,601,4,"Kuwait","KW","KWT",4207077,"Asia",242.7338506
"17487",2020-07-07,7,7,2020,703,5,"Kuwait","KW","KWT",4207077,"Asia",246.08534619
"17488",2020-07-06,6,7,2020,638,3,"Kuwait","KW","KWT",4207077,"Asia",244.61163891
"17489",2020-07-05,5,7,2020,631,5,"Kuwait","KW","KWT",4207077,"Asia",241.4502991
"17490",2020-07-04,4,7,2020,813,1,"Kuwait","KW","KWT",4207077,"Asia",237.55210565
