"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"15329",2020-07-12,12,7,2020,0,0,"Laos","LA","LAO",7169456,"Asia",0
"15330",2020-07-11,11,7,2020,0,0,"Laos","LA","LAO",7169456,"Asia",0
"15331",2020-07-10,10,7,2020,0,0,"Laos","LA","LAO",7169456,"Asia",0
"15332",2020-07-09,9,7,2020,0,0,"Laos","LA","LAO",7169456,"Asia",0
"15333",2020-07-08,8,7,2020,0,0,"Laos","LA","LAO",7169456,"Asia",0
"15334",2020-07-07,7,7,2020,0,0,"Laos","LA","LAO",7169456,"Asia",0
"15335",2020-07-06,6,7,2020,0,0,"Laos","LA","LAO",7169456,"Asia",0
"15336",2020-07-05,5,7,2020,0,0,"Laos","LA","LAO",7169456,"Asia",0
"15337",2020-07-04,4,7,2020,0,0,"Laos","LA","LAO",7169456,"Asia",0
"15338",2020-07-03,3,7,2020,0,0,"Laos","LA","LAO",7169456,"Asia",0
"15339",2020-07-02,2,7,2020,0,0,"Laos","LA","LAO",7169456,"Asia",0
"15340",2020-07-01,1,7,2020,0,0,"Laos","LA","LAO",7169456,"Asia",0
"15341",2020-06-30,30,6,2020,0,0,"Laos","LA","LAO",7169456,"Asia",0
"15342",2020-06-29,29,6,2020,0,0,"Laos","LA","LAO",7169456,"Asia",0
"15343",2020-06-28,28,6,2020,0,0,"Laos","LA","LAO",7169456,"Asia",0
"15344",2020-06-27,27,6,2020,0,0,"Laos","LA","LAO",7169456,"Asia",0
"15345",2020-06-26,26,6,2020,0,0,"Laos","LA","LAO",7169456,"Asia",0
"15346",2020-06-25,25,6,2020,0,0,"Laos","LA","LAO",7169456,"Asia",0
"15347",2020-06-24,24,6,2020,0,0,"Laos","LA","LAO",7169456,"Asia",0
"15348",2020-06-23,23,6,2020,0,0,"Laos","LA","LAO",7169456,"Asia",0
"15349",2020-06-22,22,6,2020,0,0,"Laos","LA","LAO",7169456,"Asia",0
"15350",2020-06-21,21,6,2020,0,0,"Laos","LA","LAO",7169456,"Asia",0
