"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"15984",2020-07-17,17,7,2020,1,0,"Latvia","LV","LVA",1919968,"Europe",2.96879948
"15985",2020-07-16,16,7,2020,0,0,"Latvia","LV","LVA",1919968,"Europe",2.96879948
"15986",2020-07-15,15,7,2020,4,0,"Latvia","LV","LVA",1919968,"Europe",3.12505208
"15987",2020-07-14,14,7,2020,1,1,"Latvia","LV","LVA",1919968,"Europe",2.96879948
"15988",2020-07-13,13,7,2020,0,0,"Latvia","LV","LVA",1919968,"Europe",2.96879948
"15989",2020-07-12,12,7,2020,19,0,"Latvia","LV","LVA",1919968,"Europe",3.02088368
"15990",2020-07-11,11,7,2020,0,0,"Latvia","LV","LVA",1919968,"Europe",2.18753646
"15991",2020-07-10,10,7,2020,13,0,"Latvia","LV","LVA",1919968,"Europe",2.23962066
"15992",2020-07-09,9,7,2020,7,0,"Latvia","LV","LVA",1919968,"Europe",1.56252604
"15993",2020-07-08,8,7,2020,7,0,"Latvia","LV","LVA",1919968,"Europe",1.19793663
"15994",2020-07-07,7,7,2020,3,0,"Latvia","LV","LVA",1919968,"Europe",0.83334722
"15995",2020-07-06,6,7,2020,1,0,"Latvia","LV","LVA",1919968,"Europe",0.67709462
"15996",2020-07-05,5,7,2020,1,0,"Latvia","LV","LVA",1919968,"Europe",0.62501042
"15997",2020-07-04,4,7,2020,0,0,"Latvia","LV","LVA",1919968,"Europe",0.62501042
"15998",2020-07-03,3,7,2020,1,0,"Latvia","LV","LVA",1919968,"Europe",0.72917882
"15999",2020-07-02,2,7,2020,3,0,"Latvia","LV","LVA",1919968,"Europe",0.88543142
"16000",2020-07-01,1,7,2020,1,0,"Latvia","LV","LVA",1919968,"Europe",1.04168403
"16001",2020-06-30,30,6,2020,1,0,"Latvia","LV","LVA",1919968,"Europe",1.04168403
"16002",2020-06-29,29,6,2020,1,0,"Latvia","LV","LVA",1919968,"Europe",0.98959983
