"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"18097",2020-08-04,4,8,2020,177,3,"Lebanon","LB","LBN",6855709,"Asia",31.46282901
"18098",2020-08-03,3,8,2020,155,1,"Lebanon","LB","LBN",6855709,"Asia",29.55201278
"18099",2020-08-02,2,8,2020,175,0,"Lebanon","LB","LBN",6855709,"Asia",28.51637956
"18100",2020-08-01,1,8,2020,221,4,"Lebanon","LB","LBN",6855709,"Asia",27.05774122
"18101",2020-07-31,31,7,2020,129,2,"Lebanon","LB","LBN",6855709,"Asia",25.30737521
"18102",2020-07-30,30,7,2020,182,1,"Lebanon","LB","LBN",6855709,"Asia",24.25715561
"18103",2020-07-29,29,7,2020,141,3,"Lebanon","LB","LBN",6855709,"Asia",22.92979472
"18104",2020-07-28,28,7,2020,132,0,"Lebanon","LB","LBN",6855709,"Asia",21.33987892
"18105",2020-07-27,27,7,2020,168,4,"Lebanon","LB","LBN",6855709,"Asia",20.6543189
"18106",2020-07-26,26,7,2020,175,1,"Lebanon","LB","LBN",6855709,"Asia",20.62514614
"18107",2020-07-25,25,7,2020,147,3,"Lebanon","LB","LBN",6855709,"Asia",19.32695801
"18108",2020-07-24,24,7,2020,156,0,"Lebanon","LB","LBN",6855709,"Asia",18.21839288
"18109",2020-07-23,23,7,2020,124,2,"Lebanon","LB","LBN",6855709,"Asia",16.89103199
"18110",2020-07-22,22,7,2020,75,0,"Lebanon","LB","LBN",6855709,"Asia",15.6511894
"18111",2020-07-21,21,7,2020,46,1,"Lebanon","LB","LBN",6855709,"Asia",14.87811108
"18112",2020-07-20,20,7,2020,84,0,"Lebanon","LB","LBN",6855709,"Asia",14.38217404
"18113",2020-07-19,19,7,2020,75,0,"Lebanon","LB","LBN",6855709,"Asia",13.41947273
"18114",2020-07-18,18,7,2020,101,0,"Lebanon","LB","LBN",6855709,"Asia",12.69015356
"18115",2020-07-17,17,7,2020,57,2,"Lebanon","LB","LBN",6855709,"Asia",11.71286588
"18116",2020-07-16,16,7,2020,91,1,"Lebanon","LB","LBN",6855709,"Asia",10.99813309
"18117",2020-07-15,15,7,2020,32,1,"Lebanon","LB","LBN",6855709,"Asia",9.81663603
"18118",2020-07-14,14,7,2020,85,0,"Lebanon","LB","LBN",6855709,"Asia",9.83122242
"18119",2020-07-13,13,7,2020,166,0,"Lebanon","LB","LBN",6855709,"Asia",8.66431174
"18120",2020-07-12,12,7,2020,86,0,"Lebanon","LB","LBN",6855709,"Asia",6.54928615
"18121",2020-07-11,11,7,2020,71,0,"Lebanon","LB","LBN",6855709,"Asia",5.61575761
"18122",2020-07-10,10,7,2020,65,0,"Lebanon","LB","LBN",6855709,"Asia",5.09064781
"18123",2020-07-09,9,7,2020,39,0,"Lebanon","LB","LBN",6855709,"Asia",4.40508779
"18124",2020-07-08,8,7,2020,22,0,"Lebanon","LB","LBN",6855709,"Asia",4.15711927
"18125",2020-07-07,7,7,2020,12,0,"Lebanon","LB","LBN",6855709,"Asia",4.11336012
"18126",2020-07-06,6,7,2020,18,1,"Lebanon","LB","LBN",6855709,"Asia",4.17170565
"18127",2020-07-05,5,7,2020,25,0,"Lebanon","LB","LBN",6855709,"Asia",4.65305631
"18128",2020-07-04,4,7,2020,34,0,"Lebanon","LB","LBN",6855709,"Asia",4.66764269
"18129",2020-07-03,3,7,2020,8,1,"Lebanon","LB","LBN",6855709,"Asia",4.39050141
"18130",2020-07-02,2,7,2020,10,0,"Lebanon","LB","LBN",6855709,"Asia",4.36132864
"18131",2020-07-01,1,7,2020,33,0,"Lebanon","LB","LBN",6855709,"Asia",4.44884694
"18132",2020-06-30,30,6,2020,5,0,"Lebanon","LB","LBN",6855709,"Asia",4.09877374
"18133",2020-06-29,29,6,2020,21,1,"Lebanon","LB","LBN",6855709,"Asia",4.28839672
"18134",2020-06-28,28,6,2020,22,0,"Lebanon","LB","LBN",6855709,"Asia",4.0404282
"18135",2020-06-27,27,6,2020,35,0,"Lebanon","LB","LBN",6855709,"Asia",4.01125544
"18136",2020-06-26,26,6,2020,18,0,"Lebanon","LB","LBN",6855709,"Asia",3.79245969
"18137",2020-06-25,25,6,2020,22,1,"Lebanon","LB","LBN",6855709,"Asia",3.73411415
"18138",2020-06-24,24,6,2020,19,0,"Lebanon","LB","LBN",6855709,"Asia",3.70494139
"18139",2020-06-23,23,6,2020,16,0,"Lebanon","LB","LBN",6855709,"Asia",3.690355
"18140",2020-06-22,22,6,2020,51,0,"Lebanon","LB","LBN",6855709,"Asia",3.73411415
"18141",2020-06-21,21,6,2020,26,0,"Lebanon","LB","LBN",6855709,"Asia",3.15065882
"18142",2020-06-20,20,6,2020,15,0,"Lebanon","LB","LBN",6855709,"Asia",2.88810391
"18143",2020-06-19,19,6,2020,6,0,"Lebanon","LB","LBN",6855709,"Asia",2.75682646
"18144",2020-06-18,18,6,2020,16,0,"Lebanon","LB","LBN",6855709,"Asia",3.39862733
"18145",2020-06-17,17,6,2020,9,0,"Lebanon","LB","LBN",6855709,"Asia",3.36945457
"18146",2020-06-16,16,6,2020,18,0,"Lebanon","LB","LBN",6855709,"Asia",3.36945457
"18147",2020-06-15,15,6,2020,4,0,"Lebanon","LB","LBN",6855709,"Asia",3.29652265
"18148",2020-06-14,14,6,2020,20,1,"Lebanon","LB","LBN",6855709,"Asia",3.66118224
"18149",2020-06-13,13,6,2020,20,0,"Lebanon","LB","LBN",6855709,"Asia",3.64659585
"18150",2020-06-12,12,6,2020,14,1,"Lebanon","LB","LBN",6855709,"Asia",3.41321372
"18151",2020-06-11,11,6,2020,20,0,"Lebanon","LB","LBN",6855709,"Asia",3.31110903
