"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"18311",2020-08-04,4,8,2020,0,0,"Lesotho","LS","LSO",2125267,"Africa",16.89199522
"18312",2020-08-03,3,8,2020,16,5,"Lesotho","LS","LSO",2125267,"Africa",16.89199522
"18313",2020-08-02,2,8,2020,98,1,"Lesotho","LS","LSO",2125267,"Africa",16.13914863
"18314",2020-08-01,1,8,2020,0,0,"Lesotho","LS","LSO",2125267,"Africa",13.78650306
"18315",2020-07-31,31,7,2020,28,0,"Lesotho","LS","LSO",2125267,"Africa",16.37441319
"18316",2020-07-30,30,7,2020,71,1,"Lesotho","LS","LSO",2125267,"Africa",15.05693167
"18317",2020-07-29,29,7,2020,0,0,"Lesotho","LS","LSO",2125267,"Africa",12.23375698
"18318",2020-07-28,28,7,2020,59,1,"Lesotho","LS","LSO",2125267,"Africa",12.79839192
"18319",2020-07-27,27,7,2020,27,2,"Lesotho","LS","LSO",2125267,"Africa",10.02227014
"18320",2020-07-26,26,7,2020,60,3,"Lesotho","LS","LSO",2125267,"Africa",11.0574342
"18321",2020-07-25,25,7,2020,0,0,"Lesotho","LS","LSO",2125267,"Africa",10.58690508
"18322",2020-07-24,24,7,2020,0,0,"Lesotho","LS","LSO",2125267,"Africa",10.58690508
"18323",2020-07-23,23,7,2020,0,0,"Lesotho","LS","LSO",2125267,"Africa",12.61018027
"18324",2020-07-22,22,7,2020,0,0,"Lesotho","LS","LSO",2125267,"Africa",12.61018027
"18325",2020-07-21,21,7,2020,0,0,"Lesotho","LS","LSO",2125267,"Africa",12.61018027
"18326",2020-07-20,20,7,2020,0,0,"Lesotho","LS","LSO",2125267,"Africa",13.17481521
"18327",2020-07-19,19,7,2020,48,3,"Lesotho","LS","LSO",2125267,"Africa",15.24514332
"18328",2020-07-18,18,7,2020,55,0,"Lesotho","LS","LSO",2125267,"Africa",12.98660357
"18329",2020-07-17,17,7,2020,0,0,"Lesotho","LS","LSO",2125267,"Africa",10.39869343
"18330",2020-07-16,16,7,2020,11,0,"Lesotho","LS","LSO",2125267,"Africa",10.39869343
"18331",2020-07-15,15,7,2020,12,1,"Lesotho","LS","LSO",2125267,"Africa",10.2575347
"18332",2020-07-14,14,7,2020,0,0,"Lesotho","LS","LSO",2125267,"Africa",9.69289976
"18333",2020-07-13,13,7,2020,49,1,"Lesotho","LS","LSO",2125267,"Africa",9.69289976
"18334",2020-07-12,12,7,2020,50,0,"Lesotho","LS","LSO",2125267,"Africa",7.52846584
"18335",2020-07-11,11,7,2020,0,0,"Lesotho","LS","LSO",2125267,"Africa",5.17582026
"18336",2020-07-10,10,7,2020,43,1,"Lesotho","LS","LSO",2125267,"Africa",5.36403191
"18337",2020-07-09,9,7,2020,0,0,"Lesotho","LS","LSO",2125267,"Africa",3.48191545
"18338",2020-07-08,8,7,2020,0,0,"Lesotho","LS","LSO",2125267,"Africa",3.48191545
"18339",2020-07-07,7,7,2020,12,0,"Lesotho","LS","LSO",2125267,"Africa",4.0936033
"18340",2020-07-06,6,7,2020,44,0,"Lesotho","LS","LSO",2125267,"Africa",3.52896836
"18341",2020-07-05,5,7,2020,0,0,"Lesotho","LS","LSO",2125267,"Africa",1.45864026
"18342",2020-07-04,4,7,2020,0,0,"Lesotho","LS","LSO",2125267,"Africa",1.45864026
"18343",2020-07-03,3,7,2020,0,0,"Lesotho","LS","LSO",2125267,"Africa",1.45864026
"18344",2020-07-02,2,7,2020,8,0,"Lesotho","LS","LSO",2125267,"Africa",1.45864026
"18345",2020-07-01,1,7,2020,0,0,"Lesotho","LS","LSO",2125267,"Africa",1.08221696
"18346",2020-06-30,30,6,2020,0,0,"Lesotho","LS","LSO",2125267,"Africa",1.08221696
"18347",2020-06-29,29,6,2020,3,0,"Lesotho","LS","LSO",2125267,"Africa",1.08221696
"18348",2020-06-28,28,6,2020,0,0,"Lesotho","LS","LSO",2125267,"Africa",0.94105823
"18349",2020-06-27,27,6,2020,4,0,"Lesotho","LS","LSO",2125267,"Africa",0.94105823
"18350",2020-06-26,26,6,2020,3,0,"Lesotho","LS","LSO",2125267,"Africa",0.75284658
