"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"17385",2020-07-26,26,7,2020,20,0,"Liberia","LR","LBR",4937374,"Africa",3.17982798
"17386",2020-07-25,25,7,2020,18,0,"Liberia","LR","LBR",4937374,"Africa",3.4836332
"17387",2020-07-24,24,7,2020,3,1,"Liberia","LR","LBR",4937374,"Africa",3.24058903
"17388",2020-07-23,23,7,2020,6,0,"Liberia","LR","LBR",4937374,"Africa",3.80769211
"17389",2020-07-22,22,7,2020,1,0,"Liberia","LR","LBR",4937374,"Africa",3.86845315
"17390",2020-07-21,21,7,2020,16,0,"Liberia","LR","LBR",4937374,"Africa",4.37479518
"17391",2020-07-20,20,7,2020,3,0,"Liberia","LR","LBR",4937374,"Africa",4.39504887
"17392",2020-07-19,19,7,2020,3,1,"Liberia","LR","LBR",4937374,"Africa",4.43555623
"17393",2020-07-18,18,7,2020,15,1,"Liberia","LR","LBR",4937374,"Africa",5.10392772
"17394",2020-07-17,17,7,2020,14,2,"Liberia","LR","LBR",4937374,"Africa",5.08367403
"17395",2020-07-16,16,7,2020,32,15,"Liberia","LR","LBR",4937374,"Africa",5.10392772
"17396",2020-07-15,15,7,2020,0,0,"Liberia","LR","LBR",4937374,"Africa",4.94189826
"17397",2020-07-14,14,7,2020,14,0,"Liberia","LR","LBR",4937374,"Africa",5.14443508
"17398",2020-07-13,13,7,2020,12,4,"Liberia","LR","LBR",4937374,"Africa",4.9013909
"17399",2020-07-12,12,7,2020,35,0,"Liberia","LR","LBR",4937374,"Africa",5.4482403
"17400",2020-07-11,11,7,2020,6,5,"Liberia","LR","LBR",4937374,"Africa",5.65077711
"17401",2020-07-10,10,7,2020,31,1,"Liberia","LR","LBR",4937374,"Africa",5.59001607
"17402",2020-07-09,9,7,2020,9,0,"Liberia","LR","LBR",4937374,"Africa",5.34697189
"17403",2020-07-08,8,7,2020,26,2,"Liberia","LR","LBR",4937374,"Africa",5.36722557
"17404",2020-07-07,7,7,2020,17,2,"Liberia","LR","LBR",4937374,"Africa",4.88113722
"17405",2020-07-06,6,7,2020,5,0,"Liberia","LR","LBR",4937374,"Africa",5.02291299
"17406",2020-07-05,5,7,2020,36,0,"Liberia","LR","LBR",4937374,"Africa",5.42798662
"17407",2020-07-04,4,7,2020,14,0,"Liberia","LR","LBR",4937374,"Africa",5.10392772
"17408",2020-07-03,3,7,2020,15,0,"Liberia","LR","LBR",4937374,"Africa",5.61026975
"17409",2020-07-02,2,7,2020,24,1,"Liberia","LR","LBR",4937374,"Africa",5.97483602
"17410",2020-07-01,1,7,2020,10,0,"Liberia","LR","LBR",4937374,"Africa",5.48874766
"17411",2020-06-30,30,6,2020,2,2,"Liberia","LR","LBR",4937374,"Africa",5.50900134
"17412",2020-06-29,29,6,2020,39,0,"Liberia","LR","LBR",4937374,"Africa",6.27864124
"17413",2020-06-28,28,6,2020,45,0,"Liberia","LR","LBR",4937374,"Africa",5.73179184
"17414",2020-06-27,27,6,2020,3,0,"Liberia","LR","LBR",4937374,"Africa",5.32671821
"17415",2020-06-26,26,6,2020,19,0,"Liberia","LR","LBR",4937374,"Africa",5.48874766
"17416",2020-06-25,25,6,2020,10,0,"Liberia","LR","LBR",4937374,"Africa",5.36722557
"17417",2020-06-24,24,6,2020,2,0,"Liberia","LR","LBR",4937374,"Africa",5.4482403
"17418",2020-06-23,23,6,2020,24,0,"Liberia","LR","LBR",4937374,"Africa",5.67103079
"17419",2020-06-22,22,6,2020,25,1,"Liberia","LR","LBR",4937374,"Africa",5.40773294
"17420",2020-06-21,21,6,2020,20,0,"Liberia","LR","LBR",4937374,"Africa",5.18494244
"17421",2020-06-20,20,6,2020,39,0,"Liberia","LR","LBR",4937374,"Africa",5.00265931
"17422",2020-06-19,19,6,2020,33,0,"Liberia","LR","LBR",4937374,"Africa",4.47606359
"17423",2020-06-18,18,6,2020,0,0,"Liberia","LR","LBR",4937374,"Africa",3.90896051
"17424",2020-06-17,17,6,2020,11,0,"Liberia","LR","LBR",4937374,"Africa",4.01022892
"17425",2020-06-16,16,6,2020,40,1,"Liberia","LR","LBR",4937374,"Africa",4.09124364
"17426",2020-06-15,15,6,2020,12,0,"Liberia","LR","LBR",4937374,"Africa",3.44312584
"17427",2020-06-14,14,6,2020,25,0,"Liberia","LR","LBR",4937374,"Africa",3.36211111
"17428",2020-06-13,13,6,2020,11,1,"Liberia","LR","LBR",4937374,"Africa",2.99754485
"17429",2020-06-12,12,6,2020,13,0,"Liberia","LR","LBR",4937374,"Africa",2.85576908
"17430",2020-06-11,11,6,2020,14,0,"Liberia","LR","LBR",4937374,"Africa",2.65323226
"17431",2020-06-10,10,6,2020,13,1,"Liberia","LR","LBR",4937374,"Africa",2.36968073
"17432",2020-06-09,9,6,2020,11,0,"Liberia","LR","LBR",4937374,"Africa",2.12663655
"17433",2020-06-08,8,6,2020,14,0,"Liberia","LR","LBR",4937374,"Africa",1.90384605
"17434",2020-06-07,7,6,2020,11,0,"Liberia","LR","LBR",4937374,"Africa",1.82283133
"17435",2020-06-06,6,6,2020,13,2,"Liberia","LR","LBR",4937374,"Africa",1.72156292
"17436",2020-06-05,5,6,2020,5,0,"Liberia","LR","LBR",4937374,"Africa",1.64054819
"17437",2020-06-04,4,6,2020,5,0,"Liberia","LR","LBR",4937374,"Africa",1.57978715
"17438",2020-06-03,3,6,2020,15,1,"Liberia","LR","LBR",4937374,"Africa",1.57978715
"17439",2020-06-02,2,6,2020,8,0,"Liberia","LR","LBR",4937374,"Africa",1.35699665
"17440",2020-06-01,1,6,2020,8,0,"Liberia","LR","LBR",4937374,"Africa",1.25572825
"17441",2020-05-31,31,5,2020,7,0,"Liberia","LR","LBR",4937374,"Africa",1.15445984
"17442",2020-05-30,30,5,2020,4,0,"Liberia","LR","LBR",4937374,"Africa",1.0936988
"17443",2020-05-29,29,5,2020,3,0,"Liberia","LR","LBR",4937374,"Africa",1.0936988
"17444",2020-05-28,28,5,2020,0,1,"Liberia","LR","LBR",4937374,"Africa",1.07344511
"17445",2020-05-27,27,5,2020,1,0,"Liberia","LR","LBR",4937374,"Africa",1.0936988
"17446",2020-05-26,26,5,2020,0,0,"Liberia","LR","LBR",4937374,"Africa",1.0936988
"17447",2020-05-25,25,5,2020,10,0,"Liberia","LR","LBR",4937374,"Africa",1.33674297
"17448",2020-05-24,24,5,2020,6,2,"Liberia","LR","LBR",4937374,"Africa",1.13420616
"17449",2020-05-23,23,5,2020,9,1,"Liberia","LR","LBR",4937374,"Africa",1.01268407
"17450",2020-05-22,22,5,2020,2,0,"Liberia","LR","LBR",4937374,"Africa",1.03293775
"17451",2020-05-21,21,5,2020,5,0,"Liberia","LR","LBR",4937374,"Africa",1.21522088
"17452",2020-05-20,20,5,2020,4,1,"Liberia","LR","LBR",4937374,"Africa",1.27598193
"17453",2020-05-19,19,5,2020,3,1,"Liberia","LR","LBR",4937374,"Africa",1.27598193
"17454",2020-05-18,18,5,2020,3,1,"Liberia","LR","LBR",4937374,"Africa",1.37725034
"17455",2020-05-17,17,5,2020,4,0,"Liberia","LR","LBR",4937374,"Africa",1.39750402
"17456",2020-05-16,16,5,2020,4,0,"Liberia","LR","LBR",4937374,"Africa",1.35699665
"17457",2020-05-15,15,5,2020,2,0,"Liberia","LR","LBR",4937374,"Africa",1.49877242
"17458",2020-05-14,14,5,2020,1,0,"Liberia","LR","LBR",4937374,"Africa",1.45826506
"17459",2020-05-13,13,5,2020,1,0,"Liberia","LR","LBR",4937374,"Africa",1.43801138
"17460",2020-05-12,12,5,2020,12,0,"Liberia","LR","LBR",4937374,"Africa",1.57978715
"17461",2020-05-11,11,5,2020,0,0,"Liberia","LR","LBR",4937374,"Africa",1.51902611
"17462",2020-05-10,10,5,2020,0,0,"Liberia","LR","LBR",4937374,"Africa",1.60004083
"17463",2020-05-09,9,5,2020,10,0,"Liberia","LR","LBR",4937374,"Africa",1.66080188
"17464",2020-05-08,8,5,2020,11,0,"Liberia","LR","LBR",4937374,"Africa",1.78232396
"17465",2020-05-07,7,5,2020,8,0,"Liberia","LR","LBR",4937374,"Africa",1.55953347
"17466",2020-05-06,6,5,2020,4,2,"Liberia","LR","LBR",4937374,"Africa",1.39750402
"17467",2020-05-05,5,5,2020,8,0,"Liberia","LR","LBR",4937374,"Africa",1.35699665
"17468",2020-05-04,4,5,2020,4,0,"Liberia","LR","LBR",4937374,"Africa",1.35699665
"17469",2020-05-03,3,5,2020,2,0,"Liberia","LR","LBR",4937374,"Africa",1.47851874
"17470",2020-05-02,2,5,2020,11,2,"Liberia","LR","LBR",4937374,"Africa",1.53927979
"17471",2020-05-01,1,5,2020,0,0,"Liberia","LR","LBR",4937374,"Africa",1.37725034
"17472",2020-04-30,30,4,2020,0,0,"Liberia","LR","LBR",4937374,"Africa",1.66080188
"17473",2020-04-29,29,4,2020,8,0,"Liberia","LR","LBR",4937374,"Africa",1.66080188
"17474",2020-04-28,28,4,2020,9,4,"Liberia","LR","LBR",4937374,"Africa",1.49877242
"17475",2020-04-27,27,4,2020,4,1,"Liberia","LR","LBR",4937374,"Africa",1.49877242
"17476",2020-04-26,26,4,2020,3,3,"Liberia","LR","LBR",4937374,"Africa",1.45826506
"17477",2020-04-25,25,4,2020,16,0,"Liberia","LR","LBR",4937374,"Africa",1.62029451
"17478",2020-04-24,24,4,2020,0,0,"Liberia","LR","LBR",4937374,"Africa",1.4177577
"17479",2020-04-23,23,4,2020,0,0,"Liberia","LR","LBR",4937374,"Africa",1.4177577
"17480",2020-04-22,22,4,2020,2,0,"Liberia","LR","LBR",4937374,"Africa",1.76207028
"17481",2020-04-21,21,4,2020,8,0,"Liberia","LR","LBR",4937374,"Africa",1.72156292
"17482",2020-04-20,20,4,2020,10,1,"Liberia","LR","LBR",4937374,"Africa",1.57978715
"17483",2020-04-19,19,4,2020,5,0,"Liberia","LR","LBR",4937374,"Africa",1.43801138
"17484",2020-04-18,18,4,2020,3,1,"Liberia","LR","LBR",4937374,"Africa",1.39750402
"17485",2020-04-17,17,4,2020,14,0,"Liberia","LR","LBR",4937374,"Africa",1.35699665
"17486",2020-04-16,16,4,2020,0,0,"Liberia","LR","LBR",4937374,"Africa",1.07344511
"17487",2020-04-15,15,4,2020,0,0,"Liberia","LR","LBR",4937374,"Africa",1.13420616
"17488",2020-04-14,14,4,2020,9,1,"Liberia","LR","LBR",4937374,"Africa",1.13420616
"17489",2020-04-13,13,4,2020,2,0,"Liberia","LR","LBR",4937374,"Africa",0.95192303
"17490",2020-04-12,12,4,2020,11,1,"Liberia","LR","LBR",4937374,"Africa",0.91141566
"17491",2020-04-11,11,4,2020,6,0,"Liberia","LR","LBR",4937374,"Africa",0.68862517
"17492",2020-04-10,10,4,2020,0,0,"Liberia","LR","LBR",4937374,"Africa",0.56710308
"17493",2020-04-09,9,4,2020,17,1,"Liberia","LR","LBR",4937374,"Africa",0.56710308
"17494",2020-04-08,8,4,2020,0,0,"Liberia","LR","LBR",4937374,"Africa",0.2227905
