"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"17291",2020-07-24,24,7,2020,138,3,"Libya","LY","LBY",6777453,"Africa",15.43352643
"17292",2020-07-23,23,7,2020,88,3,"Libya","LY","LBY",6777453,"Africa",14.66627655
"17293",2020-07-22,22,7,2020,128,1,"Libya","LY","LBY",6777453,"Africa",13.36785368
"17294",2020-07-21,21,7,2020,94,1,"Libya","LY","LBY",6777453,"Africa",13.48589212
"17295",2020-07-20,20,7,2020,75,0,"Libya","LY","LBY",6777453,"Africa",12.93996432
"17296",2020-07-19,19,7,2020,87,1,"Libya","LY","LBY",6777453,"Africa",11.83335392
"17297",2020-07-18,18,7,2020,52,1,"Libya","LY","LBY",6777453,"Africa",11.59727703
"17298",2020-07-17,17,7,2020,63,3,"Libya","LY","LBY",6777453,"Africa",11.2284069
"17299",2020-07-16,16,7,2020,26,1,"Libya","LY","LBY",6777453,"Africa",10.78576273
"17300",2020-07-15,15,7,2020,51,2,"Libya","LY","LBY",6777453,"Africa",10.90380118
"17301",2020-07-14,14,7,2020,79,1,"Libya","LY","LBY",6777453,"Africa",11.06610404
"17302",2020-07-13,13,7,2020,44,1,"Libya","LY","LBY",6777453,"Africa",9.90047441
"17303",2020-07-12,12,7,2020,47,0,"Libya","LY","LBY",6777453,"Africa",9.97424844
"17304",2020-07-11,11,7,2020,74,2,"Libya","LY","LBY",6777453,"Africa",9.50209467
"17305",2020-07-10,10,7,2020,86,1,"Libya","LY","LBY",6777453,"Africa",8.41023907
"17306",2020-07-09,9,7,2020,0,0,"Libya","LY","LBY",6777453,"Africa",8.01185932
"17307",2020-07-08,8,7,2020,136,3,"Libya","LY","LBY",6777453,"Africa",8.01185932
"17308",2020-07-07,7,7,2020,57,5,"Libya","LY","LBY",6777453,"Africa",7.00853256
"17309",2020-07-06,6,7,2020,0,0,"Libya","LY","LBY",6777453,"Africa",6.56588839
"17310",2020-07-05,5,7,2020,71,0,"Libya","LY","LBY",6777453,"Africa",6.92000372
"17311",2020-07-04,4,7,2020,27,1,"Libya","LY","LBY",6777453,"Africa",6.0199606
"17312",2020-07-03,3,7,2020,33,2,"Libya","LY","LBY",6777453,"Africa",5.7691289
"17313",2020-07-02,2,7,2020,34,0,"Libya","LY","LBY",6777453,"Africa",5.7691289
"17314",2020-07-01,1,7,2020,62,3,"Libya","LY","LBY",6777453,"Africa",5.26746552
"17315",2020-06-30,30,6,2020,0,0,"Libya","LY","LBY",6777453,"Africa",4.35266759
"17316",2020-06-29,29,6,2020,49,3,"Libya","LY","LBY",6777453,"Africa",5.07565305
"17317",2020-06-28,28,6,2020,15,0,"Libya","LY","LBY",6777453,"Africa",4.35266759
"17318",2020-06-27,27,6,2020,0,0,"Libya","LY","LBY",6777453,"Africa",4.26413876
"17319",2020-06-26,26,6,2020,59,0,"Libya","LY","LBY",6777453,"Africa",4.50021564
"17320",2020-06-25,25,6,2020,0,1,"Libya","LY","LBY",6777453,"Africa",3.8510042
"17321",2020-06-24,24,6,2020,68,7,"Libya","LY","LBY",6777453,"Africa",4.52972525
"17322",2020-06-23,23,6,2020,27,0,"Libya","LY","LBY",6777453,"Africa",4.44119642
"17323",2020-06-22,22,6,2020,24,0,"Libya","LY","LBY",6777453,"Africa",4.24938395
"17324",2020-06-21,21,6,2020,10,0,"Libya","LY","LBY",6777453,"Africa",3.89526862
"17325",2020-06-20,20,6,2020,10,0,"Libya","LY","LBY",6777453,"Africa",3.99855226
"17326",2020-06-19,19,6,2020,33,0,"Libya","LY","LBY",6777453,"Africa",4.48546084
"17327",2020-06-18,18,6,2020,0,0,"Libya","LY","LBY",6777453,"Africa",3.99855226
"17328",2020-06-17,17,6,2020,0,0,"Libya","LY","LBY",6777453,"Africa",4.20511953
