"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"16843",2020-07-19,19,7,2020,0,0,"Liechtenstein","LI","LIE",38378,"Europe",5.21131898
"16844",2020-07-18,18,7,2020,1,0,"Liechtenstein","LI","LIE",38378,"Europe",5.21131898
"16845",2020-07-17,17,7,2020,0,0,"Liechtenstein","LI","LIE",38378,"Europe",5.21131898
"16846",2020-07-16,16,7,2020,0,0,"Liechtenstein","LI","LIE",38378,"Europe",5.21131898
"16847",2020-07-15,15,7,2020,0,0,"Liechtenstein","LI","LIE",38378,"Europe",5.21131898
"16848",2020-07-14,14,7,2020,0,0,"Liechtenstein","LI","LIE",38378,"Europe",5.21131898
"16849",2020-07-13,13,7,2020,0,0,"Liechtenstein","LI","LIE",38378,"Europe",5.21131898
"16850",2020-07-12,12,7,2020,0,0,"Liechtenstein","LI","LIE",38378,"Europe",5.21131898
"16851",2020-07-11,11,7,2020,0,0,"Liechtenstein","LI","LIE",38378,"Europe",5.21131898
"16852",2020-07-10,10,7,2020,0,0,"Liechtenstein","LI","LIE",38378,"Europe",5.21131898
"16853",2020-07-09,9,7,2020,0,0,"Liechtenstein","LI","LIE",38378,"Europe",5.21131898
"16854",2020-07-08,8,7,2020,0,0,"Liechtenstein","LI","LIE",38378,"Europe",5.21131898
"16855",2020-07-07,7,7,2020,1,0,"Liechtenstein","LI","LIE",38378,"Europe",5.21131898
"16856",2020-07-06,6,7,2020,0,0,"Liechtenstein","LI","LIE",38378,"Europe",2.60565949
"16857",2020-07-05,5,7,2020,0,0,"Liechtenstein","LI","LIE",38378,"Europe",2.60565949
"16858",2020-07-04,4,7,2020,1,0,"Liechtenstein","LI","LIE",38378,"Europe",2.60565949
"16859",2020-07-03,3,7,2020,0,0,"Liechtenstein","LI","LIE",38378,"Europe",0
"16860",2020-07-02,2,7,2020,0,0,"Liechtenstein","LI","LIE",38378,"Europe",0
"16861",2020-07-01,1,7,2020,0,0,"Liechtenstein","LI","LIE",38378,"Europe",0
"16862",2020-06-30,30,6,2020,0,0,"Liechtenstein","LI","LIE",38378,"Europe",0
"16863",2020-06-29,29,6,2020,0,0,"Liechtenstein","LI","LIE",38378,"Europe",0
"16864",2020-06-28,28,6,2020,0,0,"Liechtenstein","LI","LIE",38378,"Europe",0
"16865",2020-06-27,27,6,2020,0,0,"Liechtenstein","LI","LIE",38378,"Europe",0
"16866",2020-06-26,26,6,2020,0,0,"Liechtenstein","LI","LIE",38378,"Europe",0
"16867",2020-06-25,25,6,2020,0,0,"Liechtenstein","LI","LIE",38378,"Europe",0
"16868",2020-06-24,24,6,2020,0,0,"Liechtenstein","LI","LIE",38378,"Europe",0
"16869",2020-06-23,23,6,2020,0,0,"Liechtenstein","LI","LIE",38378,"Europe",0
"16870",2020-06-22,22,6,2020,0,0,"Liechtenstein","LI","LIE",38378,"Europe",0
"16871",2020-06-21,21,6,2020,0,0,"Liechtenstein","LI","LIE",38378,"Europe",0
"16872",2020-06-20,20,6,2020,0,0,"Liechtenstein","LI","LIE",38378,"Europe",0
"16873",2020-06-19,19,6,2020,0,0,"Liechtenstein","LI","LIE",38378,"Europe",0
"16874",2020-06-18,18,6,2020,0,0,"Liechtenstein","LI","LIE",38378,"Europe",0
"16875",2020-06-17,17,6,2020,0,0,"Liechtenstein","LI","LIE",38378,"Europe",0
"16876",2020-06-16,16,6,2020,0,0,"Liechtenstein","LI","LIE",38378,"Europe",0
"16877",2020-06-15,15,6,2020,0,0,"Liechtenstein","LI","LIE",38378,"Europe",0
"16878",2020-06-14,14,6,2020,0,0,"Liechtenstein","LI","LIE",38378,"Europe",0
"16879",2020-06-13,13,6,2020,0,0,"Liechtenstein","LI","LIE",38378,"Europe",0
"16880",2020-06-12,12,6,2020,0,0,"Liechtenstein","LI","LIE",38378,"Europe",0
"16881",2020-06-11,11,6,2020,0,0,"Liechtenstein","LI","LIE",38378,"Europe",0
"16882",2020-06-10,10,6,2020,0,0,"Liechtenstein","LI","LIE",38378,"Europe",0
"16883",2020-06-09,9,6,2020,0,0,"Liechtenstein","LI","LIE",38378,"Europe",0
"16884",2020-06-08,8,6,2020,0,0,"Liechtenstein","LI","LIE",38378,"Europe",0
"16885",2020-06-07,7,6,2020,0,0,"Liechtenstein","LI","LIE",38378,"Europe",0
"16886",2020-06-06,6,6,2020,0,0,"Liechtenstein","LI","LIE",38378,"Europe",0
