"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"16894",2020-07-15,15,7,2020,263,2,"Madagascar","MG","MDG",26969306,"Africa",11.6020783
"16895",2020-07-14,14,7,2020,213,2,"Madagascar","MG","MDG",26969306,"Africa",10.90869747
"16896",2020-07-13,13,7,2020,289,1,"Madagascar","MG","MDG",26969306,"Africa",10.34138587
"16897",2020-07-12,12,7,2020,435,0,"Madagascar","MG","MDG",26969306,"Africa",9.54047538
"16898",2020-07-11,11,7,2020,361,1,"Madagascar","MG","MDG",26969306,"Africa",8.23528792
"16899",2020-07-10,10,7,2020,209,0,"Madagascar","MG","MDG",26969306,"Africa",7.24156565
"16900",2020-07-09,9,7,2020,101,0,"Madagascar","MG","MDG",26969306,"Africa",6.62234319
"16901",2020-07-08,8,7,2020,222,0,"Madagascar","MG","MDG",26969306,"Africa",6.48144227
"16902",2020-07-07,7,7,2020,522,4,"Madagascar","MG","MDG",26969306,"Africa",5.96974946
"16903",2020-07-06,6,7,2020,0,0,"Madagascar","MG","MDG",26969306,"Africa",4.19736422
"16904",2020-07-05,5,7,2020,216,3,"Madagascar","MG","MDG",26969306,"Africa",4.54220068
"16905",2020-07-04,4,7,2020,109,2,"Madagascar","MG","MDG",26969306,"Africa",3.96376533
"16906",2020-07-03,3,7,2020,100,2,"Madagascar","MG","MDG",26969306,"Africa",3.70791892
"16907",2020-07-02,2,7,2020,89,2,"Madagascar","MG","MDG",26969306,"Africa",3.429825
"16908",2020-07-01,1,7,2020,76,0,"Madagascar","MG","MDG",26969306,"Africa",3.32600327
"16909",2020-06-30,30,6,2020,60,2,"Madagascar","MG","MDG",26969306,"Africa",3.14431524
"16910",2020-06-29,29,6,2020,73,2,"Madagascar","MG","MDG",26969306,"Africa",2.98858265
"16911",2020-06-28,28,6,2020,83,0,"Madagascar","MG","MDG",26969306,"Africa",2.79206295
"16912",2020-06-27,27,6,2020,93,0,"Madagascar","MG","MDG",26969306,"Africa",2.56587989
"16913",2020-06-26,26,6,2020,42,0,"Madagascar","MG","MDG",26969306,"Africa",2.32115724
"16914",2020-06-25,25,6,2020,63,1,"Madagascar","MG","MDG",26969306,"Africa",2.31744933
"16915",2020-06-24,24,6,2020,84,0,"Madagascar","MG","MDG",26969306,"Africa",2.17284049
"16916",2020-06-23,23,6,2020,44,1,"Madagascar","MG","MDG",26969306,"Africa",2.02452373
"16917",2020-06-22,22,6,2020,93,1,"Madagascar","MG","MDG",26969306,"Africa",2.01710789
"16918",2020-06-21,21,6,2020,60,0,"Madagascar","MG","MDG",26969306,"Africa",1.76867733
"16919",2020-06-20,20,6,2020,40,0,"Madagascar","MG","MDG",26969306,"Africa",1.73530605
"16920",2020-06-19,19,6,2020,25,1,"Madagascar","MG","MDG",26969306,"Africa",1.65373184
"16921",2020-06-18,18,6,2020,61,0,"Madagascar","MG","MDG",26969306,"Africa",1.74272189
"16922",2020-06-17,17,6,2020,27,2,"Madagascar","MG","MDG",26969306,"Africa",1.75013773
"16923",2020-06-16,16,6,2020,18,0,"Madagascar","MG","MDG",26969306,"Africa",1.72047438
"16924",2020-06-15,15,6,2020,20,0,"Madagascar","MG","MDG",26969306,"Africa",1.85766738
"16925",2020-06-14,14,6,2020,22,0,"Madagascar","MG","MDG",26969306,"Africa",1.83171195
"16926",2020-06-13,13,6,2020,27,0,"Madagascar","MG","MDG",26969306,"Africa",1.97261287
"16927",2020-06-12,12,6,2020,41,0,"Madagascar","MG","MDG",26969306,"Africa",2.02823165
"16928",2020-06-11,11,6,2020,24,1,"Madagascar","MG","MDG",26969306,"Africa",2.03935541
"16929",2020-06-10,10,6,2020,44,0,"Madagascar","MG","MDG",26969306,"Africa",2.04677124
