"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"19371",2020-08-04,4,8,2020,42,0,"Malawi","MW","MWI",18628749,"Africa",6.5919617
"19372",2020-08-03,3,8,2020,45,3,"Malawi","MW","MWI",18628749,"Africa",6.65101022
"19373",2020-08-02,2,8,2020,108,6,"Malawi","MW","MWI",18628749,"Africa",6.8657321
"19374",2020-08-01,1,8,2020,97,5,"Malawi","MW","MWI",18628749,"Africa",6.80668358
"19375",2020-07-31,31,7,2020,123,2,"Malawi","MW","MWI",18628749,"Africa",6.81205163
"19376",2020-07-30,30,7,2020,149,4,"Malawi","MW","MWI",18628749,"Africa",6.67785046
"19377",2020-07-29,29,7,2020,0,0,"Malawi","MW","MWI",18628749,"Africa",6.50607295
"19378",2020-07-28,28,7,2020,69,4,"Malawi","MW","MWI",18628749,"Africa",6.8657321
"19379",2020-07-27,27,7,2020,187,12,"Malawi","MW","MWI",18628749,"Africa",6.84962796
"19380",2020-07-26,26,7,2020,0,0,"Malawi","MW","MWI",18628749,"Africa",6.39871201
"19381",2020-07-25,25,7,2020,67,8,"Malawi","MW","MWI",18628749,"Africa",7.42937703
"19382",2020-07-24,24,7,2020,84,3,"Malawi","MW","MWI",18628749,"Africa",7.52600188
"19383",2020-07-23,23,7,2020,153,5,"Malawi","MW","MWI",18628749,"Africa",7.37032852
"19384",2020-07-22,22,7,2020,104,7,"Malawi","MW","MWI",18628749,"Africa",6.82815577
"19385",2020-07-21,21,7,2020,53,2,"Malawi","MW","MWI",18628749,"Africa",6.58659366
"19386",2020-07-20,20,7,2020,85,3,"Malawi","MW","MWI",18628749,"Africa",6.71005874
"19387",2020-07-19,19,7,2020,97,4,"Malawi","MW","MWI",18628749,"Africa",6.94625281
"19388",2020-07-18,18,7,2020,98,4,"Malawi","MW","MWI",18628749,"Africa",7.04287765
"19389",2020-07-17,17,7,2020,98,8,"Malawi","MW","MWI",18628749,"Africa",7.03214156
"19390",2020-07-16,16,7,2020,117,3,"Malawi","MW","MWI",18628749,"Africa",6.82815577
"19391",2020-07-15,15,7,2020,67,1,"Malawi","MW","MWI",18628749,"Africa",6.61343389
