"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"17591",2020-07-19,19,7,2020,9,0,"Malaysia","MY","MYS",31949789,"Asia",0.33177058
"17592",2020-07-18,18,7,2020,18,0,"Malaysia","MY","MYS",31949789,"Asia",0.33490049
"17593",2020-07-17,17,7,2020,3,0,"Malaysia","MY","MYS",31949789,"Asia",0.29421165
"17594",2020-07-16,16,7,2020,5,0,"Malaysia","MY","MYS",31949789,"Asia",0.29421165
"17595",2020-07-15,15,7,2020,4,0,"Malaysia","MY","MYS",31949789,"Asia",0.281692
"17596",2020-07-14,14,7,2020,7,0,"Malaysia","MY","MYS",31949789,"Asia",0.27543218
"17597",2020-07-13,13,7,2020,14,0,"Malaysia","MY","MYS",31949789,"Asia",0.26291253
"17598",2020-07-12,12,7,2020,8,1,"Malaysia","MY","MYS",31949789,"Asia",0.27543218
"17599",2020-07-11,11,7,2020,13,0,"Malaysia","MY","MYS",31949789,"Asia",0.281692
"17600",2020-07-10,10,7,2020,6,0,"Malaysia","MY","MYS",31949789,"Asia",0.25978262
"17601",2020-07-09,9,7,2020,3,0,"Malaysia","MY","MYS",31949789,"Asia",0.2535228
"17602",2020-07-08,8,7,2020,6,0,"Malaysia","MY","MYS",31949789,"Asia",0.26291253
"17603",2020-07-07,7,7,2020,10,0,"Malaysia","MY","MYS",31949789,"Asia",0.2535228
"17604",2020-07-06,6,7,2020,0,0,"Malaysia","MY","MYS",31949789,"Asia",0.26917236
"17605",2020-07-05,5,7,2020,10,0,"Malaysia","MY","MYS",31949789,"Asia",0.31925093
"17606",2020-07-04,4,7,2020,5,0,"Malaysia","MY","MYS",31949789,"Asia",0.35367996
"17607",2020-07-03,3,7,2020,3,0,"Malaysia","MY","MYS",31949789,"Asia",0.35680987
"17608",2020-07-02,2,7,2020,1,0,"Malaysia","MY","MYS",31949789,"Asia",0.39123889
"17609",2020-07-01,1,7,2020,2,0,"Malaysia","MY","MYS",31949789,"Asia",0.41940809
"17610",2020-06-30,30,6,2020,3,0,"Malaysia","MY","MYS",31949789,"Asia",0.44757729
"17611",2020-06-29,29,6,2020,18,0,"Malaysia","MY","MYS",31949789,"Asia",0.56651391
"17612",2020-06-28,28,6,2020,10,0,"Malaysia","MY","MYS",31949789,"Asia",0.5352148
"17613",2020-06-27,27,6,2020,6,0,"Malaysia","MY","MYS",31949789,"Asia",0.63850187
"17614",2020-06-26,26,6,2020,4,0,"Malaysia","MY","MYS",31949789,"Asia",0.72300947
"17615",2020-06-25,25,6,2020,6,0,"Malaysia","MY","MYS",31949789,"Asia",0.80751707
"17616",2020-06-24,24,6,2020,3,0,"Malaysia","MY","MYS",31949789,"Asia",0.79499743
"17617",2020-06-23,23,6,2020,15,0,"Malaysia","MY","MYS",31949789,"Asia",0.80751707
"17618",2020-06-22,22,6,2020,16,0,"Malaysia","MY","MYS",31949789,"Asia",0.78247778
"17619",2020-06-21,21,6,2020,21,0,"Malaysia","MY","MYS",31949789,"Asia",0.79186751
"17620",2020-06-20,20,6,2020,6,0,"Malaysia","MY","MYS",31949789,"Asia",0.84194609
"17621",2020-06-19,19,6,2020,14,0,"Malaysia","MY","MYS",31949789,"Asia",1.74962032
"17622",2020-06-18,18,6,2020,10,0,"Malaysia","MY","MYS",31949789,"Asia",1.70580156
"17623",2020-06-17,17,6,2020,11,0,"Malaysia","MY","MYS",31949789,"Asia",1.96558419
"17624",2020-06-16,16,6,2020,41,0,"Malaysia","MY","MYS",31949789,"Asia",1.99375339
"17625",2020-06-15,15,6,2020,8,1,"Malaysia","MY","MYS",31949789,"Asia",1.98436365
"17626",2020-06-14,14,6,2020,43,1,"Malaysia","MY","MYS",31949789,"Asia",2.1377293
