"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"18392",2020-07-24,24,7,2020,0,0,"Maldives","MV","MDV",530957,"Asia",103.58654279
"18393",2020-07-23,23,7,2020,59,0,"Maldives","MV","MDV",530957,"Asia",110.36675286
"18394",2020-07-22,22,7,2020,78,0,"Maldives","MV","MDV",530957,"Asia",102.26816861
"18395",2020-07-21,21,7,2020,0,0,"Maldives","MV","MDV",530957,"Asia",89.46110514
"18396",2020-07-20,20,7,2020,36,0,"Maldives","MV","MDV",530957,"Asia",93.79290602
"18397",2020-07-19,19,7,2020,17,0,"Maldives","MV","MDV",530957,"Asia",93.22788851
"18398",2020-07-18,18,7,2020,14,0,"Maldives","MV","MDV",530957,"Asia",94.73460186
"18399",2020-07-17,17,7,2020,68,1,"Maldives","MV","MDV",530957,"Asia",93.98124519
"18400",2020-07-16,16,7,2020,30,0,"Maldives","MV","MDV",530957,"Asia",84.56428675
"18401",2020-07-15,15,7,2020,39,1,"Maldives","MV","MDV",530957,"Asia",82.86923423
"18402",2020-07-14,14,7,2020,31,0,"Maldives","MV","MDV",530957,"Asia",80.23248587
"18403",2020-07-13,13,7,2020,67,0,"Maldives","MV","MDV",530957,"Asia",76.84238083
"18404",2020-07-12,12,7,2020,47,0,"Maldives","MV","MDV",530957,"Asia",67.61376157
"18405",2020-07-11,11,7,2020,64,0,"Maldives","MV","MDV",530957,"Asia",62.90528235
"18406",2020-07-10,10,7,2020,36,0,"Maldives","MV","MDV",530957,"Asia",51.98161056
"18407",2020-07-09,9,7,2020,16,1,"Maldives","MV","MDV",530957,"Asia",48.21482719
"18408",2020-07-08,8,7,2020,10,0,"Maldives","MV","MDV",530957,"Asia",49.53320137
"18409",2020-07-07,7,7,2020,23,1,"Maldives","MV","MDV",530957,"Asia",51.60493223
"18410",2020-07-06,6,7,2020,33,1,"Maldives","MV","MDV",530957,"Asia",49.90987971
"18411",2020-07-05,5,7,2020,25,0,"Maldives","MV","MDV",530957,"Asia",46.70811384
"18412",2020-07-04,4,7,2020,10,0,"Maldives","MV","MDV",530957,"Asia",48.96818386
