"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"17077",2020-07-12,12,7,2020,2,0,"Mali","ML","MLI",19658023,"Africa",1.46505068
"17078",2020-07-11,11,7,2020,46,1,"Mali","ML","MLI",19658023,"Africa",1.85674826
"17079",2020-07-10,10,7,2020,0,0,"Mali","ML","MLI",19658023,"Africa",1.78553052
"17080",2020-07-09,9,7,2020,10,1,"Mali","ML","MLI",19658023,"Africa",1.81605241
"17081",2020-07-08,8,7,2020,17,0,"Mali","ML","MLI",19658023,"Africa",1.88218317
"17082",2020-07-07,7,7,2020,1,0,"Mali","ML","MLI",19658023,"Africa",1.88218317
"17083",2020-07-06,6,7,2020,27,1,"Mali","ML","MLI",19658023,"Africa",1.87709619
"17084",2020-07-05,5,7,2020,18,1,"Mali","ML","MLI",19658023,"Africa",1.88218317
"17085",2020-07-04,4,7,2020,25,0,"Mali","ML","MLI",19658023,"Africa",1.84148732
"17086",2020-07-03,3,7,2020,58,1,"Mali","ML","MLI",19658023,"Africa",1.80079146
"17087",2020-07-02,2,7,2020,21,0,"Mali","ML","MLI",19658023,"Africa",1.58713824
"17088",2020-07-01,1,7,2020,8,1,"Mali","ML","MLI",19658023,"Africa",1.50574653
"17089",2020-06-30,30,6,2020,26,1,"Mali","ML","MLI",19658023,"Africa",1.59222522
"17090",2020-06-29,29,6,2020,29,1,"Mali","ML","MLI",19658023,"Africa",1.71939976
"17091",2020-06-28,28,6,2020,79,0,"Mali","ML","MLI",19658023,"Africa",1.73974768
"17092",2020-06-27,27,6,2020,32,0,"Mali","ML","MLI",19658023,"Africa",1.4599637
"17093",2020-06-26,26,6,2020,6,1,"Mali","ML","MLI",19658023,"Africa",1.44978974
"17094",2020-06-25,25,6,2020,23,1,"Mali","ML","MLI",19658023,"Africa",1.69905183
"17095",2020-06-24,24,6,2020,17,0,"Mali","ML","MLI",19658023,"Africa",1.99409676
"17096",2020-06-23,23,6,2020,0,0,"Mali","ML","MLI",19658023,"Africa",2.10601036
"17097",2020-06-22,22,6,2020,28,2,"Mali","ML","MLI",19658023,"Africa",2.1772281
"17098",2020-06-21,21,6,2020,10,1,"Mali","ML","MLI",19658023,"Africa",2.08566243
"17099",2020-06-20,20,6,2020,17,1,"Mali","ML","MLI",19658023,"Africa",2.22809791
"17100",2020-06-19,19,6,2020,16,0,"Mali","ML","MLI",19658023,"Africa",2.26370678
"17101",2020-06-18,18,6,2020,5,1,"Mali","ML","MLI",19658023,"Africa",2.74188305
"17102",2020-06-17,17,6,2020,25,2,"Mali","ML","MLI",19658023,"Africa",2.71644814
"17103",2020-06-16,16,6,2020,51,0,"Mali","ML","MLI",19658023,"Africa",2.77240494
"17104",2020-06-15,15,6,2020,33,0,"Mali","ML","MLI",19658023,"Africa",2.76731795
"17105",2020-06-14,14,6,2020,24,3,"Mali","ML","MLI",19658023,"Africa",2.67575229
"17106",2020-06-13,13,6,2020,30,4,"Mali","ML","MLI",19658023,"Africa",2.67575229
"17107",2020-06-12,12,6,2020,55,1,"Mali","ML","MLI",19658023,"Africa",2.68592625
"17108",2020-06-11,11,6,2020,81,2,"Mali","ML","MLI",19658023,"Africa",2.80292683
"17109",2020-06-10,10,6,2020,39,2,"Mali","ML","MLI",19658023,"Africa",2.5892736
"17110",2020-06-09,9,6,2020,14,0,"Mali","ML","MLI",19658023,"Africa",2.48244699
"17111",2020-06-08,8,6,2020,10,2,"Mali","ML","MLI",19658023,"Africa",2.55875171
"17112",2020-06-07,7,6,2020,38,3,"Mali","ML","MLI",19658023,"Africa",2.58418662
"17113",2020-06-06,6,6,2020,24,2,"Mali","ML","MLI",19658023,"Africa",2.62488247
"17114",2020-06-05,5,6,2020,110,7,"Mali","ML","MLI",19658023,"Africa",2.61470851
"17115",2020-06-04,4,6,2020,0,0,"Mali","ML","MLI",19658023,"Africa",2.13653224
"17116",2020-06-03,3,6,2020,36,0,"Mali","ML","MLI",19658023,"Africa",2.28914169
"17117",2020-06-02,2,6,2020,50,1,"Mali","ML","MLI",19658023,"Africa",2.24335886
"17118",2020-06-01,1,6,2020,15,1,"Mali","ML","MLI",19658023,"Africa",2.06022752
"17119",2020-05-31,31,5,2020,24,3,"Mali","ML","MLI",19658023,"Africa",2.11109734
"17120",2020-05-30,30,5,2020,32,1,"Mali","ML","MLI",19658023,"Africa",2.13653224
"17121",2020-05-29,29,5,2020,78,2,"Mali","ML","MLI",19658023,"Africa",2.11109734
"17122",2020-05-28,28,5,2020,39,0,"Mali","ML","MLI",19658023,"Africa",1.82113939
"17123",2020-05-27,27,5,2020,18,3,"Mali","ML","MLI",19658023,"Africa",1.76518259
"17124",2020-05-26,26,5,2020,29,2,"Mali","ML","MLI",19658023,"Africa",1.76518259
"17125",2020-05-25,25,5,2020,15,2,"Mali","ML","MLI",19658023,"Africa",1.65835598
"17126",2020-05-24,24,5,2020,46,1,"Mali","ML","MLI",19658023,"Africa",1.64309504
"17127",2020-05-23,23,5,2020,22,2,"Mali","ML","MLI",19658023,"Africa",1.53118144
"17128",2020-05-22,22,5,2020,16,5,"Mali","ML","MLI",19658023,"Africa",1.51083352
"17129",2020-05-21,21,5,2020,30,2,"Mali","ML","MLI",19658023,"Africa",1.52609446
"17130",2020-05-20,20,5,2020,27,1,"Mali","ML","MLI",19658023,"Africa",1.47013766
"17131",2020-05-19,19,5,2020,14,0,"Mali","ML","MLI",19658023,"Africa",1.49557257
"17132",2020-05-18,18,5,2020,25,4,"Mali","ML","MLI",19658023,"Africa",1.51083352
"17133",2020-05-17,17,5,2020,29,2,"Mali","ML","MLI",19658023,"Africa",1.48031163
"17134",2020-05-16,16,5,2020,27,0,"Mali","ML","MLI",19658023,"Africa",1.5159205
"17135",2020-05-15,15,5,2020,21,2,"Mali","ML","MLI",19658023,"Africa",1.47013766
"17136",2020-05-14,14,5,2020,28,4,"Mali","ML","MLI",19658023,"Africa",1.4040069
"17137",2020-05-13,13,5,2020,18,1,"Mali","ML","MLI",19658023,"Africa",1.55661635
"17138",2020-05-12,12,5,2020,8,1,"Mali","ML","MLI",19658023,"Africa",1.54644239
"17139",2020-05-11,11,5,2020,12,1,"Mali","ML","MLI",19658023,"Africa",1.60239918
"17140",2020-05-10,10,5,2020,24,2,"Mali","ML","MLI",19658023,"Africa",1.63800805
"17141",2020-05-09,9,5,2020,18,3,"Mali","ML","MLI",19658023,"Africa",1.74483467
"17142",2020-05-08,8,5,2020,19,0,"Mali","ML","MLI",19658023,"Africa",1.7346607
"17143",2020-05-07,7,5,2020,19,0,"Mali","ML","MLI",19658023,"Africa",1.71939976
"17144",2020-05-06,6,5,2020,32,3,"Mali","ML","MLI",19658023,"Africa",1.80079146
"17145",2020-05-05,5,5,2020,17,2,"Mali","ML","MLI",19658023,"Africa",1.69905183
"17146",2020-05-04,4,5,2020,19,1,"Mali","ML","MLI",19658023,"Africa",1.72448674
"17147",2020-05-03,3,5,2020,36,0,"Mali","ML","MLI",19658023,"Africa",1.66852994
"17148",2020-05-02,2,5,2020,18,0,"Mali","ML","MLI",19658023,"Africa",1.61766013
"17149",2020-05-01,1,5,2020,8,1,"Mali","ML","MLI",19658023,"Africa",1.62274711
"17150",2020-04-30,30,4,2020,58,1,"Mali","ML","MLI",19658023,"Africa",1.69905183
"17151",2020-04-29,29,4,2020,16,1,"Mali","ML","MLI",19658023,"Africa",1.42435483
"17152",2020-04-28,28,4,2020,19,0,"Mali","ML","MLI",19658023,"Africa",1.44978974
"17153",2020-04-27,27,4,2020,19,2,"Mali","ML","MLI",19658023,"Africa",1.38874596
"17154",2020-04-26,26,4,2020,45,0,"Mali","ML","MLI",19658023,"Africa",1.34805011
"17155",2020-04-25,25,4,2020,16,0,"Mali","ML","MLI",19658023,"Africa",1.21070161
"17156",2020-04-24,24,4,2020,16,4,"Mali","ML","MLI",19658023,"Africa",1.27174538
"17157",2020-04-23,23,4,2020,35,3,"Mali","ML","MLI",19658023,"Africa",1.19035368
"17158",2020-04-22,22,4,2020,12,0,"Mali","ML","MLI",19658023,"Africa",1.02757027
"17159",2020-04-21,21,4,2020,22,0,"Mali","ML","MLI",19658023,"Africa",1.01230933
"17160",2020-04-20,20,4,2020,8,1,"Mali","ML","MLI",19658023,"Africa",0.91056969
"17161",2020-04-19,19,4,2020,26,0,"Mali","ML","MLI",19658023,"Africa",0.89022177
"17162",2020-04-18,18,4,2020,19,0,"Mali","ML","MLI",19658023,"Africa",0.76813421
"17163",2020-04-17,17,4,2020,23,0,"Mali","ML","MLI",19658023,"Africa",0.68674251
"17164",2020-04-16,16,4,2020,4,0,"Mali","ML","MLI",19658023,"Africa",0.61043778
"17165",2020-04-15,15,4,2020,21,3,"Mali","ML","MLI",19658023,"Africa",0.64095967
"17166",2020-04-14,14,4,2020,7,1,"Mali","ML","MLI",19658023,"Africa",0.53413306
"17167",2020-04-13,13,4,2020,11,0,"Mali","ML","MLI",19658023,"Africa",0.49852419
"17168",2020-04-12,12,4,2020,18,2,"Mali","ML","MLI",19658023,"Africa",0.48835023
"17169",2020-04-11,11,4,2020,28,0,"Mali","ML","MLI",19658023,"Africa",0.42221947
"17170",2020-04-10,10,4,2020,0,0,"Mali","ML","MLI",19658023,"Africa",0.27978398
"17171",2020-04-09,9,4,2020,3,2,"Mali","ML","MLI",19658023,"Africa",0.28995795
"17172",2020-04-08,8,4,2020,9,0,"Mali","ML","MLI",19658023,"Africa",0.28487097
"17173",2020-04-07,7,4,2020,2,0,"Mali","ML","MLI",19658023,"Africa",NA
"17174",2020-04-06,6,4,2020,4,2,"Mali","ML","MLI",19658023,"Africa",NA
"17175",2020-04-05,5,4,2020,2,0,"Mali","ML","MLI",19658023,"Africa",NA
"17176",2020-04-04,4,4,2020,3,0,"Mali","ML","MLI",19658023,"Africa",NA
"17177",2020-04-03,3,4,2020,8,2,"Mali","ML","MLI",19658023,"Africa",NA
"17178",2020-04-02,2,4,2020,10,0,"Mali","ML","MLI",19658023,"Africa",NA
"17179",2020-04-01,1,4,2020,0,1,"Mali","ML","MLI",19658023,"Africa",NA
"17180",2020-03-31,31,3,2020,0,0,"Mali","ML","MLI",19658023,"Africa",NA
"17181",2020-03-30,30,3,2020,9,0,"Mali","ML","MLI",19658023,"Africa",NA
"17182",2020-03-29,29,3,2020,5,0,"Mali","ML","MLI",19658023,"Africa",NA
"17183",2020-03-28,28,3,2020,0,0,"Mali","ML","MLI",19658023,"Africa",NA
"17184",2020-03-27,27,3,2020,2,0,"Mali","ML","MLI",19658023,"Africa",NA
"17185",2020-03-26,26,3,2020,2,0,"Mali","ML","MLI",19658023,"Africa",NA
