"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"17552",2020-07-15,15,7,2020,0,0,"Malta","MT","MLT",493559,"Europe",0.81044009
"17553",2020-07-14,14,7,2020,0,0,"Malta","MT","MLT",493559,"Europe",0.81044009
"17554",2020-07-13,13,7,2020,0,0,"Malta","MT","MLT",493559,"Europe",0.81044009
"17555",2020-07-12,12,7,2020,0,0,"Malta","MT","MLT",493559,"Europe",0.81044009
"17556",2020-07-11,11,7,2020,0,0,"Malta","MT","MLT",493559,"Europe",0.81044009
"17557",2020-07-10,10,7,2020,1,0,"Malta","MT","MLT",493559,"Europe",1.21566013
"17558",2020-07-09,9,7,2020,0,0,"Malta","MT","MLT",493559,"Europe",1.62088018
"17559",2020-07-08,8,7,2020,1,0,"Malta","MT","MLT",493559,"Europe",1.62088018
"17560",2020-07-07,7,7,2020,0,0,"Malta","MT","MLT",493559,"Europe",1.41827016
"17561",2020-07-06,6,7,2020,0,0,"Malta","MT","MLT",493559,"Europe",1.41827016
"17562",2020-07-05,5,7,2020,0,0,"Malta","MT","MLT",493559,"Europe",1.62088018
"17563",2020-07-04,4,7,2020,2,0,"Malta","MT","MLT",493559,"Europe",1.8234902
"17564",2020-07-03,3,7,2020,0,0,"Malta","MT","MLT",493559,"Europe",1.41827016
"17565",2020-07-02,2,7,2020,0,0,"Malta","MT","MLT",493559,"Europe",1.62088018
"17566",2020-07-01,1,7,2020,0,0,"Malta","MT","MLT",493559,"Europe",2.83654031
"17567",2020-06-30,30,6,2020,0,0,"Malta","MT","MLT",493559,"Europe",4.05220045
"17568",2020-06-29,29,6,2020,0,0,"Malta","MT","MLT",493559,"Europe",4.45742049
"17569",2020-06-28,28,6,2020,0,0,"Malta","MT","MLT",493559,"Europe",4.86264054
"17570",2020-06-27,27,6,2020,2,0,"Malta","MT","MLT",493559,"Europe",5.06525056
"17571",2020-06-26,26,6,2020,3,0,"Malta","MT","MLT",493559,"Europe",5.67308062
"17572",2020-06-25,25,6,2020,0,0,"Malta","MT","MLT",493559,"Europe",6.07830067
"17573",2020-06-24,24,6,2020,0,0,"Malta","MT","MLT",493559,"Europe",6.68613074
"17574",2020-06-23,23,6,2020,0,0,"Malta","MT","MLT",493559,"Europe",7.09135078
"17575",2020-06-22,22,6,2020,1,0,"Malta","MT","MLT",493559,"Europe",7.2939608
"17576",2020-06-21,21,6,2020,1,0,"Malta","MT","MLT",493559,"Europe",8.50962094
"17577",2020-06-20,20,6,2020,0,0,"Malta","MT","MLT",493559,"Europe",8.30701091
"17578",2020-06-19,19,6,2020,1,0,"Malta","MT","MLT",493559,"Europe",8.30701091
"17579",2020-06-18,18,6,2020,6,0,"Malta","MT","MLT",493559,"Europe",8.10440089
"17580",2020-06-17,17,6,2020,6,0,"Malta","MT","MLT",493559,"Europe",7.2939608
"17581",2020-06-16,16,6,2020,2,0,"Malta","MT","MLT",493559,"Europe",6.28091069
"17582",2020-06-15,15,6,2020,2,0,"Malta","MT","MLT",493559,"Europe",6.48352071
"17583",2020-06-14,14,6,2020,1,0,"Malta","MT","MLT",493559,"Europe",6.07830067
"17584",2020-06-13,13,6,2020,5,0,"Malta","MT","MLT",493559,"Europe",5.87569065
"17585",2020-06-12,12,6,2020,5,0,"Malta","MT","MLT",493559,"Europe",4.86264054
"17586",2020-06-11,11,6,2020,3,0,"Malta","MT","MLT",493559,"Europe",4.05220045
"17587",2020-06-10,10,6,2020,2,0,"Malta","MT","MLT",493559,"Europe",4.25481047
"17588",2020-06-09,9,6,2020,1,0,"Malta","MT","MLT",493559,"Europe",3.84959042
"17589",2020-06-08,8,6,2020,7,0,"Malta","MT","MLT",493559,"Europe",3.84959042
"17590",2020-06-07,7,6,2020,0,0,"Malta","MT","MLT",493559,"Europe",2.63393029
"17591",2020-06-06,6,6,2020,0,0,"Malta","MT","MLT",493559,"Europe",4.45742049
"17592",2020-06-05,5,6,2020,0,0,"Malta","MT","MLT",493559,"Europe",4.66003051
"17593",2020-06-04,4,6,2020,2,0,"Malta","MT","MLT",493559,"Europe",7.69918085
"17594",2020-06-03,3,6,2020,1,0,"Malta","MT","MLT",493559,"Europe",12.15660134
"17595",2020-06-02,2,6,2020,3,2,"Malta","MT","MLT",493559,"Europe",12.35921136
"17596",2020-06-01,1,6,2020,0,0,"Malta","MT","MLT",493559,"Europe",12.76443141
"17597",2020-05-31,31,5,2020,0,0,"Malta","MT","MLT",493559,"Europe",14.18270156
"17598",2020-05-30,30,5,2020,0,0,"Malta","MT","MLT",493559,"Europe",17.01924187
"17599",2020-05-29,29,5,2020,1,0,"Malta","MT","MLT",493559,"Europe",19.0453421
"17600",2020-05-28,28,5,2020,4,1,"Malta","MT","MLT",493559,"Europe",21.67927239
"17601",2020-05-27,27,5,2020,0,0,"Malta","MT","MLT",493559,"Europe",21.88188241
"17602",2020-05-26,26,5,2020,1,0,"Malta","MT","MLT",493559,"Europe",21.88188241
"17603",2020-05-25,25,5,2020,1,0,"Malta","MT","MLT",493559,"Europe",23.09754254
"17604",2020-05-24,24,5,2020,9,0,"Malta","MT","MLT",493559,"Europe",24.11059265
"17605",2020-05-23,23,5,2020,1,0,"Malta","MT","MLT",493559,"Europe",22.48971248
"17606",2020-05-22,22,5,2020,15,0,"Malta","MT","MLT",493559,"Europe",22.89493252
"17607",2020-05-21,21,5,2020,24,0,"Malta","MT","MLT",493559,"Europe",20.26100223
"17608",2020-05-20,20,5,2020,2,0,"Malta","MT","MLT",493559,"Europe",15.80358174
"17609",2020-05-19,19,5,2020,5,0,"Malta","MT","MLT",493559,"Europe",15.80358174
"17610",2020-05-18,18,5,2020,7,0,"Malta","MT","MLT",493559,"Europe",15.3983617
"17611",2020-05-17,17,5,2020,14,0,"Malta","MT","MLT",493559,"Europe",16.00619176
"17612",2020-05-16,16,5,2020,10,0,"Malta","MT","MLT",493559,"Europe",13.16965145
