"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"17683",2020-07-15,15,7,2020,91,2,"Mauritania","MR","MRT",4525698,"Africa",28.65856272
"17684",2020-07-14,14,7,2020,229,3,"Mauritania","MR","MRT",4525698,"Africa",26.64782316
"17685",2020-07-13,13,7,2020,0,0,"Mauritania","MR","MRT",4525698,"Africa",26.93507167
"17686",2020-07-12,12,7,2020,0,0,"Mauritania","MR","MRT",4525698,"Africa",26.93507167
"17687",2020-07-11,11,7,2020,39,5,"Mauritania","MR","MRT",4525698,"Africa",30.64720624
"17688",2020-07-10,10,7,2020,63,4,"Mauritania","MR","MRT",4525698,"Africa",29.78546072
"17689",2020-07-09,9,7,2020,145,5,"Mauritania","MR","MRT",4525698,"Africa",38.27033974
"17690",2020-07-08,8,7,2020,0,0,"Mauritania","MR","MRT",4525698,"Africa",41.87199411
"17691",2020-07-07,7,7,2020,0,0,"Mauritania","MR","MRT",4525698,"Africa",41.87199411
"17692",2020-07-06,6,7,2020,52,1,"Mauritania","MR","MRT",4525698,"Africa",45.6504168
"17693",2020-07-05,5,7,2020,355,0,"Mauritania","MR","MRT",4525698,"Africa",44.50142276
"17694",2020-07-04,4,7,2020,0,0,"Mauritania","MR","MRT",4525698,"Africa",49.69399195
"17695",2020-07-03,3,7,2020,323,3,"Mauritania","MR","MRT",4525698,"Africa",49.69399195
"17696",2020-07-02,2,7,2020,0,0,"Mauritania","MR","MRT",4525698,"Africa",46.22491381
"17697",2020-07-01,1,7,2020,0,0,"Mauritania","MR","MRT",4525698,"Africa",46.22491381
"17698",2020-06-30,30,6,2020,242,6,"Mauritania","MR","MRT",4525698,"Africa",49.98124046
"17699",2020-06-29,29,6,2020,0,0,"Mauritania","MR","MRT",4525698,"Africa",46.93198707
"17700",2020-06-28,28,6,2020,168,1,"Mauritania","MR","MRT",4525698,"Africa",54.53302452
"17701",2020-06-27,27,6,2020,0,0,"Mauritania","MR","MRT",4525698,"Africa",50.82088995
"17702",2020-06-26,26,6,2020,447,5,"Mauritania","MR","MRT",4525698,"Africa",56.94149278
"17703",2020-06-25,25,6,2020,308,3,"Mauritania","MR","MRT",4525698,"Africa",47.0645633
"17704",2020-06-24,24,6,2020,0,0,"Mauritania","MR","MRT",4525698,"Africa",40.25898326
"17705",2020-06-23,23,6,2020,171,3,"Mauritania","MR","MRT",4525698,"Africa",45.00963166
"17706",2020-06-22,22,6,2020,0,0,"Mauritania","MR","MRT",4525698,"Africa",41.23120898
"17707",2020-06-21,21,6,2020,590,13,"Mauritania","MR","MRT",4525698,"Africa",41.23120898
"17708",2020-06-20,20,6,2020,0,0,"Mauritania","MR","MRT",4525698,"Africa",29.60869241
"17709",2020-06-19,19,6,2020,166,2,"Mauritania","MR","MRT",4525698,"Africa",31.79620028
"17710",2020-06-18,18,6,2020,0,0,"Mauritania","MR","MRT",4525698,"Africa",30.69139832
"17711",2020-06-17,17,6,2020,170,2,"Mauritania","MR","MRT",4525698,"Africa",30.69139832
"17712",2020-06-16,16,6,2020,104,4,"Mauritania","MR","MRT",4525698,"Africa",29.98432507
"17713",2020-06-15,15,6,2020,344,13,"Mauritania","MR","MRT",4525698,"Africa",27.686337
"17714",2020-06-14,14,6,2020,0,0,"Mauritania","MR","MRT",4525698,"Africa",21.12381339
"17715",2020-06-13,13,6,2020,277,13,"Mauritania","MR","MRT",4525698,"Africa",22.44957573
"17716",2020-06-12,12,6,2020,0,0,"Mauritania","MR","MRT",4525698,"Africa",19.22355402
"17717",2020-06-11,11,6,2020,0,0,"Mauritania","MR","MRT",4525698,"Africa",19.22355402
"17718",2020-06-10,10,6,2020,215,18,"Mauritania","MR","MRT",4525698,"Africa",19.8864352
"17719",2020-06-09,9,6,2020,0,0,"Mauritania","MR","MRT",4525698,"Africa",15.68818777
"17720",2020-06-08,8,6,2020,0,0,"Mauritania","MR","MRT",4525698,"Africa",15.68818777
