"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"20286",2020-08-04,4,8,2020,0,0,"Mauritius","MU","MUS",1269670,"Africa",0.07876062
"20287",2020-08-03,3,8,2020,0,0,"Mauritius","MU","MUS",1269670,"Africa",0.07876062
"20288",2020-08-02,2,8,2020,0,0,"Mauritius","MU","MUS",1269670,"Africa",0.07876062
"20289",2020-08-01,1,8,2020,0,0,"Mauritius","MU","MUS",1269670,"Africa",0.07876062
"20290",2020-07-31,31,7,2020,0,0,"Mauritius","MU","MUS",1269670,"Africa",0.07876062
"20291",2020-07-30,30,7,2020,0,0,"Mauritius","MU","MUS",1269670,"Africa",0.07876062
"20292",2020-07-29,29,7,2020,0,0,"Mauritius","MU","MUS",1269670,"Africa",0.15752125
"20293",2020-07-28,28,7,2020,0,0,"Mauritius","MU","MUS",1269670,"Africa",0.15752125
"20294",2020-07-27,27,7,2020,0,0,"Mauritius","MU","MUS",1269670,"Africa",0.15752125
"20295",2020-07-26,26,7,2020,0,0,"Mauritius","MU","MUS",1269670,"Africa",0.15752125
"20296",2020-07-25,25,7,2020,1,0,"Mauritius","MU","MUS",1269670,"Africa",0.15752125
"20297",2020-07-24,24,7,2020,0,0,"Mauritius","MU","MUS",1269670,"Africa",0.07876062
"20298",2020-07-23,23,7,2020,0,0,"Mauritius","MU","MUS",1269670,"Africa",0.07876062
"20299",2020-07-22,22,7,2020,0,0,"Mauritius","MU","MUS",1269670,"Africa",0.07876062
"20300",2020-07-21,21,7,2020,0,0,"Mauritius","MU","MUS",1269670,"Africa",0.07876062
"20301",2020-07-20,20,7,2020,0,0,"Mauritius","MU","MUS",1269670,"Africa",0.15752125
"20302",2020-07-19,19,7,2020,0,0,"Mauritius","MU","MUS",1269670,"Africa",0.15752125
"20303",2020-07-18,18,7,2020,0,0,"Mauritius","MU","MUS",1269670,"Africa",0.15752125
"20304",2020-07-17,17,7,2020,0,0,"Mauritius","MU","MUS",1269670,"Africa",0.15752125
"20305",2020-07-16,16,7,2020,1,0,"Mauritius","MU","MUS",1269670,"Africa",0.15752125
"20306",2020-07-15,15,7,2020,0,0,"Mauritius","MU","MUS",1269670,"Africa",0.07876062
"20307",2020-07-14,14,7,2020,0,0,"Mauritius","MU","MUS",1269670,"Africa",0.07876062
"20308",2020-07-13,13,7,2020,0,0,"Mauritius","MU","MUS",1269670,"Africa",0.07876062
"20309",2020-07-12,12,7,2020,0,0,"Mauritius","MU","MUS",1269670,"Africa",0.07876062
"20310",2020-07-11,11,7,2020,0,0,"Mauritius","MU","MUS",1269670,"Africa",0.07876062
"20311",2020-07-10,10,7,2020,0,0,"Mauritius","MU","MUS",1269670,"Africa",0.07876062
"20312",2020-07-09,9,7,2020,0,0,"Mauritius","MU","MUS",1269670,"Africa",0.07876062
"20313",2020-07-08,8,7,2020,0,0,"Mauritius","MU","MUS",1269670,"Africa",0.15752125
"20314",2020-07-07,7,7,2020,1,0,"Mauritius","MU","MUS",1269670,"Africa",0.15752125
"20315",2020-07-06,6,7,2020,0,0,"Mauritius","MU","MUS",1269670,"Africa",0.31504249
"20316",2020-07-05,5,7,2020,0,0,"Mauritius","MU","MUS",1269670,"Africa",0.31504249
"20317",2020-07-04,4,7,2020,0,0,"Mauritius","MU","MUS",1269670,"Africa",0.31504249
