"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"18549",2020-07-20,20,7,2020,5311,296,"Mexico","MX","MEX",127575529,"America",68.4896239
"18550",2020-07-19,19,7,2020,7615,578,"Mexico","MX","MEX",127575529,"America",67.99736649
"18551",2020-07-18,18,7,2020,7257,736,"Mexico","MX","MEX",127575529,"America",67.44788807
"18552",2020-07-17,17,7,2020,6406,668,"Mexico","MX","MEX",127575529,"America",67.04263793
"18553",2020-07-16,16,7,2020,6149,579,"Mexico","MX","MEX",127575529,"America",67.30522748
"18554",2020-07-15,15,7,2020,7051,878,"Mexico","MX","MEX",127575529,"America",66.93838597
"18555",2020-07-14,14,7,2020,4685,443,"Mexico","MX","MEX",127575529,"America",65.66933381
"18556",2020-07-13,13,7,2020,4482,276,"Mexico","MX","MEX",127575529,"America",64.97954635
"18557",2020-07-12,12,7,2020,6094,539,"Mexico","MX","MEX",127575529,"America",64.64092342
"18558",2020-07-11,11,7,2020,6891,665,"Mexico","MX","MEX",127575529,"America",63.32092105
"18559",2020-07-10,10,7,2020,7280,730,"Mexico","MX","MEX",127575529,"America",62.18433944
"18560",2020-07-09,9,7,2020,6995,782,"Mexico","MX","MEX",127575529,"America",61.26253257
"18561",2020-07-08,8,7,2020,6258,895,"Mexico","MX","MEX",127575529,"America",60.04129522
"18562",2020-07-07,7,7,2020,4902,480,"Mexico","MX","MEX",127575529,"America",60.06481071
"18563",2020-07-06,6,7,2020,4683,273,"Mexico","MX","MEX",127575529,"America",59.81005965
"18564",2020-07-05,5,7,2020,6914,523,"Mexico","MX","MEX",127575529,"America",60.32740025
"18565",2020-07-04,4,7,2020,6740,654,"Mexico","MX","MEX",127575529,"America",58.60528315
"18566",2020-07-03,3,7,2020,6741,679,"Mexico","MX","MEX",127575529,"America",57.2649007
"18567",2020-07-02,2,7,2020,5681,741,"Mexico","MX","MEX",127575529,"America",56.41912721
"18568",2020-07-01,1,7,2020,5432,648,"Mexico","MX","MEX",127575529,"America",55.83045633
"18569",2020-06-30,30,6,2020,3805,473,"Mexico","MX","MEX",127575529,"America",55.17750979
"18570",2020-06-29,29,6,2020,4050,267,"Mexico","MX","MEX",127575529,"America",54.88121472
"18571",2020-06-28,28,6,2020,4410,602,"Mexico","MX","MEX",127575529,"America",54.95724811
"18572",2020-06-27,27,6,2020,5441,719,"Mexico","MX","MEX",127575529,"America",54.23924207
"18573",2020-06-26,26,6,2020,6104,718,"Mexico","MX","MEX",127575529,"America",54.06757906
"18574",2020-06-25,25,6,2020,5437,965,"Mexico","MX","MEX",127575529,"America",53.03760096
"18575",2020-06-24,24,6,2020,6288,793,"Mexico","MX","MEX",127575529,"America",52.60334841
"18576",2020-06-23,23,6,2020,4577,759,"Mexico","MX","MEX",127575529,"America",50.96588704
"18577",2020-06-22,22,6,2020,5343,1044,"Mexico","MX","MEX",127575529,"America",49.72897271
"18578",2020-06-21,21,6,2020,4717,387,"Mexico","MX","MEX",127575529,"America",48.2717967
"18579",2020-06-20,20,6,2020,5030,647,"Mexico","MX","MEX",127575529,"America",47.39074999
"18580",2020-06-19,19,6,2020,5662,667,"Mexico","MX","MEX",127575529,"America",46.85459701
"18581",2020-06-18,18,6,2020,4930,770,"Mexico","MX","MEX",127575529,"America",45.89830076
"18582",2020-06-17,17,6,2020,4599,730,"Mexico","MX","MEX",127575529,"America",45.10034209
