"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"19385",2020-07-24,24,7,2020,2,0,"Monaco","MC","MCO",33085,"Europe",18.13510654
"19386",2020-07-23,23,7,2020,1,0,"Monaco","MC","MCO",33085,"Europe",12.09007103
"19387",2020-07-22,22,7,2020,2,0,"Monaco","MC","MCO",33085,"Europe",9.06755327
"19388",2020-07-21,21,7,2020,0,0,"Monaco","MC","MCO",33085,"Europe",3.02251776
"19389",2020-07-20,20,7,2020,0,0,"Monaco","MC","MCO",33085,"Europe",3.02251776
"19390",2020-07-19,19,7,2020,0,0,"Monaco","MC","MCO",33085,"Europe",9.06755327
"19391",2020-07-18,18,7,2020,0,0,"Monaco","MC","MCO",33085,"Europe",9.06755327
"19392",2020-07-17,17,7,2020,0,0,"Monaco","MC","MCO",33085,"Europe",9.06755327
"19393",2020-07-16,16,7,2020,0,0,"Monaco","MC","MCO",33085,"Europe",18.13510654
"19394",2020-07-15,15,7,2020,0,0,"Monaco","MC","MCO",33085,"Europe",18.13510654
"19395",2020-07-14,14,7,2020,0,0,"Monaco","MC","MCO",33085,"Europe",18.13510654
"19396",2020-07-13,13,7,2020,0,0,"Monaco","MC","MCO",33085,"Europe",18.13510654
"19397",2020-07-12,12,7,2020,1,0,"Monaco","MC","MCO",33085,"Europe",18.13510654
"19398",2020-07-11,11,7,2020,0,0,"Monaco","MC","MCO",33085,"Europe",18.13510654
"19399",2020-07-10,10,7,2020,0,0,"Monaco","MC","MCO",33085,"Europe",18.13510654
"19400",2020-07-09,9,7,2020,0,0,"Monaco","MC","MCO",33085,"Europe",18.13510654
"19401",2020-07-08,8,7,2020,0,0,"Monaco","MC","MCO",33085,"Europe",21.1576243
"19402",2020-07-07,7,7,2020,0,0,"Monaco","MC","MCO",33085,"Europe",21.1576243
"19403",2020-07-06,6,7,2020,2,0,"Monaco","MC","MCO",33085,"Europe",24.18014206
"19404",2020-07-05,5,7,2020,0,0,"Monaco","MC","MCO",33085,"Europe",21.1576243
"19405",2020-07-04,4,7,2020,0,0,"Monaco","MC","MCO",33085,"Europe",21.1576243
"19406",2020-07-03,3,7,2020,3,0,"Monaco","MC","MCO",33085,"Europe",21.1576243
"19407",2020-07-02,2,7,2020,0,0,"Monaco","MC","MCO",33085,"Europe",12.09007103
"19408",2020-07-01,1,7,2020,0,0,"Monaco","MC","MCO",33085,"Europe",12.09007103
"19409",2020-06-30,30,6,2020,0,0,"Monaco","MC","MCO",33085,"Europe",12.09007103
"19410",2020-06-29,29,6,2020,0,0,"Monaco","MC","MCO",33085,"Europe",12.09007103
"19411",2020-06-28,28,6,2020,1,0,"Monaco","MC","MCO",33085,"Europe",12.09007103
"19412",2020-06-27,27,6,2020,0,0,"Monaco","MC","MCO",33085,"Europe",9.06755327
"19413",2020-06-26,26,6,2020,0,0,"Monaco","MC","MCO",33085,"Europe",9.06755327
"19414",2020-06-25,25,6,2020,1,0,"Monaco","MC","MCO",33085,"Europe",9.06755327
"19415",2020-06-24,24,6,2020,0,0,"Monaco","MC","MCO",33085,"Europe",6.04503551
"19416",2020-06-23,23,6,2020,1,0,"Monaco","MC","MCO",33085,"Europe",6.04503551
"19417",2020-06-22,22,6,2020,1,0,"Monaco","MC","MCO",33085,"Europe",3.02251776
"19418",2020-06-21,21,6,2020,0,0,"Monaco","MC","MCO",33085,"Europe",0
"19419",2020-06-20,20,6,2020,0,0,"Monaco","MC","MCO",33085,"Europe",0
"19420",2020-06-19,19,6,2020,0,0,"Monaco","MC","MCO",33085,"Europe",0
"19421",2020-06-18,18,6,2020,0,0,"Monaco","MC","MCO",33085,"Europe",0
"19422",2020-06-17,17,6,2020,0,0,"Monaco","MC","MCO",33085,"Europe",0
"19423",2020-06-16,16,6,2020,0,0,"Monaco","MC","MCO",33085,"Europe",0
"19424",2020-06-15,15,6,2020,0,0,"Monaco","MC","MCO",33085,"Europe",0
