"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"19836",2020-07-26,26,7,2020,0,0,"Mongolia","MN","MNG",3225166,"Asia",1.79835705
"19837",2020-07-25,25,7,2020,0,0,"Mongolia","MN","MNG",3225166,"Asia",1.89137551
"19838",2020-07-24,24,7,2020,1,0,"Mongolia","MN","MNG",3225166,"Asia",1.89137551
"19839",2020-07-23,23,7,2020,0,0,"Mongolia","MN","MNG",3225166,"Asia",1.86036936
"19840",2020-07-22,22,7,2020,0,0,"Mongolia","MN","MNG",3225166,"Asia",2.07741245
"19841",2020-07-21,21,7,2020,0,0,"Mongolia","MN","MNG",3225166,"Asia",2.07741245
"19842",2020-07-20,20,7,2020,0,0,"Mongolia","MN","MNG",3225166,"Asia",2.07741245
"19843",2020-07-19,19,7,2020,0,0,"Mongolia","MN","MNG",3225166,"Asia",2.07741245
"19844",2020-07-18,18,7,2020,25,0,"Mongolia","MN","MNG",3225166,"Asia",2.07741245
"19845",2020-07-17,17,7,2020,1,0,"Mongolia","MN","MNG",3225166,"Asia",1.30225855
"19846",2020-07-16,16,7,2020,0,0,"Mongolia","MN","MNG",3225166,"Asia",1.27125239
"19847",2020-07-15,15,7,2020,18,0,"Mongolia","MN","MNG",3225166,"Asia",1.27125239
"19848",2020-07-14,14,7,2020,13,0,"Mongolia","MN","MNG",3225166,"Asia",0.71314159
"19849",2020-07-13,13,7,2020,0,0,"Mongolia","MN","MNG",3225166,"Asia",0.31006156
"19850",2020-07-12,12,7,2020,3,0,"Mongolia","MN","MNG",3225166,"Asia",0.34106772
"19851",2020-07-11,11,7,2020,0,0,"Mongolia","MN","MNG",3225166,"Asia",0.24804925
"19852",2020-07-10,10,7,2020,0,0,"Mongolia","MN","MNG",3225166,"Asia",0.24804925
"19853",2020-07-09,9,7,2020,7,0,"Mongolia","MN","MNG",3225166,"Asia",0.34106772
"19854",2020-07-08,8,7,2020,0,0,"Mongolia","MN","MNG",3225166,"Asia",0.15503078
"19855",2020-07-07,7,7,2020,0,0,"Mongolia","MN","MNG",3225166,"Asia",0.15503078
"19856",2020-07-06,6,7,2020,0,0,"Mongolia","MN","MNG",3225166,"Asia",0.21704309
