"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"19711",2020-07-24,24,7,2020,54,4,"Montenegro","ME","MNE",622182,"Europe",156.2243845
"19712",2020-07-23,23,7,2020,17,0,"Montenegro","ME","MNE",622182,"Europe",157.02800788
"19713",2020-07-22,22,7,2020,59,3,"Montenegro","ME","MNE",622182,"Europe",162.8140962
"19714",2020-07-21,21,7,2020,90,2,"Montenegro","ME","MNE",622182,"Europe",163.93916892
"19715",2020-07-20,20,7,2020,107,2,"Montenegro","ME","MNE",622182,"Europe",159.11742866
"19716",2020-07-19,19,7,2020,46,2,"Montenegro","ME","MNE",622182,"Europe",151.72409359
"19717",2020-07-18,18,7,2020,0,0,"Montenegro","ME","MNE",622182,"Europe",153.49206502
"19718",2020-07-17,17,7,2020,36,1,"Montenegro","ME","MNE",622182,"Europe",161.04612477
"19719",2020-07-16,16,7,2020,60,0,"Montenegro","ME","MNE",622182,"Europe",161.68902347
"19720",2020-07-15,15,7,2020,69,1,"Montenegro","ME","MNE",622182,"Europe",156.54583386
"19721",2020-07-14,14,7,2020,232,1,"Montenegro","ME","MNE",622182,"Europe",153.009891
"19722",2020-07-13,13,7,2020,57,0,"Montenegro","ME","MNE",622182,"Europe",118.93625981
"19723",2020-07-12,12,7,2020,87,4,"Montenegro","ME","MNE",622182,"Europe",111.70364941
"19724",2020-07-11,11,7,2020,58,0,"Montenegro","ME","MNE",622182,"Europe",102.54234292
"19725",2020-07-10,10,7,2020,59,2,"Montenegro","ME","MNE",622182,"Europe",97.23842863
"19726",2020-07-09,9,7,2020,53,0,"Montenegro","ME","MNE",622182,"Europe",91.77378966
"19727",2020-07-08,8,7,2020,66,3,"Montenegro","ME","MNE",622182,"Europe",85.0233533
"19728",2020-07-07,7,7,2020,60,0,"Montenegro","ME","MNE",622182,"Europe",76.18349615
"19729",2020-07-06,6,7,2020,61,0,"Montenegro","ME","MNE",622182,"Europe",67.343639
"19730",2020-07-05,5,7,2020,57,1,"Montenegro","ME","MNE",622182,"Europe",58.02160783
"19731",2020-07-04,4,7,2020,47,0,"Montenegro","ME","MNE",622182,"Europe",49.50320003
"19732",2020-07-03,3,7,2020,40,1,"Montenegro","ME","MNE",622182,"Europe",44.84218444
"19733",2020-07-02,2,7,2020,28,0,"Montenegro","ME","MNE",622182,"Europe",39.05609613
"19734",2020-07-01,1,7,2020,47,1,"Montenegro","ME","MNE",622182,"Europe",35.68087794
"19735",2020-06-30,30,6,2020,20,0,"Montenegro","ME","MNE",622182,"Europe",28.1268182
"19736",2020-06-29,29,6,2020,12,2,"Montenegro","ME","MNE",622182,"Europe",25.07304936
"19737",2020-06-28,28,6,2020,30,0,"Montenegro","ME","MNE",622182,"Europe",23.30507794
"19738",2020-06-27,27,6,2020,25,0,"Montenegro","ME","MNE",622182,"Europe",18.48333767
"19739",2020-06-26,26,6,2020,25,0,"Montenegro","ME","MNE",622182,"Europe",14.46522079
"19740",2020-06-25,25,6,2020,11,0,"Montenegro","ME","MNE",622182,"Europe",10.4471039
"19741",2020-06-24,24,6,2020,11,0,"Montenegro","ME","MNE",622182,"Europe",8.67913247
"19742",2020-06-23,23,6,2020,5,0,"Montenegro","ME","MNE",622182,"Europe",6.91116104
"19743",2020-06-22,22,6,2020,3,0,"Montenegro","ME","MNE",622182,"Europe",6.10753767
"19744",2020-06-21,21,6,2020,4,0,"Montenegro","ME","MNE",622182,"Europe",5.62536364
"19745",2020-06-20,20,6,2020,18,0,"Montenegro","ME","MNE",622182,"Europe",4.98246494
"19746",2020-06-19,19,6,2020,4,0,"Montenegro","ME","MNE",622182,"Europe",2.08942078
"19747",2020-06-18,18,6,2020,7,0,"Montenegro","ME","MNE",622182,"Europe",1.44652208
"19748",2020-06-17,17,6,2020,0,0,"Montenegro","ME","MNE",622182,"Europe",0.32144935
"19749",2020-06-16,16,6,2020,1,0,"Montenegro","ME","MNE",622182,"Europe",0.32144935
"19750",2020-06-15,15,6,2020,1,0,"Montenegro","ME","MNE",622182,"Europe",0.16072468
"19751",2020-06-14,14,6,2020,0,0,"Montenegro","ME","MNE",622182,"Europe",0
"19752",2020-06-13,13,6,2020,0,0,"Montenegro","ME","MNE",622182,"Europe",0
"19753",2020-06-12,12,6,2020,0,0,"Montenegro","ME","MNE",622182,"Europe",0
"19754",2020-06-11,11,6,2020,0,0,"Montenegro","ME","MNE",622182,"Europe",0
"19755",2020-06-10,10,6,2020,0,0,"Montenegro","ME","MNE",622182,"Europe",0
"19756",2020-06-09,9,6,2020,0,0,"Montenegro","ME","MNE",622182,"Europe",0
"19757",2020-06-08,8,6,2020,0,0,"Montenegro","ME","MNE",622182,"Europe",0
"19758",2020-06-07,7,6,2020,0,0,"Montenegro","ME","MNE",622182,"Europe",0
"19759",2020-06-06,6,6,2020,0,0,"Montenegro","ME","MNE",622182,"Europe",0
"19760",2020-06-05,5,6,2020,0,0,"Montenegro","ME","MNE",622182,"Europe",0
"19761",2020-06-04,4,6,2020,0,0,"Montenegro","ME","MNE",622182,"Europe",0
"19762",2020-06-03,3,6,2020,0,0,"Montenegro","ME","MNE",622182,"Europe",0
"19763",2020-06-02,2,6,2020,0,0,"Montenegro","ME","MNE",622182,"Europe",0
"19764",2020-06-01,1,6,2020,0,0,"Montenegro","ME","MNE",622182,"Europe",0
"19765",2020-05-31,31,5,2020,0,0,"Montenegro","ME","MNE",622182,"Europe",0
"19766",2020-05-30,30,5,2020,0,0,"Montenegro","ME","MNE",622182,"Europe",0
"19767",2020-05-29,29,5,2020,0,0,"Montenegro","ME","MNE",622182,"Europe",0
"19768",2020-05-28,28,5,2020,0,0,"Montenegro","ME","MNE",622182,"Europe",0
"19769",2020-05-27,27,5,2020,0,0,"Montenegro","ME","MNE",622182,"Europe",0
"19770",2020-05-26,26,5,2020,0,0,"Montenegro","ME","MNE",622182,"Europe",0
"19771",2020-05-25,25,5,2020,0,0,"Montenegro","ME","MNE",622182,"Europe",0
"19772",2020-05-24,24,5,2020,0,0,"Montenegro","ME","MNE",622182,"Europe",0
"19773",2020-05-23,23,5,2020,0,0,"Montenegro","ME","MNE",622182,"Europe",0
"19774",2020-05-22,22,5,2020,0,0,"Montenegro","ME","MNE",622182,"Europe",0
"19775",2020-05-21,21,5,2020,0,0,"Montenegro","ME","MNE",622182,"Europe",0
"19776",2020-05-20,20,5,2020,0,0,"Montenegro","ME","MNE",622182,"Europe",0
"19777",2020-05-19,19,5,2020,0,0,"Montenegro","ME","MNE",622182,"Europe",0.16072468
"19778",2020-05-18,18,5,2020,0,0,"Montenegro","ME","MNE",622182,"Europe",0.32144935
"19779",2020-05-17,17,5,2020,0,0,"Montenegro","ME","MNE",622182,"Europe",0.32144935
"19780",2020-05-16,16,5,2020,0,0,"Montenegro","ME","MNE",622182,"Europe",0.32144935
"19781",2020-05-15,15,5,2020,0,0,"Montenegro","ME","MNE",622182,"Europe",0.32144935
"19782",2020-05-14,14,5,2020,0,0,"Montenegro","ME","MNE",622182,"Europe",0.32144935
"19783",2020-05-13,13,5,2020,0,0,"Montenegro","ME","MNE",622182,"Europe",0.48217403
"19784",2020-05-12,12,5,2020,0,0,"Montenegro","ME","MNE",622182,"Europe",0.48217403
"19785",2020-05-11,11,5,2020,0,1,"Montenegro","ME","MNE",622182,"Europe",0.48217403
"19786",2020-05-10,10,5,2020,0,0,"Montenegro","ME","MNE",622182,"Europe",0.6428987
"19787",2020-05-09,9,5,2020,0,0,"Montenegro","ME","MNE",622182,"Europe",0.80362338
"19788",2020-05-08,8,5,2020,0,0,"Montenegro","ME","MNE",622182,"Europe",0.80362338
"19789",2020-05-07,7,5,2020,0,0,"Montenegro","ME","MNE",622182,"Europe",1.44652208
"19790",2020-05-06,6,5,2020,1,0,"Montenegro","ME","MNE",622182,"Europe",1.76797143
"19791",2020-05-05,5,5,2020,1,0,"Montenegro","ME","MNE",622182,"Europe",1.76797143
"19792",2020-05-04,4,5,2020,0,1,"Montenegro","ME","MNE",622182,"Europe",2.25014546
"19793",2020-05-03,3,5,2020,0,0,"Montenegro","ME","MNE",622182,"Europe",2.41087013
"19794",2020-05-02,2,5,2020,0,0,"Montenegro","ME","MNE",622182,"Europe",3.05376883
"19795",2020-05-01,1,5,2020,0,0,"Montenegro","ME","MNE",622182,"Europe",3.05376883
"19796",2020-04-30,30,4,2020,1,0,"Montenegro","ME","MNE",622182,"Europe",5.46463896
"19797",2020-04-29,29,4,2020,0,0,"Montenegro","ME","MNE",622182,"Europe",6.10753767
"19798",2020-04-28,28,4,2020,0,0,"Montenegro","ME","MNE",622182,"Europe",7.55405974
"19799",2020-04-27,27,4,2020,1,1,"Montenegro","ME","MNE",622182,"Europe",7.8755091
"19800",2020-04-26,26,4,2020,1,0,"Montenegro","ME","MNE",622182,"Europe",9.1613065
"19801",2020-04-25,25,4,2020,0,1,"Montenegro","ME","MNE",622182,"Europe",9.96492988
"19802",2020-04-24,24,4,2020,4,0,"Montenegro","ME","MNE",622182,"Europe",10.76855325
"19803",2020-04-23,23,4,2020,2,0,"Montenegro","ME","MNE",622182,"Europe",10.60782858
"19804",2020-04-22,22,4,2020,1,0,"Montenegro","ME","MNE",622182,"Europe",11.57217663
"19805",2020-04-21,21,4,2020,4,0,"Montenegro","ME","MNE",622182,"Europe",12.69724936
"19806",2020-04-20,20,4,2020,1,0,"Montenegro","ME","MNE",622182,"Europe",15.10811949
"19807",2020-04-19,19,4,2020,4,1,"Montenegro","ME","MNE",622182,"Europe",17.03681559
"19808",2020-04-18,18,4,2020,0,0,"Montenegro","ME","MNE",622182,"Europe",20.73348313
"19809",2020-04-17,17,4,2020,15,0,"Montenegro","ME","MNE",622182,"Europe",25.55522339
"19810",2020-04-16,16,4,2020,5,0,"Montenegro","ME","MNE",622182,"Europe",26.51957144
"19811",2020-04-15,15,4,2020,9,1,"Montenegro","ME","MNE",622182,"Europe",27.96609352
"19812",2020-04-14,14,4,2020,2,0,"Montenegro","ME","MNE",622182,"Europe",29.4126156
"19813",2020-04-13,13,4,2020,9,1,"Montenegro","ME","MNE",622182,"Europe",30.0555143
"19814",2020-04-12,12,4,2020,6,0,"Montenegro","ME","MNE",622182,"Europe",28.7697169
"19815",2020-04-11,11,4,2020,5,0,"Montenegro","ME","MNE",622182,"Europe",29.25189093
"19816",2020-04-10,10,4,2020,3,0,"Montenegro","ME","MNE",622182,"Europe",29.73406495
"19817",2020-04-09,9,4,2020,8,0,"Montenegro","ME","MNE",622182,"Europe",31.50203638
"19818",2020-04-08,8,4,2020,8,0,"Montenegro","ME","MNE",622182,"Europe",31.18058703
"19819",2020-04-07,7,4,2020,19,0,"Montenegro","ME","MNE",622182,"Europe",33.10928314
"19820",2020-04-06,6,4,2020,13,0,"Montenegro","ME","MNE",622182,"Europe",31.01986236
"19821",2020-04-05,5,4,2020,27,0,"Montenegro","ME","MNE",622182,"Europe",30.0555143
"19822",2020-04-04,4,4,2020,30,0,"Montenegro","ME","MNE",622182,"Europe",25.71594807
"19823",2020-04-03,3,4,2020,21,1,"Montenegro","ME","MNE",622182,"Europe",21.05493248
"19824",2020-04-02,2,4,2020,14,0,"Montenegro","ME","MNE",622182,"Europe",18.48333767
"19825",2020-04-01,1,4,2020,18,0,"Montenegro","ME","MNE",622182,"Europe",17.19754027
"19826",2020-03-31,31,3,2020,6,0,"Montenegro","ME","MNE",622182,"Europe",14.62594546
"19827",2020-03-30,30,3,2020,1,0,"Montenegro","ME","MNE",622182,"Europe",NA
"19828",2020-03-29,29,3,2020,9,0,"Montenegro","ME","MNE",622182,"Europe",NA
"19829",2020-03-28,28,3,2020,8,0,"Montenegro","ME","MNE",622182,"Europe",NA
"19830",2020-03-27,27,3,2020,14,1,"Montenegro","ME","MNE",622182,"Europe",NA
"19831",2020-03-26,26,3,2020,6,0,"Montenegro","ME","MNE",622182,"Europe",NA
"19832",2020-03-25,25,3,2020,20,0,"Montenegro","ME","MNE",622182,"Europe",NA
"19833",2020-03-24,24,3,2020,6,0,"Montenegro","ME","MNE",622182,"Europe",NA
"19834",2020-03-23,23,3,2020,7,0,"Montenegro","ME","MNE",622182,"Europe",NA
"19835",2020-03-22,22,3,2020,0,0,"Montenegro","ME","MNE",622182,"Europe",NA
"19836",2020-03-21,21,3,2020,1,0,"Montenegro","ME","MNE",622182,"Europe",NA
"19837",2020-03-20,20,3,2020,5,0,"Montenegro","ME","MNE",622182,"Europe",NA
"19838",2020-03-19,19,3,2020,6,0,"Montenegro","ME","MNE",622182,"Europe",NA
"19839",2020-03-18,18,3,2020,2,0,"Montenegro","ME","MNE",622182,"Europe",NA
