"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"18670",2020-07-15,15,7,2020,0,0,"Montserrat","MS","MSF",4991,"America",20.03606492
"18671",2020-07-14,14,7,2020,0,0,"Montserrat","MS","MSF",4991,"America",20.03606492
"18672",2020-07-13,13,7,2020,0,0,"Montserrat","MS","MSF",4991,"America",20.03606492
"18673",2020-07-12,12,7,2020,0,0,"Montserrat","MS","MSF",4991,"America",20.03606492
"18674",2020-07-11,11,7,2020,1,0,"Montserrat","MS","MSF",4991,"America",20.03606492
"18675",2020-07-10,10,7,2020,0,0,"Montserrat","MS","MSF",4991,"America",0
"18676",2020-07-09,9,7,2020,0,0,"Montserrat","MS","MSF",4991,"America",0
"18677",2020-07-08,8,7,2020,0,0,"Montserrat","MS","MSF",4991,"America",0
"18678",2020-07-07,7,7,2020,0,0,"Montserrat","MS","MSF",4991,"America",0
"18679",2020-07-06,6,7,2020,0,0,"Montserrat","MS","MSF",4991,"America",0
"18680",2020-07-05,5,7,2020,0,0,"Montserrat","MS","MSF",4991,"America",0
"18681",2020-07-04,4,7,2020,0,0,"Montserrat","MS","MSF",4991,"America",0
"18682",2020-07-03,3,7,2020,0,0,"Montserrat","MS","MSF",4991,"America",0
"18683",2020-07-02,2,7,2020,0,0,"Montserrat","MS","MSF",4991,"America",0
"18684",2020-07-01,1,7,2020,0,0,"Montserrat","MS","MSF",4991,"America",0
"18685",2020-06-30,30,6,2020,0,0,"Montserrat","MS","MSF",4991,"America",0
"18686",2020-06-29,29,6,2020,0,0,"Montserrat","MS","MSF",4991,"America",0
"18687",2020-06-28,28,6,2020,0,0,"Montserrat","MS","MSF",4991,"America",0
"18688",2020-06-27,27,6,2020,0,0,"Montserrat","MS","MSF",4991,"America",0
"18689",2020-06-26,26,6,2020,0,0,"Montserrat","MS","MSF",4991,"America",0
"18690",2020-06-25,25,6,2020,0,0,"Montserrat","MS","MSF",4991,"America",0
"18691",2020-06-24,24,6,2020,0,0,"Montserrat","MS","MSF",4991,"America",0
"18692",2020-06-23,23,6,2020,0,0,"Montserrat","MS","MSF",4991,"America",0
"18693",2020-06-22,22,6,2020,0,0,"Montserrat","MS","MSF",4991,"America",0
"18694",2020-06-21,21,6,2020,0,0,"Montserrat","MS","MSF",4991,"America",0
"18695",2020-06-20,20,6,2020,0,0,"Montserrat","MS","MSF",4991,"America",0
"18696",2020-06-19,19,6,2020,0,0,"Montserrat","MS","MSF",4991,"America",0
"18697",2020-06-18,18,6,2020,0,0,"Montserrat","MS","MSF",4991,"America",0
"18698",2020-06-17,17,6,2020,0,0,"Montserrat","MS","MSF",4991,"America",0
"18699",2020-06-16,16,6,2020,0,0,"Montserrat","MS","MSF",4991,"America",0
"18700",2020-06-15,15,6,2020,0,0,"Montserrat","MS","MSF",4991,"America",0
"18701",2020-06-14,14,6,2020,0,0,"Montserrat","MS","MSF",4991,"America",0
"18702",2020-06-13,13,6,2020,0,0,"Montserrat","MS","MSF",4991,"America",0
"18703",2020-06-12,12,6,2020,0,0,"Montserrat","MS","MSF",4991,"America",0
"18704",2020-06-11,11,6,2020,0,0,"Montserrat","MS","MSF",4991,"America",0
"18705",2020-06-10,10,6,2020,0,0,"Montserrat","MS","MSF",4991,"America",0
"18706",2020-06-09,9,6,2020,0,0,"Montserrat","MS","MSF",4991,"America",0
"18707",2020-06-08,8,6,2020,0,0,"Montserrat","MS","MSF",4991,"America",0
"18708",2020-06-07,7,6,2020,0,0,"Montserrat","MS","MSF",4991,"America",0
"18709",2020-06-06,6,6,2020,0,0,"Montserrat","MS","MSF",4991,"America",0
"18710",2020-06-05,5,6,2020,0,0,"Montserrat","MS","MSF",4991,"America",0
"18711",2020-06-04,4,6,2020,0,0,"Montserrat","MS","MSF",4991,"America",0
"18712",2020-06-03,3,6,2020,0,0,"Montserrat","MS","MSF",4991,"America",0
"18713",2020-06-02,2,6,2020,0,0,"Montserrat","MS","MSF",4991,"America",0
"18714",2020-06-01,1,6,2020,0,0,"Montserrat","MS","MSF",4991,"America",0
"18715",2020-05-31,31,5,2020,0,0,"Montserrat","MS","MSF",4991,"America",0
"18716",2020-05-30,30,5,2020,0,0,"Montserrat","MS","MSF",4991,"America",0
"18717",2020-05-29,29,5,2020,0,0,"Montserrat","MS","MSF",4991,"America",0
