"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"18393",2020-07-12,12,7,2020,214,2,"Morocco","MA","MAR",36471766,"Africa",10.04886903
"18394",2020-07-11,11,7,2020,379,1,"Morocco","MA","MAR",36471766,"Africa",10.13112444
"18395",2020-07-10,10,7,2020,178,0,"Morocco","MA","MAR",36471766,"Africa",9.9008093
"18396",2020-07-09,9,7,2020,442,7,"Morocco","MA","MAR",36471766,"Africa",10.59449658
"18397",2020-07-08,8,7,2020,0,0,"Morocco","MA","MAR",36471766,"Africa",11.14560781
"18398",2020-07-07,7,7,2020,114,0,"Morocco","MA","MAR",36471766,"Africa",11.39785773
"18399",2020-07-06,6,7,2020,393,3,"Morocco","MA","MAR",36471766,"Africa",11.61994733
"18400",2020-07-05,5,7,2020,534,2,"Morocco","MA","MAR",36471766,"Africa",11.02496655
"18401",2020-07-04,4,7,2020,319,1,"Morocco","MA","MAR",36471766,"Africa",10.0762875
"18402",2020-07-03,3,7,2020,333,1,"Morocco","MA","MAR",36471766,"Africa",10.67949383
"18403",2020-07-02,2,7,2020,103,0,"Morocco","MA","MAR",36471766,"Africa",9.97758101
"18404",2020-07-01,1,7,2020,243,3,"Morocco","MA","MAR",36471766,"Africa",9.90355115
"18405",2020-06-30,30,6,2020,238,4,"Morocco","MA","MAR",36471766,"Africa",9.46485564
"18406",2020-06-29,29,6,2020,175,1,"Morocco","MA","MAR",36471766,"Africa",9.09744815
"18407",2020-06-28,28,6,2020,244,2,"Morocco","MA","MAR",36471766,"Africa",8.7327825
"18408",2020-06-27,27,6,2020,295,1,"Morocco","MA","MAR",36471766,"Africa",8.2886033
"18409",2020-06-26,26,6,2020,431,1,"Morocco","MA","MAR",36471766,"Africa",7.67991328
"18410",2020-06-25,25,6,2020,643,2,"Morocco","MA","MAR",36471766,"Africa",6.7230087
"18411",2020-06-24,24,6,2020,92,0,"Morocco","MA","MAR",36471766,"Africa",5.00935436
"18412",2020-06-23,23,6,2020,195,0,"Morocco","MA","MAR",36471766,"Africa",5.12725378
"18413",2020-06-22,22,6,2020,176,1,"Morocco","MA","MAR",36471766,"Africa",4.80645769
"18414",2020-06-21,21,6,2020,188,0,"Morocco","MA","MAR",36471766,"Africa",4.57614254
"18415",2020-06-20,20,6,2020,539,0,"Morocco","MA","MAR",36471766,"Africa",4.22792798
"18416",2020-06-19,19,6,2020,77,0,"Morocco","MA","MAR",36471766,"Africa",2.93651807
"18417",2020-06-18,18,6,2020,76,1,"Morocco","MA","MAR",36471766,"Africa",2.94748546
"18418",2020-06-17,17,6,2020,83,0,"Morocco","MA","MAR",36471766,"Africa",2.89264852
"18419",2020-06-16,16,6,2020,104,0,"Morocco","MA","MAR",36471766,"Africa",2.75555617
"18420",2020-06-15,15,6,2020,42,0,"Morocco","MA","MAR",36471766,"Africa",2.54169211
"18421",2020-06-14,14,6,2020,82,0,"Morocco","MA","MAR",36471766,"Africa",2.50056441
"18422",2020-06-13,13,6,2020,73,1,"Morocco","MA","MAR",36471766,"Africa",2.45669486
"18423",2020-06-12,12,6,2020,82,1,"Morocco","MA","MAR",36471766,"Africa",2.45121116
"18424",2020-06-11,11,6,2020,18,0,"Morocco","MA","MAR",36471766,"Africa",2.34153729
"18425",2020-06-10,10,6,2020,135,2,"Morocco","MA","MAR",36471766,"Africa",2.35798837
"18426",2020-06-09,9,6,2020,78,0,"Morocco","MA","MAR",36471766,"Africa",2.11122214
"18427",2020-06-08,8,6,2020,92,0,"Morocco","MA","MAR",36471766,"Africa",2.16880093
"18428",2020-06-07,7,6,2020,61,0,"Morocco","MA","MAR",36471766,"Africa",1.99058088
"18429",2020-06-06,6,6,2020,68,0,"Morocco","MA","MAR",36471766,"Africa",2.02622489
"18430",2020-06-05,5,6,2020,81,2,"Morocco","MA","MAR",36471766,"Africa",2.17154278
"18431",2020-06-04,4,6,2020,56,0,"Morocco","MA","MAR",36471766,"Africa",2.16331724
"18432",2020-06-03,3,6,2020,33,1,"Morocco","MA","MAR",36471766,"Africa",2.31137697
"18433",2020-06-02,2,6,2020,26,0,"Morocco","MA","MAR",36471766,"Africa",2.41556715
"18434",2020-06-01,1,6,2020,27,1,"Morocco","MA","MAR",36471766,"Africa",2.56911058
"18435",2020-05-31,31,5,2020,66,2,"Morocco","MA","MAR",36471766,"Africa",2.84877897
"18436",2020-05-30,30,5,2020,71,0,"Morocco","MA","MAR",36471766,"Africa",2.91184145
"18437",2020-05-29,29,5,2020,42,0,"Morocco","MA","MAR",36471766,"Africa",2.84055343
"18438",2020-05-28,28,5,2020,24,0,"Morocco","MA","MAR",36471766,"Africa",2.98587132
"18439",2020-05-27,27,5,2020,45,2,"Morocco","MA","MAR",36471766,"Africa",3.1778006
"18440",2020-05-26,26,5,2020,99,1,"Morocco","MA","MAR",36471766,"Africa",3.43005052
"18441",2020-05-25,25,5,2020,27,1,"Morocco","MA","MAR",36471766,"Africa",3.75633031
"18442",2020-05-24,24,5,2020,74,1,"Morocco","MA","MAR",36471766,"Africa",4.10180302
"18443",2020-05-23,23,5,2020,121,1,"Morocco","MA","MAR",36471766,"Africa",4.44453389
"18444",2020-05-22,22,5,2020,78,2,"Morocco","MA","MAR",36471766,"Africa",4.55969146
"18445",2020-05-21,21,5,2020,110,1,"Morocco","MA","MAR",36471766,"Africa",4.72968597
"18446",2020-05-20,20,5,2020,71,1,"Morocco","MA","MAR",36471766,"Africa",4.94629188
"18447",2020-05-19,19,5,2020,82,0,"Morocco","MA","MAR",36471766,"Africa",5.23418581
"18448",2020-05-18,18,5,2020,129,0,"Morocco","MA","MAR",36471766,"Africa",5.39321293
"18449",2020-05-17,17,5,2020,89,2,"Morocco","MA","MAR",36471766,"Africa",5.51659604
"18450",2020-05-16,16,5,2020,45,0,"Morocco","MA","MAR",36471766,"Africa",5.71126718
"18451",2020-05-15,15,5,2020,95,2,"Morocco","MA","MAR",36471766,"Africa",5.98819372
"18452",2020-05-14,14,5,2020,94,0,"Morocco","MA","MAR",36471766,"Africa",6.00738665
"18453",2020-05-13,13,5,2020,137,0,"Morocco","MA","MAR",36471766,"Africa",5.93884047
"18454",2020-05-12,12,5,2020,218,0,"Morocco","MA","MAR",36471766,"Africa",5.92513124
"18455",2020-05-11,11,5,2020,153,2,"Morocco","MA","MAR",36471766,"Africa",5.47821019
"18456",2020-05-10,10,5,2020,199,0,"Morocco","MA","MAR",36471766,"Africa",5.51933789
"18457",2020-05-09,9,5,2020,163,3,"Morocco","MA","MAR",36471766,"Africa",5.35482707
"18458",2020-05-08,8,5,2020,140,0,"Morocco","MA","MAR",36471766,"Africa",5.42885694
"18459",2020-05-07,7,5,2020,189,2,"Morocco","MA","MAR",36471766,"Africa",5.56869113
"18460",2020-05-06,6,5,2020,176,2,"Morocco","MA","MAR",36471766,"Africa",5.51111235
"18461",2020-05-05,5,5,2020,140,5,"Morocco","MA","MAR",36471766,"Africa",5.47546834
"18462",2020-05-04,4,5,2020,174,1,"Morocco","MA","MAR",36471766,"Africa",5.61530253
"18463",2020-05-03,3,5,2020,160,2,"Morocco","MA","MAR",36471766,"Africa",5.60433515
"18464",2020-05-02,2,5,2020,146,1,"Morocco","MA","MAR",36471766,"Africa",5.49740311
"18465",2020-05-01,1,5,2020,102,2,"Morocco","MA","MAR",36471766,"Africa",5.86755245
"18466",2020-04-30,30,4,2020,69,3,"Morocco","MA","MAR",36471766,"Africa",6.29802242
"18467",2020-04-29,29,4,2020,132,3,"Morocco","MA","MAR",36471766,"Africa",6.48172617
"18468",2020-04-28,28,4,2020,55,1,"Morocco","MA","MAR",36471766,"Africa",6.46253324
"18469",2020-04-27,27,4,2020,168,2,"Morocco","MA","MAR",36471766,"Africa",6.59140004
"18470",2020-04-26,26,4,2020,139,1,"Morocco","MA","MAR",36471766,"Africa",6.448824
"18471",2020-04-25,25,4,2020,190,3,"Morocco","MA","MAR",36471766,"Africa",6.33366643
"18472",2020-04-24,24,4,2020,191,6,"Morocco","MA","MAR",36471766,"Africa",6.01561219
"18473",2020-04-23,23,4,2020,168,4,"Morocco","MA","MAR",36471766,"Africa",5.76336227
"18474",2020-04-22,22,4,2020,163,2,"Morocco","MA","MAR",36471766,"Africa",5.55224005
"18475",2020-04-21,21,4,2020,191,2,"Morocco","MA","MAR",36471766,"Africa",5.28079721
"18476",2020-04-20,20,4,2020,170,4,"Morocco","MA","MAR",36471766,"Africa",5.02854729
"18477",2020-04-19,19,4,2020,121,2,"Morocco","MA","MAR",36471766,"Africa",4.8421017
"18478",2020-04-18,18,4,2020,281,5,"Morocco","MA","MAR",36471766,"Africa",5.08886792
"18479",2020-04-17,17,4,2020,259,3,"Morocco","MA","MAR",36471766,"Africa",4.31840893
"18480",2020-04-16,16,4,2020,136,1,"Morocco","MA","MAR",36471766,"Africa",3.75633031
"18481",2020-04-15,15,4,2020,125,0,"Morocco","MA","MAR",36471766,"Africa",3.48488746
"18482",2020-04-14,14,4,2020,102,8,"Morocco","MA","MAR",36471766,"Africa",3.30940926
"18483",2020-04-13,13,4,2020,116,7,"Morocco","MA","MAR",36471766,"Africa",3.24086308
"18484",2020-04-12,12,4,2020,97,4,"Morocco","MA","MAR",36471766,"Africa",3.25457232
"18485",2020-04-11,11,4,2020,74,10,"Morocco","MA","MAR",36471766,"Africa",3.02425717
"18486",2020-04-10,10,4,2020,99,4,"Morocco","MA","MAR",36471766,"Africa",3.01328979
"18487",2020-04-09,9,4,2020,91,3,"Morocco","MA","MAR",36471766,"Africa",2.87893929
"18488",2020-04-08,8,4,2020,64,10,"Morocco","MA","MAR",36471766,"Africa",2.7802328
"18489",2020-04-07,7,4,2020,99,10,"Morocco","MA","MAR",36471766,"Africa",2.70346108
"18490",2020-04-06,6,4,2020,102,11,"Morocco","MA","MAR",36471766,"Africa",2.48411333
"18491",2020-04-05,5,4,2020,211,15,"Morocco","MA","MAR",36471766,"Africa",2.25654003
"18492",2020-04-04,4,4,2020,0,0,"Morocco","MA","MAR",36471766,"Africa",1.7054288
"18493",2020-04-03,3,4,2020,54,5,"Morocco","MA","MAR",36471766,"Africa",1.76849128
"18494",2020-04-02,2,4,2020,37,3,"Morocco","MA","MAR",36471766,"Africa",1.64510816
"18495",2020-04-01,1,4,2020,61,3,"Morocco","MA","MAR",36471766,"Africa",1.5710783
"18496",2020-03-31,31,3,2020,77,7,"Morocco","MA","MAR",36471766,"Africa",1.42301856
"18497",2020-03-30,30,3,2020,121,3,"Morocco","MA","MAR",36471766,"Africa",1.23657297
"18498",2020-03-29,29,3,2020,13,0,"Morocco","MA","MAR",36471766,"Africa",0.93222796
"18499",2020-03-28,28,3,2020,70,13,"Morocco","MA","MAR",36471766,"Africa",0.92674427
"18500",2020-03-27,27,3,2020,50,4,"Morocco","MA","MAR",36471766,"Africa",0.73755683
"18501",2020-03-26,26,3,2020,55,1,"Morocco","MA","MAR",36471766,"Africa",0.60320633
"18502",2020-03-25,25,3,2020,36,1,"Morocco","MA","MAR",36471766,"Africa",0.46063029
"18503",2020-03-24,24,3,2020,19,0,"Morocco","MA","MAR",36471766,"Africa",0.36466564
"18504",2020-03-23,23,3,2020,19,1,"Morocco","MA","MAR",36471766,"Africa",0.3153124
"18505",2020-03-22,22,3,2020,10,0,"Morocco","MA","MAR",36471766,"Africa",NA
"18506",2020-03-21,21,3,2020,23,1,"Morocco","MA","MAR",36471766,"Africa",NA
"18507",2020-03-20,20,3,2020,9,0,"Morocco","MA","MAR",36471766,"Africa",NA
"18508",2020-03-19,19,3,2020,10,0,"Morocco","MA","MAR",36471766,"Africa",NA
"18509",2020-03-18,18,3,2020,7,1,"Morocco","MA","MAR",36471766,"Africa",NA
"18510",2020-03-17,17,3,2020,9,0,"Morocco","MA","MAR",36471766,"Africa",NA
"18511",2020-03-16,16,3,2020,10,0,"Morocco","MA","MAR",36471766,"Africa",NA
"18512",2020-03-15,15,3,2020,11,0,"Morocco","MA","MAR",36471766,"Africa",NA
"18513",2020-03-14,14,3,2020,1,0,"Morocco","MA","MAR",36471766,"Africa",NA
"18514",2020-03-13,13,3,2020,1,0,"Morocco","MA","MAR",36471766,"Africa",NA
"18515",2020-03-12,12,3,2020,3,1,"Morocco","MA","MAR",36471766,"Africa",NA
"18516",2020-03-06,6,3,2020,1,0,"Morocco","MA","MAR",36471766,"Africa",NA
"18517",2020-03-03,3,3,2020,1,0,"Morocco","MA","MAR",36471766,"Africa",NA
