"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"19178",2020-07-17,17,7,2020,53,0,"Mozambique","MZ","MOZ",30366043,"Africa",1.53131575
"19179",2020-07-16,16,7,2020,62,0,"Mozambique","MZ","MOZ",30366043,"Africa",1.40617597
"19180",2020-07-15,15,7,2020,49,0,"Mozambique","MZ","MOZ",30366043,"Africa",1.24810467
"19181",2020-07-14,14,7,2020,62,0,"Mozambique","MZ","MOZ",30366043,"Africa",1.10649912
"19182",2020-07-13,13,7,2020,22,0,"Mozambique","MZ","MOZ",30366043,"Africa",0.98135934
"19183",2020-07-12,12,7,2020,24,0,"Mozambique","MZ","MOZ",30366043,"Africa",0.97477304
"19184",2020-07-11,11,7,2020,19,0,"Mozambique","MZ","MOZ",30366043,"Africa",0.97147989
"19185",2020-07-10,10,7,2020,21,1,"Mozambique","MZ","MOZ",30366043,"Africa",1.00111826
"19186",2020-07-09,9,7,2020,31,0,"Mozambique","MZ","MOZ",30366043,"Africa",1.01758402
"19187",2020-07-08,8,7,2020,28,0,"Mozambique","MZ","MOZ",30366043,"Africa",0.93196206
"19188",2020-07-07,7,7,2020,25,0,"Mozambique","MZ","MOZ",30366043,"Africa",0.90561684
"19189",2020-07-06,6,7,2020,18,1,"Mozambique","MZ","MOZ",30366043,"Africa",0.83646065
"19190",2020-07-05,5,7,2020,30,1,"Mozambique","MZ","MOZ",30366043,"Africa",0.92537576
"19191",2020-07-04,4,7,2020,21,0,"Mozambique","MZ","MOZ",30366043,"Africa",0.89244423
"19192",2020-07-03,3,7,2020,15,0,"Mozambique","MZ","MOZ",30366043,"Africa",0.84304695
"19193",2020-07-02,2,7,2020,14,0,"Mozambique","MZ","MOZ",30366043,"Africa",0.82987434
"19194",2020-07-01,1,7,2020,6,0,"Mozambique","MZ","MOZ",30366043,"Africa",0.82658119
"19195",2020-06-30,30,6,2020,24,1,"Mozambique","MZ","MOZ",30366043,"Africa",0.90232369
"19196",2020-06-29,29,6,2020,20,0,"Mozambique","MZ","MOZ",30366043,"Africa",0.90891
"19197",2020-06-28,28,6,2020,23,0,"Mozambique","MZ","MOZ",30366043,"Africa",0.94184152
"19198",2020-06-27,27,6,2020,28,0,"Mozambique","MZ","MOZ",30366043,"Africa",1.01099771
"19199",2020-06-26,26,6,2020,26,0,"Mozambique","MZ","MOZ",30366043,"Africa",0.98465249
"19200",2020-06-25,25,6,2020,5,0,"Mozambique","MZ","MOZ",30366043,"Africa",0.95501413
"19201",2020-06-24,24,6,2020,20,0,"Mozambique","MZ","MOZ",30366043,"Africa",1.00111826
"19202",2020-06-23,23,6,2020,4,0,"Mozambique","MZ","MOZ",30366043,"Africa",1.00111826
"19203",2020-06-22,22,6,2020,45,1,"Mozambique","MZ","MOZ",30366043,"Africa",1.01099771
"19204",2020-06-21,21,6,2020,20,0,"Mozambique","MZ","MOZ",30366043,"Africa",0.91220315
"19205",2020-06-20,20,6,2020,6,0,"Mozambique","MZ","MOZ",30366043,"Africa",1.03404978
