"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"19295",2020-07-17,17,7,2020,2,0,"Myanmar","MM","MMR",54045422,"Asia",0.06476034
"19296",2020-07-16,16,7,2020,0,0,"Myanmar","MM","MMR",54045422,"Asia",0.06105975
"19297",2020-07-15,15,7,2020,1,0,"Myanmar","MM","MMR",54045422,"Asia",0.07031123
"19298",2020-07-14,14,7,2020,5,0,"Myanmar","MM","MMR",54045422,"Asia",0.06846093
"19299",2020-07-13,13,7,2020,1,0,"Myanmar","MM","MMR",54045422,"Asia",0.05920946
"19300",2020-07-12,12,7,2020,4,0,"Myanmar","MM","MMR",54045422,"Asia",0.06291005
"19301",2020-07-11,11,7,2020,5,0,"Myanmar","MM","MMR",54045422,"Asia",0.06105975
"19302",2020-07-10,10,7,2020,3,0,"Myanmar","MM","MMR",54045422,"Asia",0.05180827
"19303",2020-07-09,9,7,2020,2,0,"Myanmar","MM","MMR",54045422,"Asia",0.04625739
"19304",2020-07-08,8,7,2020,0,0,"Myanmar","MM","MMR",54045422,"Asia",0.04440709
"19305",2020-07-07,7,7,2020,3,0,"Myanmar","MM","MMR",54045422,"Asia",0.04625739
"19306",2020-07-06,6,7,2020,0,0,"Myanmar","MM","MMR",54045422,"Asia",0.0425568
"19307",2020-07-05,5,7,2020,7,0,"Myanmar","MM","MMR",54045422,"Asia",0.04810768
"19308",2020-07-04,4,7,2020,2,0,"Myanmar","MM","MMR",54045422,"Asia",0.03700591
"19309",2020-07-03,3,7,2020,0,0,"Myanmar","MM","MMR",54045422,"Asia",0.03330532
"19310",2020-07-02,2,7,2020,5,0,"Myanmar","MM","MMR",54045422,"Asia",0.07586211
"19311",2020-07-01,1,7,2020,0,0,"Myanmar","MM","MMR",54045422,"Asia",0.06846093
"19312",2020-06-30,30,6,2020,0,0,"Myanmar","MM","MMR",54045422,"Asia",0.06846093
"19313",2020-06-29,29,6,2020,3,0,"Myanmar","MM","MMR",54045422,"Asia",0.06846093
"19314",2020-06-28,28,6,2020,3,0,"Myanmar","MM","MMR",54045422,"Asia",0.06476034
"19315",2020-06-27,27,6,2020,0,0,"Myanmar","MM","MMR",54045422,"Asia",0.05920946
"19316",2020-06-26,26,6,2020,0,0,"Myanmar","MM","MMR",54045422,"Asia",0.05920946
"19317",2020-06-25,25,6,2020,1,0,"Myanmar","MM","MMR",54045422,"Asia",0.081413
"19318",2020-06-24,24,6,2020,1,0,"Myanmar","MM","MMR",54045422,"Asia",0.08511359
"19319",2020-06-23,23,6,2020,1,0,"Myanmar","MM","MMR",54045422,"Asia",0.08696389
"19320",2020-06-22,22,6,2020,3,0,"Myanmar","MM","MMR",54045422,"Asia",0.08696389
"19321",2020-06-21,21,6,2020,1,0,"Myanmar","MM","MMR",54045422,"Asia",0.08696389
"19322",2020-06-20,20,6,2020,0,0,"Myanmar","MM","MMR",54045422,"Asia",0.09251477
"19323",2020-06-19,19,6,2020,23,0,"Myanmar","MM","MMR",54045422,"Asia",0.09251477
"19324",2020-06-18,18,6,2020,1,0,"Myanmar","MM","MMR",54045422,"Asia",0.05365857
"19325",2020-06-17,17,6,2020,0,0,"Myanmar","MM","MMR",54045422,"Asia",0.05365857
"19326",2020-06-16,16,6,2020,0,0,"Myanmar","MM","MMR",54045422,"Asia",0.06291005
"19327",2020-06-15,15,6,2020,1,0,"Myanmar","MM","MMR",54045422,"Asia",0.06291005
"19328",2020-06-14,14,6,2020,0,0,"Myanmar","MM","MMR",54045422,"Asia",0.06846093
"19329",2020-06-13,13,6,2020,0,0,"Myanmar","MM","MMR",54045422,"Asia",0.06846093
"19330",2020-06-12,12,6,2020,12,0,"Myanmar","MM","MMR",54045422,"Asia",0.10176625
"19331",2020-06-11,11,6,2020,3,0,"Myanmar","MM","MMR",54045422,"Asia",0.07956271
"19332",2020-06-10,10,6,2020,2,0,"Myanmar","MM","MMR",54045422,"Asia",0.07401182
"19333",2020-06-09,9,6,2020,1,0,"Myanmar","MM","MMR",54045422,"Asia",0.07586211
"19334",2020-06-08,8,6,2020,3,0,"Myanmar","MM","MMR",54045422,"Asia",0.07771241
"19335",2020-06-07,7,6,2020,4,0,"Myanmar","MM","MMR",54045422,"Asia",0.07216152
"19336",2020-06-06,6,6,2020,0,0,"Myanmar","MM","MMR",54045422,"Asia",0.06476034
"19337",2020-06-05,5,6,2020,2,0,"Myanmar","MM","MMR",54045422,"Asia",0.06846093
"19338",2020-06-04,4,6,2020,1,0,"Myanmar","MM","MMR",54045422,"Asia",0.06476034
"19339",2020-06-03,3,6,2020,5,0,"Myanmar","MM","MMR",54045422,"Asia",0.07401182
"19340",2020-06-02,2,6,2020,0,0,"Myanmar","MM","MMR",54045422,"Asia",0.06846093
"19341",2020-06-01,1,6,2020,4,0,"Myanmar","MM","MMR",54045422,"Asia",0.07586211
"19342",2020-05-31,31,5,2020,0,0,"Myanmar","MM","MMR",54045422,"Asia",0.07771241
"19343",2020-05-30,30,5,2020,18,0,"Myanmar","MM","MMR",54045422,"Asia",0.07771241
"19344",2020-05-29,29,5,2020,0,0,"Myanmar","MM","MMR",54045422,"Asia",0.04625739
"19345",2020-05-28,28,5,2020,0,0,"Myanmar","MM","MMR",54045422,"Asia",0.04625739
"19346",2020-05-27,27,5,2020,3,0,"Myanmar","MM","MMR",54045422,"Asia",0.04810768
"19347",2020-05-26,26,5,2020,2,0,"Myanmar","MM","MMR",54045422,"Asia",0.0425568
"19348",2020-05-25,25,5,2020,0,0,"Myanmar","MM","MMR",54045422,"Asia",0.03885621
"19349",2020-05-24,24,5,2020,0,0,"Myanmar","MM","MMR",54045422,"Asia",0.0425568
"19350",2020-05-23,23,5,2020,2,0,"Myanmar","MM","MMR",54045422,"Asia",0.04440709
"19351",2020-05-22,22,5,2020,0,0,"Myanmar","MM","MMR",54045422,"Asia",0.0425568
"19352",2020-05-21,21,5,2020,6,0,"Myanmar","MM","MMR",54045422,"Asia",0.06846093
"19353",2020-05-20,20,5,2020,2,0,"Myanmar","MM","MMR",54045422,"Asia",0.05920946
"19354",2020-05-19,19,5,2020,4,0,"Myanmar","MM","MMR",54045422,"Asia",0.05550886
"19355",2020-05-18,18,5,2020,5,0,"Myanmar","MM","MMR",54045422,"Asia",0.05920946
"19356",2020-05-17,17,5,2020,0,0,"Myanmar","MM","MMR",54045422,"Asia",0.05735916
"19357",2020-05-16,16,5,2020,1,0,"Myanmar","MM","MMR",54045422,"Asia",0.05735916
"19358",2020-05-15,15,5,2020,0,0,"Myanmar","MM","MMR",54045422,"Asia",0.05550886
"19359",2020-05-14,14,5,2020,1,0,"Myanmar","MM","MMR",54045422,"Asia",0.05735916
"19360",2020-05-13,13,5,2020,0,0,"Myanmar","MM","MMR",54045422,"Asia",0.05550886
"19361",2020-05-12,12,5,2020,0,0,"Myanmar","MM","MMR",54045422,"Asia",0.06291005
"19362",2020-05-11,11,5,2020,2,0,"Myanmar","MM","MMR",54045422,"Asia",0.06291005
