"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"19267",2020-07-15,15,7,2020,116,0,"Nepal","NP","NPL",28608715,"Asia",12.22354796
"19268",2020-07-14,14,7,2020,144,0,"Nepal","NP","NPL",28608715,"Asia",12.92263564
"19269",2020-07-13,13,7,2020,82,0,"Nepal","NP","NPL",28608715,"Asia",14.08312117
"19270",2020-07-12,12,7,2020,70,3,"Nepal","NP","NPL",28608715,"Asia",17.35135605
"19271",2020-07-11,11,7,2020,118,0,"Nepal","NP","NPL",28608715,"Asia",17.10667536
"19272",2020-07-10,10,7,2020,108,0,"Nepal","NP","NPL",28608715,"Asia",18.76700858
"19273",2020-07-09,9,7,2020,459,0,"Nepal","NP","NPL",28608715,"Asia",19.90652149
"19274",2020-07-08,8,7,2020,0,0,"Nepal","NP","NPL",28608715,"Asia",24.25135138
"19275",2020-07-07,7,7,2020,180,1,"Nepal","NP","NPL",28608715,"Asia",24.25135138
"19276",2020-07-06,6,7,2020,293,0,"Nepal","NP","NPL",28608715,"Asia",23.62217247
"19277",2020-07-05,5,7,2020,232,2,"Nepal","NP","NPL",28608715,"Asia",24.06958859
"19278",2020-07-04,4,7,2020,740,1,"Nepal","NP","NPL",28608715,"Asia",24.41563698
"19279",2020-07-03,3,7,2020,473,1,"Nepal","NP","NPL",28608715,"Asia",23.31806934
"19280",2020-07-02,2,7,2020,482,1,"Nepal","NP","NPL",28608715,"Asia",24.01016613
"19281",2020-07-01,1,7,2020,316,0,"Nepal","NP","NPL",28608715,"Asia",24.37369172
"19282",2020-06-30,30,6,2020,476,1,"Nepal","NP","NPL",28608715,"Asia",24.59739978
"19283",2020-06-29,29,6,2020,1017,1,"Nepal","NP","NPL",28608715,"Asia",24.51001382
"19284",2020-06-28,28,6,2020,0,0,"Nepal","NP","NPL",28608715,"Asia",22.44071431
"19285",2020-06-27,27,6,2020,593,1,"Nepal","NP","NPL",28608715,"Asia",23.39496898
"19286",2020-06-26,26,6,2020,434,3,"Nepal","NP","NPL",28608715,"Asia",22.88813042
"19287",2020-06-25,25,6,2020,1702,0,"Nepal","NP","NPL",28608715,"Asia",22.24496976
"19288",2020-06-24,24,6,2020,0,0,"Nepal","NP","NPL",28608715,"Asia",17.27096096
"19289",2020-06-23,23,6,2020,0,0,"Nepal","NP","NPL",28608715,"Asia",18.39998756
"19290",2020-06-22,22,6,2020,421,1,"Nepal","NP","NPL",28608715,"Asia",19.4975552
"19291",2020-06-21,21,6,2020,331,0,"Nepal","NP","NPL",28608715,"Asia",19.89953062
"19292",2020-06-20,20,6,2020,426,0,"Nepal","NP","NPL",28608715,"Asia",18.74254052
"19293",2020-06-19,19,6,2020,671,2,"Nepal","NP","NPL",28608715,"Asia",18.22521564
"19294",2020-06-18,18,6,2020,586,1,"Nepal","NP","NPL",28608715,"Asia",17.04725291
"19295",2020-06-17,17,6,2020,380,0,"Nepal","NP","NPL",28608715,"Asia",15.70150914
"19296",2020-06-16,16,6,2020,451,0,"Nepal","NP","NPL",28608715,"Asia",15.42536951
"19297",2020-06-15,15,6,2020,425,1,"Nepal","NP","NPL",28608715,"Asia",14.63889587
"19298",2020-06-14,14,6,2020,273,2,"Nepal","NP","NPL",28608715,"Asia",13.75105453
"19299",2020-06-13,13,6,2020,448,1,"Nepal","NP","NPL",28608715,"Asia",13.45743771
"19300",2020-06-12,12,6,2020,250,0,"Nepal","NP","NPL",28608715,"Asia",12.48570584
"19301",2020-06-11,11,6,2020,279,0,"Nepal","NP","NPL",28608715,"Asia",12.15713464
"19302",2020-06-10,10,6,2020,323,1,"Nepal","NP","NPL",28608715,"Asia",11.58038731
"19303",2020-06-09,9,6,2020,314,1,"Nepal","NP","NPL",28608715,"Asia",10.76595017
"19304",2020-06-08,8,6,2020,536,2,"Nepal","NP","NPL",28608715,"Asia",9.94452215
"19305",2020-06-07,7,6,2020,0,0,"Nepal","NP","NPL",28608715,"Asia",8.13738051
"19306",2020-06-06,6,6,2020,278,1,"Nepal","NP","NPL",28608715,"Asia",8.2632163
"19307",2020-06-05,5,6,2020,334,1,"Nepal","NP","NPL",28608715,"Asia",7.50470617
"19308",2020-06-04,4,6,2020,201,1,"Nepal","NP","NPL",28608715,"Asia",6.48753361
"19309",2020-06-03,3,6,2020,301,0,"Nepal","NP","NPL",28608715,"Asia",5.93175891
"19310",2020-06-02,2,6,2020,226,0,"Nepal","NP","NPL",28608715,"Asia",4.97400879
"19311",2020-06-01,1,6,2020,171,2,"Nepal","NP","NPL",28608715,"Asia",4.43221585
"19312",2020-05-31,31,5,2020,189,0,"Nepal","NP","NPL",28608715,"Asia",3.87993659
"19313",2020-05-30,30,5,2020,170,1,"Nepal","NP","NPL",28608715,"Asia",3.27173031
"19314",2020-05-29,29,5,2020,156,1,"Nepal","NP","NPL",28608715,"Asia",2.74042368
"19315",2020-05-28,28,5,2020,114,0,"Nepal","NP","NPL",28608715,"Asia",2.33145739
"19316",2020-05-27,27,5,2020,90,0,"Nepal","NP","NPL",28608715,"Asia",1.93996829
"19317",2020-05-26,26,5,2020,79,1,"Nepal","NP","NPL",28608715,"Asia",1.91550022
"19318",2020-05-25,25,5,2020,19,0,"Nepal","NP","NPL",28608715,"Asia",1.68829673
"19319",2020-05-24,24,5,2020,36,0,"Nepal","NP","NPL",28608715,"Asia",1.66033322
"19320",2020-05-23,23,5,2020,61,0,"Nepal","NP","NPL",28608715,"Asia",1.56246095
"19321",2020-05-22,22,5,2020,43,1,"Nepal","NP","NPL",28608715,"Asia",1.34923921
"19322",2020-05-21,21,5,2020,42,0,"Nepal","NP","NPL",28608715,"Asia",1.20592624
"19323",2020-05-20,20,5,2020,27,0,"Nepal","NP","NPL",28608715,"Asia",1.11854028
"19324",2020-05-19,19,5,2020,71,0,"Nepal","NP","NPL",28608715,"Asia",1.02416344
"19325",2020-05-18,18,5,2020,13,1,"Nepal","NP","NPL",28608715,"Asia",0.80045539
