"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"20198",2020-07-19,19,7,2020,0,0,"New_Caledonia","NC","NCL",282757,"Oceania",0.35366056
"20199",2020-07-18,18,7,2020,0,0,"New_Caledonia","NC","NCL",282757,"Oceania",0.35366056
"20200",2020-07-17,17,7,2020,0,0,"New_Caledonia","NC","NCL",282757,"Oceania",0.35366056
"20201",2020-07-16,16,7,2020,0,0,"New_Caledonia","NC","NCL",282757,"Oceania",0.35366056
"20202",2020-07-15,15,7,2020,1,0,"New_Caledonia","NC","NCL",282757,"Oceania",0.35366056
"20203",2020-07-14,14,7,2020,0,0,"New_Caledonia","NC","NCL",282757,"Oceania",0
"20204",2020-07-13,13,7,2020,0,0,"New_Caledonia","NC","NCL",282757,"Oceania",0
"20205",2020-07-12,12,7,2020,0,0,"New_Caledonia","NC","NCL",282757,"Oceania",0
"20206",2020-07-11,11,7,2020,0,0,"New_Caledonia","NC","NCL",282757,"Oceania",0
"20207",2020-07-10,10,7,2020,0,0,"New_Caledonia","NC","NCL",282757,"Oceania",0
"20208",2020-07-09,9,7,2020,0,0,"New_Caledonia","NC","NCL",282757,"Oceania",0
"20209",2020-07-08,8,7,2020,0,0,"New_Caledonia","NC","NCL",282757,"Oceania",0
"20210",2020-07-07,7,7,2020,0,0,"New_Caledonia","NC","NCL",282757,"Oceania",0
"20211",2020-07-06,6,7,2020,0,0,"New_Caledonia","NC","NCL",282757,"Oceania",0
"20212",2020-07-05,5,7,2020,0,0,"New_Caledonia","NC","NCL",282757,"Oceania",0
"20213",2020-07-04,4,7,2020,0,0,"New_Caledonia","NC","NCL",282757,"Oceania",0
"20214",2020-07-03,3,7,2020,0,0,"New_Caledonia","NC","NCL",282757,"Oceania",0
"20215",2020-07-02,2,7,2020,0,0,"New_Caledonia","NC","NCL",282757,"Oceania",0
"20216",2020-07-01,1,7,2020,0,0,"New_Caledonia","NC","NCL",282757,"Oceania",0
"20217",2020-06-30,30,6,2020,0,0,"New_Caledonia","NC","NCL",282757,"Oceania",0
"20218",2020-06-29,29,6,2020,0,0,"New_Caledonia","NC","NCL",282757,"Oceania",0
"20219",2020-06-28,28,6,2020,0,0,"New_Caledonia","NC","NCL",282757,"Oceania",0
"20220",2020-06-27,27,6,2020,0,0,"New_Caledonia","NC","NCL",282757,"Oceania",0
"20221",2020-06-26,26,6,2020,0,0,"New_Caledonia","NC","NCL",282757,"Oceania",0
"20222",2020-06-25,25,6,2020,0,0,"New_Caledonia","NC","NCL",282757,"Oceania",0
"20223",2020-06-24,24,6,2020,0,0,"New_Caledonia","NC","NCL",282757,"Oceania",0
"20224",2020-06-23,23,6,2020,0,0,"New_Caledonia","NC","NCL",282757,"Oceania",0.35366056
"20225",2020-06-22,22,6,2020,0,0,"New_Caledonia","NC","NCL",282757,"Oceania",0.35366056
"20226",2020-06-21,21,6,2020,0,0,"New_Caledonia","NC","NCL",282757,"Oceania",0.35366056
"20227",2020-06-20,20,6,2020,0,0,"New_Caledonia","NC","NCL",282757,"Oceania",0.35366056
"20228",2020-06-19,19,6,2020,0,0,"New_Caledonia","NC","NCL",282757,"Oceania",0.35366056
"20229",2020-06-18,18,6,2020,0,0,"New_Caledonia","NC","NCL",282757,"Oceania",0.35366056
