"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"22527",2020-08-04,4,8,2020,0,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.25088531
"22528",2020-08-03,3,8,2020,2,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.27179242
"22529",2020-08-02,2,8,2020,3,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.25088531
"22530",2020-08-01,1,8,2020,2,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.25088531
"22531",2020-07-31,31,7,2020,0,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.2299782
"22532",2020-07-30,30,7,2020,1,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.25088531
"22533",2020-07-29,29,7,2020,2,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.25088531
"22534",2020-07-28,28,7,2020,1,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.25088531
"22535",2020-07-27,27,7,2020,0,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.25088531
"22536",2020-07-26,26,7,2020,0,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.25088531
"22537",2020-07-25,25,7,2020,0,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.27179242
"22538",2020-07-24,24,7,2020,1,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.29269953
"22539",2020-07-23,23,7,2020,0,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.31360664
"22540",2020-07-22,22,7,2020,0,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.37632797
"22541",2020-07-21,21,7,2020,1,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.39723508
"22542",2020-07-20,20,7,2020,1,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.4390493
"22543",2020-07-19,19,7,2020,3,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.41814219
"22544",2020-07-18,18,7,2020,1,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.41814219
"22545",2020-07-17,17,7,2020,1,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.39723508
"22546",2020-07-16,16,7,2020,1,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.37632797
"22547",2020-07-15,15,7,2020,2,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.39723508
"22548",2020-07-14,14,7,2020,1,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.35542086
"22549",2020-07-13,13,7,2020,0,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.33451375
"22550",2020-07-12,12,7,2020,1,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.37632797
"22551",2020-07-11,11,7,2020,1,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.4390493
"22552",2020-07-10,10,7,2020,2,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.4599564
"22553",2020-07-09,9,7,2020,3,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.4390493
"22554",2020-07-08,8,7,2020,1,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.4390493
"22555",2020-07-07,7,7,2020,3,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.4390493
"22556",2020-07-06,6,7,2020,0,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.41814219
"22557",2020-07-05,5,7,2020,3,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.4599564
"22558",2020-07-04,4,7,2020,0,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.4390493
"22559",2020-07-03,3,7,2020,0,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.48086351
"22560",2020-07-02,2,7,2020,2,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.48086351
"22561",2020-07-01,1,7,2020,0,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.4599564
"22562",2020-06-30,30,6,2020,0,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.4599564
"22563",2020-06-29,29,6,2020,2,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.50177062
"22564",2020-06-28,28,6,2020,4,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.4599564
"22565",2020-06-27,27,6,2020,2,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.37632797
"22566",2020-06-26,26,6,2020,1,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.33451375
"22567",2020-06-25,25,6,2020,3,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.31360664
"22568",2020-06-24,24,6,2020,1,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.25088531
"22569",2020-06-23,23,6,2020,2,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.2299782
"22570",2020-06-22,22,6,2020,2,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.18816398
"22571",2020-06-21,21,6,2020,2,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.14634977
"22572",2020-06-20,20,6,2020,2,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.10453555
"22573",2020-06-19,19,6,2020,0,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.06272133
"22574",2020-06-18,18,6,2020,1,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.06272133
"22575",2020-06-17,17,6,2020,0,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.04181422
"22576",2020-06-16,16,6,2020,2,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.04181422
"22577",2020-06-15,15,6,2020,0,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0
"22578",2020-06-14,14,6,2020,0,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0
"22579",2020-06-13,13,6,2020,0,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0
"22580",2020-06-12,12,6,2020,0,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0
"22581",2020-06-11,11,6,2020,0,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0
"22582",2020-06-10,10,6,2020,0,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0
"22583",2020-06-09,9,6,2020,0,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0
"22584",2020-06-08,8,6,2020,0,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0
"22585",2020-06-07,7,6,2020,0,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0
"22586",2020-06-06,6,6,2020,0,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0
"22587",2020-06-05,5,6,2020,0,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0
"22588",2020-06-04,4,6,2020,0,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.02090711
"22589",2020-06-03,3,6,2020,0,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.02090711
"22590",2020-06-02,2,6,2020,0,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.02090711
"22591",2020-06-01,1,6,2020,0,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.10453555
"22592",2020-05-31,31,5,2020,0,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.10453555
"22593",2020-05-30,30,5,2020,0,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.12544266
"22594",2020-05-29,29,5,2020,0,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.12544266
"22595",2020-05-28,28,5,2020,0,1,"New_Zealand","NZ","NZL",4783062,"Oceania",0.14634977
"22596",2020-05-27,27,5,2020,0,0,"New_Zealand","NZ","NZL",4783062,"Oceania",0.14634977
