"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"20651",2020-07-20,20,7,2020,0,0,"Nicaragua","NI","NIC",6545503,"America",9.59437342
"20652",2020-07-19,19,7,2020,0,0,"Nicaragua","NI","NIC",6545503,"America",9.59437342
"20653",2020-07-18,18,7,2020,0,0,"Nicaragua","NI","NIC",6545503,"America",9.59437342
"20654",2020-07-17,17,7,2020,0,0,"Nicaragua","NI","NIC",6545503,"America",9.59437342
"20655",2020-07-16,16,7,2020,0,0,"Nicaragua","NI","NIC",6545503,"America",9.59437342
"20656",2020-07-15,15,7,2020,301,8,"Nicaragua","NI","NIC",6545503,"America",9.59437342
"20657",2020-07-14,14,7,2020,0,0,"Nicaragua","NI","NIC",6545503,"America",10.32770132
"20658",2020-07-13,13,7,2020,0,0,"Nicaragua","NI","NIC",6545503,"America",10.32770132
"20659",2020-07-12,12,7,2020,0,0,"Nicaragua","NI","NIC",6545503,"America",10.32770132
"20660",2020-07-11,11,7,2020,0,0,"Nicaragua","NI","NIC",6545503,"America",10.32770132
"20661",2020-07-10,10,7,2020,0,0,"Nicaragua","NI","NIC",6545503,"America",10.32770132
"20662",2020-07-09,9,7,2020,0,0,"Nicaragua","NI","NIC",6545503,"America",10.32770132
"20663",2020-07-08,8,7,2020,327,8,"Nicaragua","NI","NIC",6545503,"America",10.32770132
"20664",2020-07-07,7,7,2020,0,0,"Nicaragua","NI","NIC",6545503,"America",7.71522066
"20665",2020-07-06,6,7,2020,0,0,"Nicaragua","NI","NIC",6545503,"America",7.71522066
"20666",2020-07-05,5,7,2020,0,0,"Nicaragua","NI","NIC",6545503,"America",7.71522066
"20667",2020-07-04,4,7,2020,0,0,"Nicaragua","NI","NIC",6545503,"America",7.71522066
"20668",2020-07-03,3,7,2020,0,0,"Nicaragua","NI","NIC",6545503,"America",7.71522066
"20669",2020-07-02,2,7,2020,0,0,"Nicaragua","NI","NIC",6545503,"America",7.71522066
