"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"20775",2020-07-20,20,7,2020,0,0,"Niger","NE","NER",23310719,"Africa",0.04718859
"20776",2020-07-19,19,7,2020,2,0,"Niger","NE","NER",23310719,"Africa",0.09437718
"20777",2020-07-18,18,7,2020,0,0,"Niger","NE","NER",23310719,"Africa",0.08579744
"20778",2020-07-17,17,7,2020,2,0,"Niger","NE","NER",23310719,"Africa",0.09008731
"20779",2020-07-16,16,7,2020,1,1,"Niger","NE","NER",23310719,"Africa",0.1072468
"20780",2020-07-15,15,7,2020,0,0,"Niger","NE","NER",23310719,"Africa",0.10295693
"20781",2020-07-14,14,7,2020,0,0,"Niger","NE","NER",23310719,"Africa",0.10295693
"20782",2020-07-13,13,7,2020,0,0,"Niger","NE","NER",23310719,"Africa",0.1072468
"20783",2020-07-12,12,7,2020,0,0,"Niger","NE","NER",23310719,"Africa",0.13298603
"20784",2020-07-11,11,7,2020,2,0,"Niger","NE","NER",23310719,"Africa",0.15872526
"20785",2020-07-10,10,7,2020,0,0,"Niger","NE","NER",23310719,"Africa",0.16301513
"20786",2020-07-09,9,7,2020,3,0,"Niger","NE","NER",23310719,"Africa",0.17588475
"20787",2020-07-08,8,7,2020,1,0,"Niger","NE","NER",23310719,"Africa",0.18446449
"20788",2020-07-07,7,7,2020,0,0,"Niger","NE","NER",23310719,"Africa",0.20162398
"20789",2020-07-06,6,7,2020,11,0,"Niger","NE","NER",23310719,"Africa",0.2445227
"20790",2020-07-05,5,7,2020,0,0,"Niger","NE","NER",23310719,"Africa",0.20162398
"20791",2020-07-04,4,7,2020,1,0,"Niger","NE","NER",23310719,"Africa",0.26597206
"20792",2020-07-03,3,7,2020,6,1,"Niger","NE","NER",23310719,"Africa",0.26168219
"20793",2020-07-02,2,7,2020,0,0,"Niger","NE","NER",23310719,"Africa",0.23594296
"20794",2020-07-01,1,7,2020,0,0,"Niger","NE","NER",23310719,"Africa",0.25310245
"20795",2020-06-30,30,6,2020,1,0,"Niger","NE","NER",23310719,"Africa",0.40753784
"20796",2020-06-29,29,6,2020,6,0,"Niger","NE","NER",23310719,"Africa",0.40324797
"20797",2020-06-28,28,6,2020,6,0,"Niger","NE","NER",23310719,"Africa",0.37750873
"20798",2020-06-27,27,6,2020,3,0,"Niger","NE","NER",23310719,"Africa",0.36034925
"20799",2020-06-26,26,6,2020,3,0,"Niger","NE","NER",23310719,"Africa",0.36463912
"20800",2020-06-25,25,6,2020,5,0,"Niger","NE","NER",23310719,"Africa",0.3517695
"20801",2020-06-24,24,6,2020,5,0,"Niger","NE","NER",23310719,"Africa",0.33032014
"20802",2020-06-23,23,6,2020,10,0,"Niger","NE","NER",23310719,"Africa",0.31316065
"20803",2020-06-22,22,6,2020,1,0,"Niger","NE","NER",23310719,"Africa",0.27026193
"20804",2020-06-21,21,6,2020,15,0,"Niger","NE","NER",23310719,"Africa",0.27884168
"20805",2020-06-20,20,6,2020,0,0,"Niger","NE","NER",23310719,"Africa",0.23165309
"20806",2020-06-19,19,6,2020,0,0,"Niger","NE","NER",23310719,"Africa",0.2445227
"20807",2020-06-18,18,6,2020,4,1,"Niger","NE","NER",23310719,"Africa",0.25310245
"20808",2020-06-17,17,6,2020,36,0,"Niger","NE","NER",23310719,"Africa",0.24023283
"20809",2020-06-16,16,6,2020,0,0,"Niger","NE","NER",23310719,"Africa",0.09437718
"20810",2020-06-15,15,6,2020,0,0,"Niger","NE","NER",23310719,"Africa",0.09437718
"20811",2020-06-14,14,6,2020,2,1,"Niger","NE","NER",23310719,"Africa",0.10295693
"20812",2020-06-13,13,6,2020,4,0,"Niger","NE","NER",23310719,"Africa",0.09866706
"20813",2020-06-12,12,6,2020,0,0,"Niger","NE","NER",23310719,"Africa",0.08150757
"20814",2020-06-11,11,6,2020,0,0,"Niger","NE","NER",23310719,"Africa",0.08150757
"20815",2020-06-10,10,6,2020,1,0,"Niger","NE","NER",23310719,"Africa",0.09437718
"20816",2020-06-09,9,6,2020,0,0,"Niger","NE","NER",23310719,"Africa",0.09437718
"20817",2020-06-08,8,6,2020,3,0,"Niger","NE","NER",23310719,"Africa",0.12011642
"20818",2020-06-07,7,6,2020,4,0,"Niger","NE","NER",23310719,"Africa",0.11582654
"20819",2020-06-06,6,6,2020,3,0,"Niger","NE","NER",23310719,"Africa",0.12440629
"20820",2020-06-05,5,6,2020,2,0,"Niger","NE","NER",23310719,"Africa",0.16730501
"20821",2020-06-04,4,6,2020,1,0,"Niger","NE","NER",23310719,"Africa",0.17588475
"20822",2020-06-03,3,6,2020,2,0,"Niger","NE","NER",23310719,"Africa",0.19733411
"20823",2020-06-02,2,6,2020,0,1,"Niger","NE","NER",23310719,"Africa",0.21020373
"20824",2020-06-01,1,6,2020,2,0,"Niger","NE","NER",23310719,"Africa",0.23165309
"20825",2020-05-31,31,5,2020,1,0,"Niger","NE","NER",23310719,"Africa",0.28742142
"20826",2020-05-30,30,5,2020,0,0,"Niger","NE","NER",23310719,"Africa",0.30029104
"20827",2020-05-29,29,5,2020,0,0,"Niger","NE","NER",23310719,"Africa",0.33889989
"20828",2020-05-28,28,5,2020,3,1,"Niger","NE","NER",23310719,"Africa",0.40753784
"20829",2020-05-27,27,5,2020,1,1,"Niger","NE","NER",23310719,"Africa",0.42040745
"20830",2020-05-26,26,5,2020,6,1,"Niger","NE","NER",23310719,"Africa",0.51049476
"20831",2020-05-25,25,5,2020,2,0,"Niger","NE","NER",23310719,"Africa",0.53194412
"20832",2020-05-24,24,5,2020,6,1,"Niger","NE","NER",23310719,"Africa",0.54910361
"20833",2020-05-23,23,5,2020,13,0,"Niger","NE","NER",23310719,"Africa",0.60916182
"20834",2020-05-22,22,5,2020,4,2,"Niger","NE","NER",23310719,"Africa",0.61345169
"20835",2020-05-21,21,5,2020,6,3,"Niger","NE","NER",23310719,"Africa",0.6434808
