"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"20756",2020-07-19,19,7,2020,653,6,"Nigeria","NG","NGA",200963603,"Africa",3.9509642
"20757",2020-07-18,18,7,2020,600,3,"Nigeria","NG","NGA",200963603,"Africa",3.92608407
"20758",2020-07-17,17,7,2020,595,9,"Nigeria","NG","NGA",200963603,"Africa",3.8534341
"20759",2020-07-16,16,7,2020,643,6,"Nigeria","NG","NGA",200963603,"Africa",3.86885978
"20760",2020-07-15,15,7,2020,463,10,"Nigeria","NG","NGA",200963603,"Africa",3.94200735
"20761",2020-07-14,14,7,2020,595,4,"Nigeria","NG","NGA",200963603,"Africa",3.9907724
"20762",2020-07-13,13,7,2020,571,16,"Nigeria","NG","NGA",200963603,"Africa",3.97634192
"20763",2020-07-12,12,7,2020,664,15,"Nigeria","NG","NGA",200963603,"Africa",3.93603612
"20764",2020-07-11,11,7,2020,575,20,"Nigeria","NG","NGA",200963603,"Africa",3.99326041
"20765",2020-07-10,10,7,2020,499,5,"Nigeria","NG","NGA",200963603,"Africa",4.04749909
"20766",2020-07-09,9,7,2020,460,15,"Nigeria","NG","NGA",200963603,"Africa",4.09477133
"20767",2020-07-08,8,7,2020,503,15,"Nigeria","NG","NGA",200963603,"Africa",4.18881821
"20768",2020-07-07,7,7,2020,575,9,"Nigeria","NG","NGA",200963603,"Africa",4.16344048
"20769",2020-07-06,6,7,2020,544,11,"Nigeria","NG","NGA",200963603,"Africa",4.21320074
"20770",2020-07-05,5,7,2020,603,6,"Nigeria","NG","NGA",200963603,"Africa",4.15945966
"20771",2020-07-04,4,7,2020,454,12,"Nigeria","NG","NGA",200963603,"Africa",4.18832061
"20772",2020-07-03,3,7,2020,626,13,"Nigeria","NG","NGA",200963603,"Africa",4.29430995
"20773",2020-07-02,2,7,2020,790,13,"Nigeria","NG","NGA",200963603,"Africa",4.35352465
"20774",2020-07-01,1,7,2020,561,17,"Nigeria","NG","NGA",200963603,"Africa",4.25251134
"20775",2020-06-30,30,6,2020,566,8,"Nigeria","NG","NGA",200963603,"Africa",4.21718156
"20776",2020-06-29,29,6,2020,490,7,"Nigeria","NG","NGA",200963603,"Africa",4.22066477
"20777",2020-06-28,28,6,2020,779,4,"Nigeria","NG","NGA",200963603,"Africa",4.17737335
"20778",2020-06-27,27,6,2020,684,5,"Nigeria","NG","NGA",200963603,"Africa",4.03903985
"20779",2020-06-26,26,6,2020,594,7,"Nigeria","NG","NGA",200963603,"Africa",4.0106765
"20780",2020-06-25,25,6,2020,649,9,"Nigeria","NG","NGA",200963603,"Africa",4.05396792
"20781",2020-06-24,24,6,2020,452,8,"Nigeria","NG","NGA",200963603,"Africa",3.93454331
"20782",2020-06-23,23,6,2020,675,7,"Nigeria","NG","NGA",200963603,"Africa",4.03953745
"20783",2020-06-22,22,6,2020,436,12,"Nigeria","NG","NGA",200963603,"Africa",3.86040053
"20784",2020-06-21,21,6,2020,661,19,"Nigeria","NG","NGA",200963603,"Africa",3.76933927
"20785",2020-06-20,20,6,2020,667,12,"Nigeria","NG","NGA",200963603,"Africa",3.63399138
"20786",2020-06-19,19,6,2020,745,6,"Nigeria","NG","NGA",200963603,"Africa",3.46530411
"20787",2020-06-18,18,6,2020,587,14,"Nigeria","NG","NGA",200963603,"Africa",3.26875111
"20788",2020-06-17,17,6,2020,490,31,"Nigeria","NG","NGA",200963603,"Africa",3.1493265
"20789",2020-06-16,16,6,2020,573,4,"Nigeria","NG","NGA",200963603,"Africa",3.02542346
"20790",2020-06-15,15,6,2020,403,13,"Nigeria","NG","NGA",200963603,"Africa",2.94729987
"20791",2020-06-14,14,6,2020,501,8,"Nigeria","NG","NGA",200963603,"Africa",2.89953002
"20792",2020-06-13,13,6,2020,627,12,"Nigeria","NG","NGA",200963603,"Africa",2.92540535
"20793",2020-06-12,12,6,2020,681,5,"Nigeria","NG","NGA",200963603,"Africa",2.80598074
"20794",2020-06-11,11,6,2020,409,17,"Nigeria","NG","NGA",200963603,"Africa",2.55767707
"20795",2020-06-10,10,6,2020,663,4,"Nigeria","NG","NGA",200963603,"Africa",2.54772502
"20796",2020-06-09,9,6,2020,315,7,"Nigeria","NG","NGA",200963603,"Africa",2.35515284
"20797",2020-06-08,8,6,2020,253,12,"Nigeria","NG","NGA",200963603,"Africa",2.31235902
"20798",2020-06-07,7,6,2020,389,9,"Nigeria","NG","NGA",200963603,"Africa",2.34221517
"20799",2020-06-06,6,6,2020,328,10,"Nigeria","NG","NGA",200963603,"Africa",2.28051246
"20800",2020-06-05,5,6,2020,350,8,"Nigeria","NG","NGA",200963603,"Africa",2.23921145
"20801",2020-06-04,4,6,2020,347,1,"Nigeria","NG","NGA",200963603,"Africa",2.23373782
"20802",2020-06-03,3,6,2020,241,15,"Nigeria","NG","NGA",200963603,"Africa",2.19840804
"20803",2020-06-02,2,6,2020,416,12,"Nigeria","NG","NGA",200963603,"Africa",2.190944
"20804",2020-06-01,1,6,2020,307,14,"Nigeria","NG","NGA",200963603,"Africa",2.09142349
"20805",2020-05-31,31,5,2020,553,12,"Nigeria","NG","NGA",200963603,"Africa",2.10684917
"20806",2020-05-30,30,5,2020,387,2,"Nigeria","NG","NGA",200963603,"Africa",1.91925301
"20807",2020-05-29,29,5,2020,182,5,"Nigeria","NG","NGA",200963603,"Africa",1.86750235
"20808",2020-05-28,28,5,2020,389,5,"Nigeria","NG","NGA",200963603,"Africa",1.87198077
