"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"20663",2020-07-17,17,7,2020,90,8,"North_Macedonia","MK","MKD",2077132,"Europe",94.79416811
"20664",2020-07-16,16,7,2020,194,4,"North_Macedonia","MK","MKD",2077132,"Europe",98.79006245
"20665",2020-07-15,15,7,2020,131,4,"North_Macedonia","MK","MKD",2077132,"Europe",95.22745786
"20666",2020-07-14,14,7,2020,86,3,"North_Macedonia","MK","MKD",2077132,"Europe",94.98674133
"20667",2020-07-13,13,7,2020,144,7,"North_Macedonia","MK","MKD",2077132,"Europe",97.20133338
"20668",2020-07-12,12,7,2020,197,8,"North_Macedonia","MK","MKD",2077132,"Europe",98.74191915
"20669",2020-07-11,11,7,2020,203,6,"North_Macedonia","MK","MKD",2077132,"Europe",96.4791838
"20670",2020-07-10,10,7,2020,166,2,"North_Macedonia","MK","MKD",2077132,"Europe",94.55345159
"20671",2020-07-09,9,7,2020,161,8,"North_Macedonia","MK","MKD",2077132,"Europe",93.92758862
"20672",2020-07-08,8,7,2020,118,5,"North_Macedonia","MK","MKD",2077132,"Europe",92.72400599
"20673",2020-07-07,7,7,2020,76,5,"North_Macedonia","MK","MKD",2077132,"Europe",92.72400599
"20674",2020-07-06,6,7,2020,114,7,"North_Macedonia","MK","MKD",2077132,"Europe",93.39801226
"20675",2020-07-05,5,7,2020,289,13,"North_Macedonia","MK","MKD",2077132,"Europe",92.77214929
"20676",2020-07-04,4,7,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",87.76524554
"20677",2020-07-03,3,7,2020,173,15,"North_Macedonia","MK","MKD",2077132,"Europe",95.27560117
"20678",2020-07-02,2,7,2020,120,4,"North_Macedonia","MK","MKD",2077132,"Europe",95.70889091
"20679",2020-07-01,1,7,2020,126,4,"North_Macedonia","MK","MKD",2077132,"Europe",99.2233522
"20680",2020-06-30,30,6,2020,132,12,"North_Macedonia","MK","MKD",2077132,"Europe",99.51221203
"20681",2020-06-29,29,6,2020,176,9,"North_Macedonia","MK","MKD",2077132,"Europe",97.97162626
"20682",2020-06-28,28,6,2020,150,9,"North_Macedonia","MK","MKD",2077132,"Europe",96.96061685
"20683",2020-06-27,27,6,2020,163,3,"North_Macedonia","MK","MKD",2077132,"Europe",99.17520889
"20684",2020-06-26,26,6,2020,153,6,"North_Macedonia","MK","MKD",2077132,"Europe",99.2233522
"20685",2020-06-25,25,6,2020,136,8,"North_Macedonia","MK","MKD",2077132,"Europe",100.28250492
"20686",2020-06-24,24,6,2020,118,4,"North_Macedonia","MK","MKD",2077132,"Europe",99.75292856
"20687",2020-06-23,23,6,2020,90,9,"North_Macedonia","MK","MKD",2077132,"Europe",98.26048609
"20688",2020-06-22,22,6,2020,101,5,"North_Macedonia","MK","MKD",2077132,"Europe",100.04178839
"20689",2020-06-21,21,6,2020,185,11,"North_Macedonia","MK","MKD",2077132,"Europe",100.52322144
"20690",2020-06-20,20,6,2020,156,6,"North_Macedonia","MK","MKD",2077132,"Europe",97.63462312
"20691",2020-06-19,19,6,2020,182,6,"North_Macedonia","MK","MKD",2077132,"Europe",98.79006245
"20692",2020-06-18,18,6,2020,193,9,"North_Macedonia","MK","MKD",2077132,"Europe",95.80517752
"20693",2020-06-17,17,6,2020,132,8,"North_Macedonia","MK","MKD",2077132,"Europe",91.37599344
"20694",2020-06-16,16,6,2020,100,5,"North_Macedonia","MK","MKD",2077132,"Europe",88.67996834
"20695",2020-06-15,15,6,2020,155,9,"North_Macedonia","MK","MKD",2077132,"Europe",88.15039198
"20696",2020-06-14,14,6,2020,196,8,"North_Macedonia","MK","MKD",2077132,"Europe",83.67306459
"20697",2020-06-13,13,6,2020,164,2,"North_Macedonia","MK","MKD",2077132,"Europe",75.87384913
"20698",2020-06-12,12,6,2020,175,5,"North_Macedonia","MK","MKD",2077132,"Europe",70.48179894
"20699",2020-06-11,11,6,2020,125,7,"North_Macedonia","MK","MKD",2077132,"Europe",63.88616612
"20700",2020-06-10,10,6,2020,87,1,"North_Macedonia","MK","MKD",2077132,"Europe",59.07183559
"20701",2020-06-09,9,6,2020,127,3,"North_Macedonia","MK","MKD",2077132,"Europe",55.65366091
"20702",2020-06-08,8,6,2020,111,2,"North_Macedonia","MK","MKD",2077132,"Europe",50.55047055
"20703",2020-06-07,7,6,2020,125,2,"North_Macedonia","MK","MKD",2077132,"Europe",46.98786596
"20704",2020-06-06,6,6,2020,180,2,"North_Macedonia","MK","MKD",2077132,"Europe",41.93281891
"20705",2020-06-05,5,6,2020,120,2,"North_Macedonia","MK","MKD",2077132,"Europe",34.37431998
"20706",2020-06-04,4,6,2020,101,4,"North_Macedonia","MK","MKD",2077132,"Europe",30.52285555
"20707",2020-06-03,3,6,2020,76,1,"North_Macedonia","MK","MKD",2077132,"Europe",26.57510452
"20708",2020-06-02,2,6,2020,89,7,"North_Macedonia","MK","MKD",2077132,"Europe",23.97536603
"20709",2020-06-01,1,6,2020,62,2,"North_Macedonia","MK","MKD",2077132,"Europe",20.8941945
"20710",2020-05-31,31,5,2020,34,5,"North_Macedonia","MK","MKD",2077132,"Europe",19.35360873
"20711",2020-05-30,30,5,2020,52,4,"North_Macedonia","MK","MKD",2077132,"Europe",18.77588906
"20712",2020-05-29,29,5,2020,38,3,"North_Macedonia","MK","MKD",2077132,"Europe",17.09087338
"20713",2020-05-28,28,5,2020,25,3,"North_Macedonia","MK","MKD",2077132,"Europe",16.65758363
"20714",2020-05-27,27,5,2020,16,3,"North_Macedonia","MK","MKD",2077132,"Europe",16.4168671
"20715",2020-05-26,26,5,2020,21,0,"North_Macedonia","MK","MKD",2077132,"Europe",16.12800727
"20716",2020-05-25,25,5,2020,37,0,"North_Macedonia","MK","MKD",2077132,"Europe",16.17615058
"20717",2020-05-24,24,5,2020,20,1,"North_Macedonia","MK","MKD",2077132,"Europe",15.35771439
"20718",2020-05-23,23,5,2020,23,1,"North_Macedonia","MK","MKD",2077132,"Europe",16.12800727
"20719",2020-05-22,22,5,2020,40,1,"North_Macedonia","MK","MKD",2077132,"Europe",15.69471752
"20720",2020-05-21,21,5,2020,19,4,"North_Macedonia","MK","MKD",2077132,"Europe",15.35771439
"20721",2020-05-20,20,5,2020,22,2,"North_Macedonia","MK","MKD",2077132,"Europe",15.06885456
"20722",2020-05-19,19,5,2020,25,3,"North_Macedonia","MK","MKD",2077132,"Europe",14.39484828
"20723",2020-05-18,18,5,2020,30,3,"North_Macedonia","MK","MKD",2077132,"Europe",13.52826879
"20724",2020-05-17,17,5,2020,22,1,"North_Macedonia","MK","MKD",2077132,"Europe",12.32468615
"20725",2020-05-16,16,5,2020,17,2,"North_Macedonia","MK","MKD",2077132,"Europe",11.8432531
"20726",2020-05-15,15,5,2020,29,0,"North_Macedonia","MK","MKD",2077132,"Europe",12.42097276
"20727",2020-05-14,14,5,2020,20,3,"North_Macedonia","MK","MKD",2077132,"Europe",12.13211293
"20728",2020-05-13,13,5,2020,10,1,"North_Macedonia","MK","MKD",2077132,"Europe",12.18025624
"20729",2020-05-12,12,5,2020,22,0,"North_Macedonia","MK","MKD",2077132,"Europe",12.7579759
"20730",2020-05-11,11,5,2020,20,0,"North_Macedonia","MK","MKD",2077132,"Europe",12.32468615
"20731",2020-05-10,10,5,2020,36,1,"North_Macedonia","MK","MKD",2077132,"Europe",12.27654285
"20732",2020-05-09,9,5,2020,14,1,"North_Macedonia","MK","MKD",2077132,"Europe",12.51725937
"20733",2020-05-08,8,5,2020,33,1,"North_Macedonia","MK","MKD",2077132,"Europe",13.09497904
"20734",2020-05-07,7,5,2020,13,2,"North_Macedonia","MK","MKD",2077132,"Europe",13.48012548
"20735",2020-05-06,6,5,2020,8,1,"North_Macedonia","MK","MKD",2077132,"Europe",14.20227506
"20736",2020-05-05,5,5,2020,7,1,"North_Macedonia","MK","MKD",2077132,"Europe",14.10598845
"20737",2020-05-04,4,5,2020,5,2,"North_Macedonia","MK","MKD",2077132,"Europe",14.63556481
"20738",2020-05-03,3,5,2020,12,1,"North_Macedonia","MK","MKD",2077132,"Europe",16.17615058
"20739",2020-05-02,2,5,2020,29,4,"North_Macedonia","MK","MKD",2077132,"Europe",18.15002609
"20740",2020-05-01,1,5,2020,23,4,"North_Macedonia","MK","MKD",2077132,"Europe",18.48702923
"20741",2020-04-30,30,4,2020,21,2,"North_Macedonia","MK","MKD",2077132,"Europe",22.53106687
"20742",2020-04-29,29,4,2020,22,6,"North_Macedonia","MK","MKD",2077132,"Europe",24.69751561
"20743",2020-04-28,28,4,2020,13,4,"North_Macedonia","MK","MKD",2077132,"Europe",26.23810138
"20744",2020-04-27,27,4,2020,19,2,"North_Macedonia","MK","MKD",2077132,"Europe",26.86396435
"20745",2020-04-26,26,4,2020,41,2,"North_Macedonia","MK","MKD",2077132,"Europe",29.22298631
"20746",2020-04-25,25,4,2020,26,1,"North_Macedonia","MK","MKD",2077132,"Europe",29.60813275
"20747",2020-04-24,24,4,2020,41,0,"North_Macedonia","MK","MKD",2077132,"Europe",30.66728547
"20748",2020-04-23,23,4,2020,28,1,"North_Macedonia","MK","MKD",2077132,"Europe",30.908002
"20749",2020-04-22,22,4,2020,6,1,"North_Macedonia","MK","MKD",2077132,"Europe",30.42656894
"20750",2020-04-21,21,4,2020,18,3,"North_Macedonia","MK","MKD",2077132,"Europe",31.53386496
"20751",2020-04-20,20,4,2020,37,2,"North_Macedonia","MK","MKD",2077132,"Europe",34.85575303
"20752",2020-04-19,19,4,2020,53,0,"North_Macedonia","MK","MKD",2077132,"Europe",33.07445073
"20753",2020-04-18,18,4,2020,36,3,"North_Macedonia","MK","MKD",2077132,"Europe",33.07445073
"20754",2020-04-17,17,4,2020,107,1,"North_Macedonia","MK","MKD",2077132,"Europe",35.00018294
"20755",2020-04-16,16,4,2020,66,1,"North_Macedonia","MK","MKD",2077132,"Europe",29.84884928
"20756",2020-04-15,15,4,2020,54,6,"North_Macedonia","MK","MKD",2077132,"Europe",27.87497376
"20757",2020-04-14,14,4,2020,26,4,"North_Macedonia","MK","MKD",2077132,"Europe",27.39354071
"20758",2020-04-13,13,4,2020,68,0,"North_Macedonia","MK","MKD",2077132,"Europe",27.39354071
"20759",2020-04-12,12,4,2020,49,2,"North_Macedonia","MK","MKD",2077132,"Europe",24.98637544
"20760",2020-04-11,11,4,2020,48,0,"North_Macedonia","MK","MKD",2077132,"Europe",23.6865062
"20761",2020-04-10,10,4,2020,46,2,"North_Macedonia","MK","MKD",2077132,"Europe",22.24220704
"20762",2020-04-09,9,4,2020,18,4,"North_Macedonia","MK","MKD",2077132,"Europe",21.18305433
"20763",2020-04-08,8,4,2020,29,5,"North_Macedonia","MK","MKD",2077132,"Europe",21.71263069
"20764",2020-04-07,7,4,2020,87,4,"North_Macedonia","MK","MKD",2077132,"Europe",20.8941945
"20765",2020-04-06,6,4,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",17.76487965
"20766",2020-04-05,5,4,2020,53,5,"North_Macedonia","MK","MKD",2077132,"Europe",19.1610355
"20767",2020-04-04,4,4,2020,76,1,"North_Macedonia","MK","MKD",2077132,"Europe",17.3315899
"20768",2020-04-03,3,4,2020,0,1,"North_Macedonia","MK","MKD",2077132,"Europe",14.73185142
"20769",2020-04-02,2,4,2020,25,1,"North_Macedonia","MK","MKD",2077132,"Europe",15.02071125
"20770",2020-04-01,1,4,2020,44,2,"North_Macedonia","MK","MKD",2077132,"Europe",14.34670498
"20771",2020-03-31,31,3,2020,26,1,"North_Macedonia","MK","MKD",2077132,"Europe",12.80611921
"20772",2020-03-30,30,3,2020,18,2,"North_Macedonia","MK","MKD",2077132,"Europe",11.8432531
"20773",2020-03-29,29,3,2020,22,1,"North_Macedonia","MK","MKD",2077132,"Europe",10.97667361
"20774",2020-03-28,28,3,2020,18,0,"North_Macedonia","MK","MKD",2077132,"Europe",10.11009411
"20775",2020-03-27,27,3,2020,24,1,"North_Macedonia","MK","MKD",2077132,"Europe",9.33980123
"20776",2020-03-26,26,3,2020,29,0,"North_Macedonia","MK","MKD",2077132,"Europe",8.37693512
"20777",2020-03-25,25,3,2020,12,0,"North_Macedonia","MK","MKD",2077132,"Europe",7.07706588
"20778",2020-03-24,24,3,2020,22,1,"North_Macedonia","MK","MKD",2077132,"Europe",6.49934621
"20779",2020-03-23,23,3,2020,29,1,"North_Macedonia","MK","MKD",2077132,"Europe",5.4401935
"20780",2020-03-22,22,3,2020,15,0,"North_Macedonia","MK","MKD",2077132,"Europe",4.04403764
"20781",2020-03-21,21,3,2020,22,0,"North_Macedonia","MK","MKD",2077132,"Europe",3.32188806
"20782",2020-03-20,20,3,2020,6,0,"North_Macedonia","MK","MKD",2077132,"Europe",2.31087865
"20783",2020-03-19,19,3,2020,11,0,"North_Macedonia","MK","MKD",2077132,"Europe",2.02201882
"20784",2020-03-18,18,3,2020,12,0,"North_Macedonia","MK","MKD",2077132,"Europe",1.49244246
"20785",2020-03-17,17,3,2020,6,0,"North_Macedonia","MK","MKD",2077132,"Europe",0.9147228
"20786",2020-03-16,16,3,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",0.62586297
"20787",2020-03-14,14,3,2020,4,0,"North_Macedonia","MK","MKD",2077132,"Europe",0.62586297
"20788",2020-03-13,13,3,2020,2,0,"North_Macedonia","MK","MKD",2077132,"Europe",0.43328975
"20789",2020-03-11,11,3,2020,4,0,"North_Macedonia","MK","MKD",2077132,"Europe",0.33700314
"20790",2020-03-07,7,3,2020,2,0,"North_Macedonia","MK","MKD",2077132,"Europe",0.14442992
"20791",2020-03-02,2,3,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",0.04814331
"20792",2020-03-01,1,3,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",0.04814331
"20793",2020-02-29,29,2,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",0.04814331
"20794",2020-02-28,28,2,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",0.04814331
"20795",2020-02-27,27,2,2020,1,0,"North_Macedonia","MK","MKD",2077132,"Europe",0.04814331
"20796",2020-02-26,26,2,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",0
"20797",2020-02-25,25,2,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",0
"20798",2020-02-24,24,2,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",0
"20799",2020-02-23,23,2,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",0
"20800",2020-02-22,22,2,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",0
"20801",2020-02-21,21,2,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",0
"20802",2020-02-20,20,2,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",0
"20803",2020-02-19,19,2,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",0
"20804",2020-02-18,18,2,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",0
"20805",2020-02-17,17,2,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",0
"20806",2020-02-16,16,2,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",0
"20807",2020-02-15,15,2,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",0
"20808",2020-02-14,14,2,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",0
"20809",2020-02-13,13,2,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",0
"20810",2020-02-12,12,2,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",0
"20811",2020-02-11,11,2,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",0
"20812",2020-02-10,10,2,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",0
"20813",2020-02-09,9,2,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",0
"20814",2020-02-08,8,2,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",0
"20815",2020-02-07,7,2,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",0
"20816",2020-02-06,6,2,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",0
"20817",2020-02-05,5,2,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",0
"20818",2020-02-04,4,2,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",0
"20819",2020-02-03,3,2,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",0
"20820",2020-02-02,2,2,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",0
"20821",2020-02-01,1,2,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",0
"20822",2020-01-31,31,1,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",0
"20823",2020-01-30,30,1,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",0
"20824",2020-01-29,29,1,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",0
"20825",2020-01-28,28,1,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",0
"20826",2020-01-27,27,1,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",0
"20827",2020-01-26,26,1,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",0
"20828",2020-01-25,25,1,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",0
"20829",2020-01-24,24,1,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",0
"20830",2020-01-23,23,1,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",0
"20831",2020-01-22,22,1,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",0
"20832",2020-01-21,21,1,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",0
"20833",2020-01-20,20,1,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",0
"20834",2020-01-19,19,1,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",0
"20835",2020-01-18,18,1,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",0
"20836",2020-01-17,17,1,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",0
"20837",2020-01-16,16,1,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",0
"20838",2020-01-15,15,1,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",0
"20839",2020-01-14,14,1,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",0
"20840",2020-01-13,13,1,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",0
"20841",2020-01-12,12,1,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",NA
"20842",2020-01-11,11,1,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",NA
"20843",2020-01-10,10,1,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",NA
"20844",2020-01-09,9,1,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",NA
"20845",2020-01-08,8,1,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",NA
"20846",2020-01-07,7,1,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",NA
"20847",2020-01-06,6,1,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",NA
"20848",2020-01-05,5,1,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",NA
"20849",2020-01-04,4,1,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",NA
"20850",2020-01-03,3,1,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",NA
"20851",2020-01-02,2,1,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",NA
"20852",2020-01-01,1,1,2020,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",NA
"20853",2019-12-31,31,12,2019,0,0,"North_Macedonia","MK","MKD",2077132,"Europe",NA
