"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"21283",2020-07-20,20,7,2020,0,0,"Northern_Mariana_Islands","MP","MNP",57213,"Oceania",10.48712705
"21284",2020-07-19,19,7,2020,0,0,"Northern_Mariana_Islands","MP","MNP",57213,"Oceania",10.48712705
"21285",2020-07-18,18,7,2020,0,0,"Northern_Mariana_Islands","MP","MNP",57213,"Oceania",10.48712705
"21286",2020-07-17,17,7,2020,1,0,"Northern_Mariana_Islands","MP","MNP",57213,"Oceania",10.48712705
"21287",2020-07-16,16,7,2020,0,0,"Northern_Mariana_Islands","MP","MNP",57213,"Oceania",10.48712705
"21288",2020-07-15,15,7,2020,3,0,"Northern_Mariana_Islands","MP","MNP",57213,"Oceania",10.48712705
"21289",2020-07-14,14,7,2020,0,0,"Northern_Mariana_Islands","MP","MNP",57213,"Oceania",5.24356353
"21290",2020-07-13,13,7,2020,0,0,"Northern_Mariana_Islands","MP","MNP",57213,"Oceania",5.24356353
"21291",2020-07-12,12,7,2020,2,0,"Northern_Mariana_Islands","MP","MNP",57213,"Oceania",5.24356353
"21292",2020-07-11,11,7,2020,0,0,"Northern_Mariana_Islands","MP","MNP",57213,"Oceania",1.74785451
"21293",2020-07-10,10,7,2020,0,0,"Northern_Mariana_Islands","MP","MNP",57213,"Oceania",1.74785451
"21294",2020-07-09,9,7,2020,0,0,"Northern_Mariana_Islands","MP","MNP",57213,"Oceania",1.74785451
"21295",2020-07-08,8,7,2020,0,0,"Northern_Mariana_Islands","MP","MNP",57213,"Oceania",1.74785451
"21296",2020-07-07,7,7,2020,0,0,"Northern_Mariana_Islands","MP","MNP",57213,"Oceania",1.74785451
"21297",2020-07-06,6,7,2020,0,0,"Northern_Mariana_Islands","MP","MNP",57213,"Oceania",1.74785451
"21298",2020-07-05,5,7,2020,0,0,"Northern_Mariana_Islands","MP","MNP",57213,"Oceania",1.74785451
"21299",2020-07-04,4,7,2020,0,0,"Northern_Mariana_Islands","MP","MNP",57213,"Oceania",1.74785451
"21300",2020-07-03,3,7,2020,1,0,"Northern_Mariana_Islands","MP","MNP",57213,"Oceania",1.74785451
"21301",2020-07-02,2,7,2020,0,0,"Northern_Mariana_Islands","MP","MNP",57213,"Oceania",0
"21302",2020-07-01,1,7,2020,0,0,"Northern_Mariana_Islands","MP","MNP",57213,"Oceania",0
"21303",2020-06-30,30,6,2020,0,0,"Northern_Mariana_Islands","MP","MNP",57213,"Oceania",0
"21304",2020-06-29,29,6,2020,0,0,"Northern_Mariana_Islands","MP","MNP",57213,"Oceania",0
"21305",2020-06-28,28,6,2020,0,0,"Northern_Mariana_Islands","MP","MNP",57213,"Oceania",0
"21306",2020-06-27,27,6,2020,0,0,"Northern_Mariana_Islands","MP","MNP",57213,"Oceania",0
"21307",2020-06-26,26,6,2020,0,0,"Northern_Mariana_Islands","MP","MNP",57213,"Oceania",0
"21308",2020-06-25,25,6,2020,0,0,"Northern_Mariana_Islands","MP","MNP",57213,"Oceania",0
"21309",2020-06-24,24,6,2020,0,0,"Northern_Mariana_Islands","MP","MNP",57213,"Oceania",0
"21310",2020-06-23,23,6,2020,0,0,"Northern_Mariana_Islands","MP","MNP",57213,"Oceania",3.49570902
"21311",2020-06-22,22,6,2020,0,0,"Northern_Mariana_Islands","MP","MNP",57213,"Oceania",5.24356353
"21312",2020-06-21,21,6,2020,0,0,"Northern_Mariana_Islands","MP","MNP",57213,"Oceania",5.24356353
"21313",2020-06-20,20,6,2020,0,0,"Northern_Mariana_Islands","MP","MNP",57213,"Oceania",6.99141803
