"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"20963",2020-07-17,17,7,2020,10,1,"Norway","NO","NOR",5328212,"Europe",2.17709055
"20964",2020-07-16,16,7,2020,17,0,"Norway","NO","NOR",5328212,"Europe",2.13955451
"20965",2020-07-15,15,7,2020,3,0,"Norway","NO","NOR",5328212,"Europe",2.23339462
"20966",2020-07-14,14,7,2020,16,1,"Norway","NO","NOR",5328212,"Europe",2.36477077
"20967",2020-07-13,13,7,2020,0,0,"Norway","NO","NOR",5328212,"Europe",2.8152033
"20968",2020-07-12,12,7,2020,0,0,"Norway","NO","NOR",5328212,"Europe",2.8152033
"20969",2020-07-11,11,7,2020,11,0,"Norway","NO","NOR",5328212,"Europe",2.8152033
"20970",2020-07-10,10,7,2020,7,1,"Norway","NO","NOR",5328212,"Europe",3.02165154
"20971",2020-07-09,9,7,2020,11,0,"Norway","NO","NOR",5328212,"Europe",3.19056374
"20972",2020-07-08,8,7,2020,6,0,"Norway","NO","NOR",5328212,"Europe",3.47208407
"20973",2020-07-07,7,7,2020,35,0,"Norway","NO","NOR",5328212,"Europe",3.47208407
"20974",2020-07-06,6,7,2020,0,0,"Norway","NO","NOR",5328212,"Europe",3.50962011
"20975",2020-07-05,5,7,2020,0,0,"Norway","NO","NOR",5328212,"Europe",3.50962011
"20976",2020-07-04,4,7,2020,0,0,"Norway","NO","NOR",5328212,"Europe",3.80990846
"20977",2020-07-03,3,7,2020,8,0,"Norway","NO","NOR",5328212,"Europe",3.80990846
"20978",2020-07-02,2,7,2020,22,1,"Norway","NO","NOR",5328212,"Europe",4.26034099
"20979",2020-07-01,1,7,2020,10,1,"Norway","NO","NOR",5328212,"Europe",4.39171715
"20980",2020-06-30,30,6,2020,40,0,"Norway","NO","NOR",5328212,"Europe",4.20403693
"20981",2020-06-29,29,6,2020,0,0,"Norway","NO","NOR",5328212,"Europe",3.9225166
"20982",2020-06-28,28,6,2020,0,0,"Norway","NO","NOR",5328212,"Europe",3.9225166
"20983",2020-06-27,27,6,2020,22,0,"Norway","NO","NOR",5328212,"Europe",3.9225166
"20984",2020-06-26,26,6,2020,16,0,"Norway","NO","NOR",5328212,"Europe",3.73483638
"20985",2020-06-25,25,6,2020,26,1,"Norway","NO","NOR",5328212,"Europe",3.77237242
"20986",2020-06-24,24,6,2020,6,0,"Norway","NO","NOR",5328212,"Europe",3.52838813
"20987",2020-06-23,23,6,2020,37,4,"Norway","NO","NOR",5328212,"Europe",3.71606835
"20988",2020-06-22,22,6,2020,0,0,"Norway","NO","NOR",5328212,"Europe",3.82867649
"20989",2020-06-21,21,6,2020,16,0,"Norway","NO","NOR",5328212,"Europe",3.82867649
"20990",2020-06-20,20,6,2020,0,0,"Norway","NO","NOR",5328212,"Europe",3.52838813
"20991",2020-06-19,19,6,2020,32,1,"Norway","NO","NOR",5328212,"Europe",4.03512473
"20992",2020-06-18,18,6,2020,29,1,"Norway","NO","NOR",5328212,"Europe",4.01635671
"20993",2020-06-17,17,6,2020,0,0,"Norway","NO","NOR",5328212,"Europe",3.47208407
"20994",2020-06-16,16,6,2020,25,0,"Norway","NO","NOR",5328212,"Europe",4.12896484
"20995",2020-06-15,15,6,2020,0,0,"Norway","NO","NOR",5328212,"Europe",3.65976429
"20996",2020-06-14,14,6,2020,0,0,"Norway","NO","NOR",5328212,"Europe",3.65976429
"20997",2020-06-13,13,6,2020,12,0,"Norway","NO","NOR",5328212,"Europe",3.65976429
"20998",2020-06-12,12,6,2020,18,3,"Norway","NO","NOR",5328212,"Europe",3.62222824
"20999",2020-06-11,11,6,2020,13,0,"Norway","NO","NOR",5328212,"Europe",3.62222824
"21000",2020-06-10,10,6,2020,16,0,"Norway","NO","NOR",5328212,"Europe",3.73483638
"21001",2020-06-09,9,6,2020,43,1,"Norway","NO","NOR",5328212,"Europe",3.65976429
"21002",2020-06-08,8,6,2020,0,0,"Norway","NO","NOR",5328212,"Europe",3.65976429
"21003",2020-06-07,7,6,2020,0,0,"Norway","NO","NOR",5328212,"Europe",3.65976429
"21004",2020-06-06,6,6,2020,27,0,"Norway","NO","NOR",5328212,"Europe",3.65976429
"21005",2020-06-05,5,6,2020,31,1,"Norway","NO","NOR",5328212,"Europe",3.9225166
"21006",2020-06-04,4,6,2020,0,0,"Norway","NO","NOR",5328212,"Europe",3.34070791
"21007",2020-06-03,3,6,2020,35,1,"Norway","NO","NOR",5328212,"Europe",3.54715616
"21008",2020-06-02,2,6,2020,0,0,"Norway","NO","NOR",5328212,"Europe",3.04041956
"21009",2020-06-01,1,6,2020,0,0,"Norway","NO","NOR",5328212,"Europe",4.01635671
"21010",2020-05-31,31,5,2020,0,0,"Norway","NO","NOR",5328212,"Europe",4.01635671
"21011",2020-05-30,30,5,2020,10,0,"Norway","NO","NOR",5328212,"Europe",4.01635671
"21012",2020-05-29,29,5,2020,18,1,"Norway","NO","NOR",5328212,"Europe",4.24157297
"21013",2020-05-28,28,5,2020,19,0,"Norway","NO","NOR",5328212,"Europe",4.22280495
"21014",2020-05-27,27,5,2020,12,0,"Norway","NO","NOR",5328212,"Europe",4.29787704
"21015",2020-05-26,26,5,2020,43,0,"Norway","NO","NOR",5328212,"Europe",4.61693341
"21016",2020-05-25,25,5,2020,0,0,"Norway","NO","NOR",5328212,"Europe",3.94128462
"21017",2020-05-24,24,5,2020,0,0,"Norway","NO","NOR",5328212,"Europe",4.50432528
"21018",2020-05-23,23,5,2020,41,1,"Norway","NO","NOR",5328212,"Europe",5.16120605
"21019",2020-05-22,22,5,2020,0,0,"Norway","NO","NOR",5328212,"Europe",5.12367
"21020",2020-05-21,21,5,2020,11,1,"Norway","NO","NOR",5328212,"Europe",5.91192693
"21021",2020-05-20,20,5,2020,8,0,"Norway","NO","NOR",5328212,"Europe",6.64387979
"21022",2020-05-19,19,5,2020,52,1,"Norway","NO","NOR",5328212,"Europe",7.54474484
"21023",2020-05-18,18,5,2020,0,0,"Norway","NO","NOR",5328212,"Europe",7.28199253
"21024",2020-05-17,17,5,2020,0,0,"Norway","NO","NOR",5328212,"Europe",8.22039363
"21025",2020-05-16,16,5,2020,22,0,"Norway","NO","NOR",5328212,"Europe",8.22039363
"21026",2020-05-15,15,5,2020,17,3,"Norway","NO","NOR",5328212,"Europe",8.72713023
"21027",2020-05-14,14,5,2020,23,1,"Norway","NO","NOR",5328212,"Europe",9.2150988
"21028",2020-05-13,13,5,2020,29,4,"Norway","NO","NOR",5328212,"Europe",9.94705166
"21029",2020-05-12,12,5,2020,7,7,"Norway","NO","NOR",5328212,"Europe",10.7540766
"21030",2020-05-11,11,5,2020,30,4,"Norway","NO","NOR",5328212,"Europe",11.14820506
"21031",2020-05-10,10,5,2020,35,0,"Norway","NO","NOR",5328212,"Europe",11.29834924
"21032",2020-05-09,9,5,2020,39,4,"Norway","NO","NOR",5328212,"Europe",11.74878177
"21033",2020-05-08,8,5,2020,42,0,"Norway","NO","NOR",5328212,"Europe",12.1992143
"21034",2020-05-07,7,5,2020,50,0,"Norway","NO","NOR",5328212,"Europe",13.19391946
"21035",2020-05-06,6,5,2020,56,1,"Norway","NO","NOR",5328212,"Europe",13.83203221
"21036",2020-05-05,5,5,2020,38,0,"Norway","NO","NOR",5328212,"Europe",13.77572814
"21037",2020-05-04,4,5,2020,50,4,"Norway","NO","NOR",5328212,"Europe",13.9071043
"21038",2020-05-03,3,5,2020,0,0,"Norway","NO","NOR",5328212,"Europe",14.54521704
