"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"22379",2020-07-24,24,7,2020,1209,54,"Pakistan","PK","PAK",216565317,"Asia",12.37548116
"22380",2020-07-23,23,7,2020,1763,32,"Pakistan","PK","PAK",216565317,"Asia",13.08750653
"22381",2020-07-22,22,7,2020,1332,38,"Pakistan","PK","PAK",216565317,"Asia",13.82446664
"22382",2020-07-21,21,7,2020,1013,40,"Pakistan","PK","PAK",216565317,"Asia",14.58543798
"22383",2020-07-20,20,7,2020,1587,31,"Pakistan","PK","PAK",216565317,"Asia",15.36026196
"22384",2020-07-19,19,7,2020,1579,46,"Pakistan","PK","PAK",216565317,"Asia",16.17156454
"22385",2020-07-18,18,7,2020,1918,47,"Pakistan","PK","PAK",216565317,"Asia",16.91591272
"22386",2020-07-17,17,7,2020,2085,49,"Pakistan","PK","PAK",216565317,"Asia",17.59423001
"22387",2020-07-16,16,7,2020,2145,40,"Pakistan","PK","PAK",216565317,"Asia",18.51866243
"22388",2020-07-15,15,7,2020,2165,66,"Pakistan","PK","PAK",216565317,"Asia",19.53175171
"22389",2020-07-14,14,7,2020,1979,54,"Pakistan","PK","PAK",216565317,"Asia",20.44048448
"22390",2020-07-13,13,7,2020,2753,69,"Pakistan","PK","PAK",216565317,"Asia",20.83112874
"22391",2020-07-12,12,7,2020,2521,74,"Pakistan","PK","PAK",216565317,"Asia",21.20237933
"22392",2020-07-11,11,7,2020,2752,65,"Pakistan","PK","PAK",216565317,"Asia",21.91856049
"22393",2020-07-10,10,7,2020,2751,75,"Pakistan","PK","PAK",216565317,"Asia",22.09679771
"22394",2020-07-09,9,7,2020,3359,61,"Pakistan","PK","PAK",216565317,"Asia",22.10787981
"22395",2020-07-08,8,7,2020,2980,83,"Pakistan","PK","PAK",216565317,"Asia",22.42418162
"22396",2020-07-07,7,7,2020,2691,77,"Pakistan","PK","PAK",216565317,"Asia",22.84530168
"22397",2020-07-06,6,7,2020,3344,50,"Pakistan","PK","PAK",216565317,"Asia",23.42480352
"22398",2020-07-05,5,7,2020,3191,93,"Pakistan","PK","PAK",216565317,"Asia",23.94520079
"22399",2020-07-04,4,7,2020,3387,68,"Pakistan","PK","PAK",216565317,"Asia",24.75788863
"22400",2020-07-03,3,7,2020,4087,78,"Pakistan","PK","PAK",216565317,"Asia",26.24335272
