"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"21758",2020-07-15,15,7,2020,3744,175,"Peru","PE","PER",32510462,"America",149.65643983
"21759",2020-07-14,14,7,2020,3797,184,"Peru","PE","PER",32510462,"America",146.90040394
"21760",2020-07-13,13,7,2020,3616,188,"Peru","PE","PER",32510462,"America",144.28278503
"21761",2020-07-12,12,7,2020,3064,182,"Peru","PE","PER",32510462,"America",143.71066151
"21762",2020-07-11,11,7,2020,3198,186,"Peru","PE","PER",32510462,"America",145.43625987
"21763",2020-07-10,10,7,2020,3537,181,"Peru","PE","PER",32510462,"America",147.17108603
"21764",2020-07-09,9,7,2020,3633,181,"Peru","PE","PER",32510462,"America",148.32763681
"21765",2020-07-08,8,7,2020,3575,180,"Peru","PE","PER",32510462,"America",149.0843163
"21766",2020-07-07,7,7,2020,2985,183,"Peru","PE","PER",32510462,"America",156.15588607
"21767",2020-07-06,6,7,2020,3638,177,"Peru","PE","PER",32510462,"America",146.97422633
"21768",2020-07-05,5,7,2020,3481,186,"Peru","PE","PER",32510462,"America",146.85118901
"21769",2020-07-04,4,7,2020,3595,181,"Peru","PE","PER",32510462,"America",146.64202557
"21770",2020-07-03,3,7,2020,3527,185,"Peru","PE","PER",32510462,"America",146.46362146
"21771",2020-07-02,2,7,2020,3264,183,"Peru","PE","PER",32510462,"America",146.31905262
"21772",2020-07-01,1,7,2020,2848,173,"Peru","PE","PER",32510462,"America",147.82010788
"21773",2020-06-30,30,6,2020,2946,187,"Peru","PE","PER",32510462,"America",151.86803559
"21774",2020-06-29,29,6,2020,3430,182,"Peru","PE","PER",32510462,"America",152.82157479
"21775",2020-06-28,28,6,2020,3625,196,"Peru","PE","PER",32510462,"America",156.43272003
"21776",2020-06-27,27,6,2020,3762,178,"Peru","PE","PER",32510462,"America",158.76427717
"21777",2020-06-26,26,6,2020,3913,175,"Peru","PE","PER",32510462,"America",165.52825364
"21778",2020-06-25,25,6,2020,3879,182,"Peru","PE","PER",32510462,"America",171.84006798
"21779",2020-06-24,24,6,2020,5874,359,"Peru","PE","PER",32510462,"America",175.55579493
"21780",2020-06-23,23,6,2020,0,0,"Peru","PE","PER",32510462,"America",169.91453397
"21781",2020-06-22,22,6,2020,3598,184,"Peru","PE","PER",32510462,"America",179.69907656
"21782",2020-06-21,21,6,2020,3413,201,"Peru","PE","PER",32510462,"America",183.26408281
"21783",2020-06-20,20,6,2020,3537,199,"Peru","PE","PER",32510462,"America",186.17083941
"21784",2020-06-19,19,6,2020,3480,204,"Peru","PE","PER",32510462,"America",188.21633479
"21785",2020-06-18,18,6,2020,3752,201,"Peru","PE","PER",32510462,"America",190.68938485
"21786",2020-06-17,17,6,2020,4164,196,"Peru","PE","PER",32510462,"America",206.44738915
"21787",2020-06-16,16,6,2020,3256,172,"Peru","PE","PER",32510462,"America",193.63920451
"21788",2020-06-15,15,6,2020,4604,190,"Peru","PE","PER",32510462,"America",200.73538174
"21789",2020-06-14,14,6,2020,4383,190,"Peru","PE","PER",32510462,"America",213.65737589
"21790",2020-06-13,13,6,2020,5961,199,"Peru","PE","PER",32510462,"America",222.89440242
