"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"21623",2020-07-12,12,7,2020,305,6,"Poland","PL","POL",37972812,"Europe",10.0255941
"21624",2020-07-11,11,7,2020,265,11,"Poland","PL","POL",37972812,"Europe",10.06246259
"21625",2020-07-10,10,7,2020,262,9,"Poland","PL","POL",37972812,"Europe",10.09143068
"21626",2020-07-09,9,7,2020,277,14,"Poland","PL","POL",37972812,"Europe",10.18623535
"21627",2020-07-08,8,7,2020,257,7,"Poland","PL","POL",37972812,"Europe",10.23100422
"21628",2020-07-07,7,7,2020,205,4,"Poland","PL","POL",37972812,"Europe",10.34424314
"21629",2020-07-06,6,7,2020,231,5,"Poland","PL","POL",37972812,"Europe",10.58388828
"21630",2020-07-05,5,7,2020,314,5,"Poland","PL","POL",37972812,"Europe",10.79456533
"21631",2020-07-04,4,7,2020,259,15,"Poland","PL","POL",37972812,"Europe",10.7682307
"21632",2020-07-03,3,7,2020,371,15,"Poland","PL","POL",37972812,"Europe",10.87883615
"21633",2020-07-02,2,7,2020,382,14,"Poland","PL","POL",37972812,"Europe",10.72872875
"21634",2020-07-01,1,7,2020,239,19,"Poland","PL","POL",37972812,"Europe",11.05527818
"21635",2020-06-30,30,6,2020,247,6,"Poland","PL","POL",37972812,"Europe",11.49769999
"21636",2020-06-29,29,6,2020,193,3,"Poland","PL","POL",37972812,"Europe",11.89008599
"21637",2020-06-28,28,6,2020,319,6,"Poland","PL","POL",37972812,"Europe",12.36937628
"21638",2020-06-27,27,6,2020,276,17,"Poland","PL","POL",37972812,"Europe",12.68802532
"21639",2020-06-26,26,6,2020,298,16,"Poland","PL","POL",37972812,"Europe",12.95137163
"21640",2020-06-25,25,6,2020,294,21,"Poland","PL","POL",37972812,"Europe",13.33585724
"21641",2020-06-24,24,6,2020,300,16,"Poland","PL","POL",37972812,"Europe",13.08041132
"21642",2020-06-23,23,6,2020,296,3,"Poland","PL","POL",37972812,"Europe",13.34375763
"21643",2020-06-22,22,6,2020,311,10,"Poland","PL","POL",37972812,"Europe",14.14169696
"21644",2020-06-21,21,6,2020,304,12,"Poland","PL","POL",37972812,"Europe",14.83693122
"21645",2020-06-20,20,6,2020,301,18,"Poland","PL","POL",37972812,"Europe",15.52953202
"21646",2020-06-19,19,6,2020,314,30,"Poland","PL","POL",37972812,"Europe",15.71387444
"21647",2020-06-18,18,6,2020,506,14,"Poland","PL","POL",37972812,"Europe",16.60661844
"21648",2020-06-17,17,6,2020,407,16,"Poland","PL","POL",37972812,"Europe",15.2740861
"21649",2020-06-16,16,6,2020,396,9,"Poland","PL","POL",37972812,"Europe",14.80796313
"21650",2020-06-15,15,6,2020,375,10,"Poland","PL","POL",37972812,"Europe",14.76319426
"21651",2020-06-14,14,6,2020,440,15,"Poland","PL","POL",37972812,"Europe",14.34184016
"21652",2020-06-13,13,6,2020,376,7,"Poland","PL","POL",37972812,"Europe",14.27863704
"21653",2020-06-12,12,6,2020,444,9,"Poland","PL","POL",37972812,"Europe",14.15749774
"21654",2020-06-11,11,6,2020,197,23,"Poland","PL","POL",37972812,"Europe",13.91521913
