"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"22830",2020-07-19,19,7,2020,313,2,"Portugal","PT","PRT",10276617,"Europe",46.91232533
"22831",2020-07-18,18,7,2020,312,3,"Portugal","PT","PRT",10276617,"Europe",47.8854082
"22832",2020-07-17,17,7,2020,339,3,"Portugal","PT","PRT",10276617,"Europe",48.48871959
"22833",2020-07-16,16,7,2020,375,8,"Portugal","PT","PRT",10276617,"Europe",48.38168047
"22834",2020-07-15,15,7,2020,233,6,"Portugal","PT","PRT",10276617,"Europe",47.77836909
"22835",2020-07-14,14,7,2020,306,2,"Portugal","PT","PRT",10276617,"Europe",47.73944577
"22836",2020-07-13,13,7,2020,291,6,"Portugal","PT","PRT",10276617,"Europe",47.35021262
"22837",2020-07-12,12,7,2020,542,8,"Portugal","PT","PRT",10276617,"Europe",48.96553019
"22838",2020-07-11,11,7,2020,402,2,"Portugal","PT","PRT",10276617,"Europe",46.8344787
"22839",2020-07-10,10,7,2020,418,13,"Portugal","PT","PRT",10276617,"Europe",47.31128931
"22840",2020-07-09,9,7,2020,443,2,"Portugal","PT","PRT",10276617,"Europe",46.27009063
"22841",2020-07-08,8,7,2020,287,9,"Portugal","PT","PRT",10276617,"Europe",45.53054765
"22842",2020-07-07,7,7,2020,232,6,"Portugal","PT","PRT",10276617,"Europe",46.09493572
"22843",2020-07-06,6,7,2020,328,9,"Portugal","PT","PRT",10276617,"Europe",46.35766809
"22844",2020-07-05,5,7,2020,413,7,"Portugal","PT","PRT",10276617,"Europe",46.00735826
"22845",2020-07-04,4,7,2020,374,11,"Portugal","PT","PRT",10276617,"Europe",45.65704842
"22846",2020-07-03,3,7,2020,328,8,"Portugal","PT","PRT",10276617,"Europe",45.66677925
"22847",2020-07-02,2,7,2020,313,3,"Portugal","PT","PRT",10276617,"Europe",46.53282301
"22848",2020-07-01,1,7,2020,229,8,"Portugal","PT","PRT",10276617,"Europe",46.75663207
"22849",2020-06-30,30,6,2020,266,4,"Portugal","PT","PRT",10276617,"Europe",47.44752091
"22850",2020-06-29,29,6,2020,457,3,"Portugal","PT","PRT",10276617,"Europe",48.22598721
"22851",2020-06-28,28,6,2020,323,6,"Portugal","PT","PRT",10276617,"Europe",45.9878966
"22852",2020-06-27,27,6,2020,451,6,"Portugal","PT","PRT",10276617,"Europe",45.59866345
"22853",2020-06-26,26,6,2020,311,6,"Portugal","PT","PRT",10276617,"Europe",43.83738345
"22854",2020-06-25,25,6,2020,367,3,"Portugal","PT","PRT",10276617,"Europe",43.82765262
"22855",2020-06-24,24,6,2020,345,6,"Portugal","PT","PRT",10276617,"Europe",43.11730212
"22856",2020-06-23,23,6,2020,259,4,"Portugal","PT","PRT",10276617,"Europe",43.85684511
"22857",2020-06-22,22,6,2020,292,2,"Portugal","PT","PRT",10276617,"Europe",45.15104533
"22858",2020-06-21,21,6,2020,377,1,"Portugal","PT","PRT",10276617,"Europe",43.69142102
"22859",2020-06-20,20,6,2020,375,3,"Portugal","PT","PRT",10276617,"Europe",43.74007516
"22860",2020-06-19,19,6,2020,417,1,"Portugal","PT","PRT",10276617,"Europe",43.75953682
