"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"22659",2020-07-17,17,7,2020,195,1,"Puerto_Rico","PR","PRI",2933404,"America",101.1112005
"22660",2020-07-16,16,7,2020,256,2,"Puerto_Rico","PR","PRI",2933404,"America",96.88402961
"22661",2020-07-15,15,7,2020,113,2,"Puerto_Rico","PR","PRI",2933404,"America",90.61145345
"22662",2020-07-14,14,7,2020,189,0,"Puerto_Rico","PR","PRI",2933404,"America",94.08864241
"22663",2020-07-13,13,7,2020,288,0,"Puerto_Rico","PR","PRI",2933404,"America",89.72511117
"22664",2020-07-12,12,7,2020,237,8,"Puerto_Rico","PR","PRI",2933404,"America",84.10024668
"22665",2020-07-11,11,7,2020,392,0,"Puerto_Rico","PR","PRI",2933404,"America",80.92986851
"22666",2020-07-10,10,7,2020,0,0,"Puerto_Rico","PR","PRI",2933404,"America",69.10060803
"22667",2020-07-09,9,7,2020,190,2,"Puerto_Rico","PR","PRI",2933404,"America",71.04374304
"22668",2020-07-08,8,7,2020,129,2,"Puerto_Rico","PR","PRI",2933404,"America",69.16878821
"22669",2020-07-07,7,7,2020,669,0,"Puerto_Rico","PR","PRI",2933404,"America",68.8960675
"22670",2020-07-06,6,7,2020,229,0,"Puerto_Rico","PR","PRI",2933404,"America",47.41931217
"22671",2020-07-05,5,7,2020,4,1,"Puerto_Rico","PR","PRI",2933404,"America",41.7262675
"22672",2020-07-04,4,7,2020,75,1,"Puerto_Rico","PR","PRI",2933404,"America",53.58961807
"22673",2020-07-03,3,7,2020,71,0,"Puerto_Rico","PR","PRI",2933404,"America",51.03286148
"22674",2020-07-02,2,7,2020,72,0,"Puerto_Rico","PR","PRI",2933404,"America",52.29419473
"22675",2020-07-01,1,7,2020,215,0,"Puerto_Rico","PR","PRI",2933404,"America",51.61239297
"22676",2020-06-30,30,6,2020,61,0,"Puerto_Rico","PR","PRI",2933404,"America",46.36251945
"22677",2020-06-29,29,6,2020,123,1,"Puerto_Rico","PR","PRI",2933404,"America",46.97614103
"22678",2020-06-28,28,6,2020,144,1,"Puerto_Rico","PR","PRI",2933404,"America",46.90796085
"22679",2020-06-27,27,6,2020,45,0,"Puerto_Rico","PR","PRI",2933404,"America",47.24886173
"22680",2020-06-26,26,6,2020,57,2,"Puerto_Rico","PR","PRI",2933404,"America",51.98738394
"22681",2020-06-25,25,6,2020,135,0,"Puerto_Rico","PR","PRI",2933404,"America",50.82832095
"22682",2020-06-24,24,6,2020,121,0,"Puerto_Rico","PR","PRI",2933404,"America",51.13513174
"22683",2020-06-23,23,6,2020,39,0,"Puerto_Rico","PR","PRI",2933404,"America",51.74875333
"22684",2020-06-22,22,6,2020,62,2,"Puerto_Rico","PR","PRI",2933404,"America",52.49873526
"22685",2020-06-21,21,6,2020,352,0,"Puerto_Rico","PR","PRI",2933404,"America",52.77145596
"22686",2020-06-20,20,6,2020,0,0,"Puerto_Rico","PR","PRI",2933404,"America",50.82832095
"22687",2020-06-19,19,6,2020,108,0,"Puerto_Rico","PR","PRI",2933404,"America",54.64641079
"22688",2020-06-18,18,6,2020,52,0,"Puerto_Rico","PR","PRI",2933404,"America",67.4983739
"22689",2020-06-17,17,6,2020,61,0,"Puerto_Rico","PR","PRI",2933404,"America",68.72561706
"22690",2020-06-16,16,6,2020,79,0,"Puerto_Rico","PR","PRI",2933404,"America",68.75970715
"22691",2020-06-15,15,6,2020,121,1,"Puerto_Rico","PR","PRI",2933404,"America",69.37332873
"22692",2020-06-14,14,6,2020,154,0,"Puerto_Rico","PR","PRI",2933404,"America",67.2256532
"22693",2020-06-13,13,6,2020,184,2,"Puerto_Rico","PR","PRI",2933404,"America",64.39617591
"22694",2020-06-12,12,6,2020,23,1,"Puerto_Rico","PR","PRI",2933404,"America",63.61210389
"22695",2020-06-11,11,6,2020,144,1,"Puerto_Rico","PR","PRI",2933404,"America",65.86204969
"22696",2020-06-10,10,6,2020,139,0,"Puerto_Rico","PR","PRI",2933404,"America",63.44165345
"22697",2020-06-09,9,6,2020,61,0,"Puerto_Rico","PR","PRI",2933404,"America",60.88489686
"22698",2020-06-08,8,6,2020,70,0,"Puerto_Rico","PR","PRI",2933404,"America",61.22579774
"22699",2020-06-07,7,6,2020,295,1,"Puerto_Rico","PR","PRI",2933404,"America",61.87350941
"22700",2020-06-06,6,6,2020,112,1,"Puerto_Rico","PR","PRI",2933404,"America",54.20323965
"22701",2020-06-05,5,6,2020,485,0,"Puerto_Rico","PR","PRI",2933404,"America",54.37369009
"22702",2020-06-04,4,6,2020,88,2,"Puerto_Rico","PR","PRI",2933404,"America",39.44223162
"22703",2020-06-03,3,6,2020,62,2,"Puerto_Rico","PR","PRI",2933404,"America",38.52179925
