"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"22771",2020-07-17,17,7,2020,464,1,"Qatar","QA","QAT",2832071,"Asia",266.58936164
"22772",2020-07-16,16,7,2020,450,1,"Qatar","QA","QAT",2832071,"Asia",281.7725968
"22773",2020-07-15,15,7,2020,517,1,"Qatar","QA","QAT",2832071,"Asia",298.19167669
"22774",2020-07-14,14,7,2020,418,2,"Qatar","QA","QAT",2832071,"Asia",314.61075658
"22775",2020-07-13,13,7,2020,470,1,"Qatar","QA","QAT",2832071,"Asia",324.32096512
"22776",2020-07-12,12,7,2020,498,0,"Qatar","QA","QAT",2832071,"Asia",334.2077229
"22777",2020-07-11,11,7,2020,520,4,"Qatar","QA","QAT",2832071,"Asia",347.66077545
"22778",2020-07-10,10,7,2020,557,4,"Qatar","QA","QAT",2832071,"Asia",362.70277122
"22779",2020-07-09,9,7,2020,608,4,"Qatar","QA","QAT",2832071,"Asia",380.46362538
"22780",2020-07-08,8,7,2020,600,1,"Qatar","QA","QAT",2832071,"Asia",401.33174627
"22781",2020-07-07,7,7,2020,546,5,"Qatar","QA","QAT",2832071,"Asia",421.67021943
"22782",2020-07-06,6,7,2020,616,5,"Qatar","QA","QAT",2832071,"Asia",438.90142585
"22783",2020-07-05,5,7,2020,530,2,"Qatar","QA","QAT",2832071,"Asia",448.25853589
"22784",2020-07-04,4,7,2020,756,3,"Qatar","QA","QAT",2832071,"Asia",465.77222111
"22785",2020-07-03,3,7,2020,894,3,"Qatar","QA","QAT",2832071,"Asia",475.12933115
"22786",2020-07-02,2,7,2020,915,2,"Qatar","QA","QAT",2832071,"Asia",488.29990491
"22787",2020-07-01,1,7,2020,982,0,"Qatar","QA","QAT",2832071,"Asia",494.72629747
"22788",2020-06-30,30,6,2020,693,3,"Qatar","QA","QAT",2832071,"Asia",502.45915445
"22789",2020-06-29,29,6,2020,750,0,"Qatar","QA","QAT",2832071,"Asia",522.97417685
"22790",2020-06-28,28,6,2020,879,1,"Qatar","QA","QAT",2832071,"Asia",538.36927111
"22791",2020-06-27,27,6,2020,946,3,"Qatar","QA","QAT",2832071,"Asia",571.87831802
"22792",2020-06-26,26,6,2020,1060,2,"Qatar","QA","QAT",2832071,"Asia",592.04024193
"22793",2020-06-25,25,6,2020,1199,5,"Qatar","QA","QAT",2832071,"Asia",606.72913921
"22794",2020-06-24,24,6,2020,1176,0,"Qatar","QA","QAT",2832071,"Asia",624.98433125
"22795",2020-06-23,23,6,2020,1034,1,"Qatar","QA","QAT",2832071,"Asia",644.22819908
"22796",2020-06-22,22,6,2020,881,4,"Qatar","QA","QAT",2832071,"Asia",656.02168872
"22797",2020-06-21,21,6,2020,1026,1,"Qatar","QA","QAT",2832071,"Asia",681.23292107
"22798",2020-06-20,20,6,2020,1021,7,"Qatar","QA","QAT",2832071,"Asia",705.03175944
"22799",2020-06-19,19,6,2020,1267,4,"Qatar","QA","QAT",2832071,"Asia",730.91387892
