"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"22653",2020-07-15,15,7,2020,637,30,"Romania","RO","ROU",19414458,"Europe",34.07254532
"22654",2020-07-14,14,7,2020,413,17,"Romania","RO","ROU",19414458,"Europe",32.78999599
"22655",2020-07-13,13,7,2020,456,13,"Romania","RO","ROU",19414458,"Europe",32.04828072
"22656",2020-07-12,12,7,2020,698,24,"Romania","RO","ROU",19414458,"Europe",31.19839864
"22657",2020-07-11,11,7,2020,592,13,"Romania","RO","ROU",19414458,"Europe",29.27715005
"22658",2020-07-10,10,7,2020,614,17,"Romania","RO","ROU",19414458,"Europe",28.34485516
"22659",2020-07-09,9,7,2020,555,18,"Romania","RO","ROU",19414458,"Europe",27.55163188
"22660",2020-07-08,8,7,2020,397,31,"Romania","RO","ROU",19414458,"Europe",26.34634456
"22661",2020-07-07,7,7,2020,250,18,"Romania","RO","ROU",19414458,"Europe",25.40374807
"22662",2020-07-06,6,7,2020,391,19,"Romania","RO","ROU",19414458,"Europe",25.38314487
"22663",2020-07-05,5,7,2020,416,23,"Romania","RO","ROU",19414458,"Europe",24.99168403
"22664",2020-07-04,4,7,2020,420,21,"Romania","RO","ROU",19414458,"Europe",24.54871519
"22665",2020-07-03,3,7,2020,450,20,"Romania","RO","ROU",19414458,"Europe",24.03363514
"22666",2020-07-02,2,7,2020,326,16,"Romania","RO","ROU",19414458,"Europe",23.36403107
"22667",2020-07-01,1,7,2020,388,17,"Romania","RO","ROU",19414458,"Europe",23.46189628
"22668",2020-06-30,30,6,2020,269,22,"Romania","RO","ROU",19414458,"Europe",22.75108581
"22669",2020-06-29,29,6,2020,291,23,"Romania","RO","ROU",19414458,"Europe",22.22055336
"22670",2020-06-28,28,6,2020,325,10,"Romania","RO","ROU",19414458,"Europe",22.36992658
"22671",2020-06-27,27,6,2020,411,14,"Romania","RO","ROU",19414458,"Europe",22.11238655
"22672",2020-06-26,26,6,2020,460,10,"Romania","RO","ROU",19414458,"Europe",21.13888526
"22673",2020-06-25,25,6,2020,321,16,"Romania","RO","ROU",19414458,"Europe",19.99025675
"22674",2020-06-24,24,6,2020,214,16,"Romania","RO","ROU",19414458,"Europe",19.34640668
"22675",2020-06-23,23,6,2020,246,11,"Romania","RO","ROU",19414458,"Europe",18.99100145
"22676",2020-06-22,22,6,2020,315,12,"Romania","RO","ROU",19414458,"Europe",18.36775459
"22677",2020-06-21,21,6,2020,330,16,"Romania","RO","ROU",19414458,"Europe",17.71875372
"22678",2020-06-20,20,6,2020,320,11,"Romania","RO","ROU",19414458,"Europe",16.98218925
"22679",2020-06-19,19,6,2020,320,22,"Romania","RO","ROU",19414458,"Europe",16.34348999
"22680",2020-06-18,18,6,2020,345,14,"Romania","RO","ROU",19414458,"Europe",15.92112435
"22681",2020-06-17,17,6,2020,250,10,"Romania","RO","ROU",19414458,"Europe",14.92701985
"22682",2020-06-16,16,6,2020,166,17,"Romania","RO","ROU",19414458,"Europe",14.25226499
"22683",2020-06-15,15,6,2020,320,19,"Romania","RO","ROU",19414458,"Europe",14.12349497
"22684",2020-06-14,14,6,2020,275,11,"Romania","RO","ROU",19414458,"Europe",13.11393808
"22685",2020-06-13,13,6,2020,222,11,"Romania","RO","ROU",19414458,"Europe",12.47523881
"22686",2020-06-12,12,6,2020,237,9,"Romania","RO","ROU",19414458,"Europe",12.315564
"22687",2020-06-11,11,6,2020,196,15,"Romania","RO","ROU",19414458,"Europe",12.10953198
"22688",2020-06-10,10,6,2020,145,11,"Romania","RO","ROU",19414458,"Europe",11.94985716
"22689",2020-06-09,9,6,2020,125,8,"Romania","RO","ROU",19414458,"Europe",11.95500796
"22690",2020-06-08,8,6,2020,189,8,"Romania","RO","ROU",19414458,"Europe",12.40827841
"22691",2020-06-07,7,6,2020,187,10,"Romania","RO","ROU",19414458,"Europe",12.53189762
"22692",2020-06-06,6,6,2020,196,9,"Romania","RO","ROU",19414458,"Europe",12.315564
"22693",2020-06-05,5,6,2020,238,11,"Romania","RO","ROU",19414458,"Europe",11.96015876
"22694",2020-06-04,4,6,2020,152,9,"Romania","RO","ROU",19414458,"Europe",11.75412674
"22695",2020-06-03,3,6,2020,119,0,"Romania","RO","ROU",19414458,"Europe",11.98076197
"22696",2020-06-02,2,6,2020,141,17,"Romania","RO","ROU",19414458,"Europe",12.16619078
"22697",2020-06-01,1,6,2020,124,9,"Romania","RO","ROU",19414458,"Europe",12.28981
"22698",2020-05-31,31,5,2020,151,13,"Romania","RO","ROU",19414458,"Europe",12.51129442
"22699",2020-05-30,30,5,2020,191,11,"Romania","RO","ROU",19414458,"Europe",13.10878728
"22700",2020-05-29,29,5,2020,197,10,"Romania","RO","ROU",19414458,"Europe",13.10363648
"22701",2020-05-28,28,5,2020,165,9,"Romania","RO","ROU",19414458,"Europe",13.3508749
"22702",2020-05-27,27,5,2020,146,13,"Romania","RO","ROU",19414458,"Europe",13.65477213
"22703",2020-05-26,26,5,2020,213,18,"Romania","RO","ROU",19414458,"Europe",13.88140735
"22704",2020-05-25,25,5,2020,213,9,"Romania","RO","ROU",19414458,"Europe",13.94836776
