"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"22570",2020-07-12,12,7,2020,47,1,"Rwanda","RW","RWA",12626938,"Africa",3.33414166
"22571",2020-07-11,11,7,2020,42,0,"Rwanda","RW","RWA",12626938,"Africa",3.1203131
"22572",2020-07-10,10,7,2020,16,0,"Rwanda","RW","RWA",12626938,"Africa",2.8510475
"22573",2020-07-09,9,7,2020,22,0,"Rwanda","RW","RWA",12626938,"Africa",2.8827258
"22574",2020-07-08,8,7,2020,59,0,"Rwanda","RW","RWA",12626938,"Africa",2.96192157
"22575",2020-07-07,7,7,2020,8,0,"Rwanda","RW","RWA",12626938,"Africa",2.5817819
"22576",2020-07-06,6,7,2020,13,0,"Rwanda","RW","RWA",12626938,"Africa",2.9856803
"22577",2020-07-05,5,7,2020,11,0,"Rwanda","RW","RWA",12626938,"Africa",3.08863479
"22578",2020-07-04,4,7,2020,18,0,"Rwanda","RW","RWA",12626938,"Africa",3.32622208
"22579",2020-07-03,3,7,2020,21,0,"Rwanda","RW","RWA",12626938,"Africa",3.30246335
"22580",2020-07-02,2,7,2020,17,1,"Rwanda","RW","RWA",12626938,"Africa",3.19158928
"22581",2020-07-01,1,7,2020,24,0,"Rwanda","RW","RWA",12626938,"Africa",3.08071521
"22582",2020-06-30,30,6,2020,101,0,"Rwanda","RW","RWA",12626938,"Africa",3.08071521
"22583",2020-06-29,29,6,2020,22,0,"Rwanda","RW","RWA",12626938,"Africa",2.51842529
"22584",2020-06-28,28,6,2020,20,0,"Rwanda","RW","RWA",12626938,"Africa",2.66889724
"22585",2020-06-27,27,6,2020,8,0,"Rwanda","RW","RWA",12626938,"Africa",2.75601258
"22586",2020-06-26,26,6,2020,20,0,"Rwanda","RW","RWA",12626938,"Africa",2.81936919
"22587",2020-06-25,25,6,2020,32,0,"Rwanda","RW","RWA",12626938,"Africa",2.80353004
"22588",2020-06-24,24,6,2020,11,0,"Rwanda","RW","RWA",12626938,"Africa",2.65305809
"22589",2020-06-23,23,6,2020,59,0,"Rwanda","RW","RWA",12626938,"Africa",2.66097767
"22590",2020-06-22,22,6,2020,26,0,"Rwanda","RW","RWA",12626938,"Africa",2.28875758
"22591",2020-06-21,21,6,2020,41,0,"Rwanda","RW","RWA",12626938,"Africa",2.1462052
"22592",2020-06-20,20,6,2020,15,0,"Rwanda","RW","RWA",12626938,"Africa",1.90861791
"22593",2020-06-19,19,6,2020,7,0,"Rwanda","RW","RWA",12626938,"Africa",1.86902003
