"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"24930",2020-07-26,26,7,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"24931",2020-07-25,25,7,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"24932",2020-07-24,24,7,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",1.8927206
"24933",2020-07-23,23,7,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",1.8927206
"24934",2020-07-22,22,7,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",1.8927206
"24935",2020-07-21,21,7,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",1.8927206
"24936",2020-07-20,20,7,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",1.8927206
"24937",2020-07-19,19,7,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",1.8927206
"24938",2020-07-18,18,7,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",3.78544119
"24939",2020-07-17,17,7,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",3.78544119
"24940",2020-07-16,16,7,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",3.78544119
"24941",2020-07-15,15,7,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",3.78544119
"24942",2020-07-14,14,7,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",3.78544119
"24943",2020-07-13,13,7,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",3.78544119
"24944",2020-07-12,12,7,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",3.78544119
"24945",2020-07-11,11,7,2020,1,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",3.78544119
"24946",2020-07-10,10,7,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",1.8927206
"24947",2020-07-09,9,7,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",1.8927206
"24948",2020-07-08,8,7,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",1.8927206
"24949",2020-07-07,7,7,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",1.8927206
"24950",2020-07-06,6,7,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",1.8927206
"24951",2020-07-05,5,7,2020,1,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",1.8927206
"24952",2020-07-04,4,7,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"24953",2020-07-03,3,7,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"24954",2020-07-02,2,7,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"24955",2020-07-01,1,7,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"24956",2020-06-30,30,6,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"24957",2020-06-29,29,6,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"24958",2020-06-28,28,6,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"24959",2020-06-27,27,6,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"24960",2020-06-26,26,6,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"24961",2020-06-25,25,6,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"24962",2020-06-24,24,6,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"24963",2020-06-23,23,6,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"24964",2020-06-22,22,6,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"24965",2020-06-21,21,6,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"24966",2020-06-20,20,6,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"24967",2020-06-19,19,6,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"24968",2020-06-18,18,6,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"24969",2020-06-17,17,6,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"24970",2020-06-16,16,6,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"24971",2020-06-15,15,6,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"24972",2020-06-14,14,6,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"24973",2020-06-13,13,6,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"24974",2020-06-12,12,6,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"24975",2020-06-11,11,6,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"24976",2020-06-10,10,6,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"24977",2020-06-09,9,6,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"24978",2020-06-08,8,6,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"24979",2020-06-07,7,6,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"24980",2020-06-06,6,6,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"24981",2020-06-05,5,6,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"24982",2020-06-04,4,6,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"24983",2020-06-03,3,6,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"24984",2020-06-02,2,6,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"24985",2020-06-01,1,6,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"24986",2020-05-31,31,5,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"24987",2020-05-30,30,5,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"24988",2020-05-29,29,5,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"24989",2020-05-28,28,5,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"24990",2020-05-27,27,5,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"24991",2020-05-26,26,5,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"24992",2020-05-25,25,5,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"24993",2020-05-24,24,5,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"24994",2020-05-23,23,5,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"24995",2020-05-22,22,5,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"24996",2020-05-21,21,5,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"24997",2020-05-20,20,5,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"24998",2020-05-19,19,5,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"24999",2020-05-18,18,5,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"25000",2020-05-17,17,5,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"25001",2020-05-16,16,5,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"25002",2020-05-15,15,5,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"25003",2020-05-14,14,5,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"25004",2020-05-13,13,5,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"25005",2020-05-12,12,5,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"25006",2020-05-11,11,5,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"25007",2020-05-10,10,5,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"25008",2020-05-09,9,5,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"25009",2020-05-08,8,5,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"25010",2020-05-07,7,5,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"25011",2020-05-06,6,5,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"25012",2020-05-05,5,5,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"25013",2020-05-04,4,5,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",0
"25014",2020-05-03,3,5,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",1.8927206
"25015",2020-05-02,2,5,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52834,"America",1.8927206
