"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"23282",2020-07-15,15,7,2020,0,0,"Saint_Lucia","LC","LCA",182795,"America",1.64118275
"23283",2020-07-14,14,7,2020,0,0,"Saint_Lucia","LC","LCA",182795,"America",1.64118275
"23284",2020-07-13,13,7,2020,0,0,"Saint_Lucia","LC","LCA",182795,"America",1.64118275
"23285",2020-07-12,12,7,2020,0,0,"Saint_Lucia","LC","LCA",182795,"America",1.64118275
"23286",2020-07-11,11,7,2020,0,0,"Saint_Lucia","LC","LCA",182795,"America",1.64118275
"23287",2020-07-10,10,7,2020,0,0,"Saint_Lucia","LC","LCA",182795,"America",1.64118275
"23288",2020-07-09,9,7,2020,0,0,"Saint_Lucia","LC","LCA",182795,"America",1.64118275
"23289",2020-07-08,8,7,2020,0,0,"Saint_Lucia","LC","LCA",182795,"America",1.64118275
"23290",2020-07-07,7,7,2020,0,0,"Saint_Lucia","LC","LCA",182795,"America",1.64118275
"23291",2020-07-06,6,7,2020,0,0,"Saint_Lucia","LC","LCA",182795,"America",1.64118275
"23292",2020-07-05,5,7,2020,0,0,"Saint_Lucia","LC","LCA",182795,"America",1.64118275
"23293",2020-07-04,4,7,2020,0,0,"Saint_Lucia","LC","LCA",182795,"America",1.64118275
"23294",2020-07-03,3,7,2020,3,0,"Saint_Lucia","LC","LCA",182795,"America",1.64118275
"23295",2020-07-02,2,7,2020,0,0,"Saint_Lucia","LC","LCA",182795,"America",0
"23296",2020-07-01,1,7,2020,0,0,"Saint_Lucia","LC","LCA",182795,"America",0
"23297",2020-06-30,30,6,2020,0,0,"Saint_Lucia","LC","LCA",182795,"America",0
"23298",2020-06-29,29,6,2020,0,0,"Saint_Lucia","LC","LCA",182795,"America",0
"23299",2020-06-28,28,6,2020,0,0,"Saint_Lucia","LC","LCA",182795,"America",0
"23300",2020-06-27,27,6,2020,0,0,"Saint_Lucia","LC","LCA",182795,"America",0
"23301",2020-06-26,26,6,2020,0,0,"Saint_Lucia","LC","LCA",182795,"America",0
"23302",2020-06-25,25,6,2020,0,0,"Saint_Lucia","LC","LCA",182795,"America",0
"23303",2020-06-24,24,6,2020,0,0,"Saint_Lucia","LC","LCA",182795,"America",0
"23304",2020-06-23,23,6,2020,0,0,"Saint_Lucia","LC","LCA",182795,"America",0
"23305",2020-06-22,22,6,2020,0,0,"Saint_Lucia","LC","LCA",182795,"America",0
"23306",2020-06-21,21,6,2020,0,0,"Saint_Lucia","LC","LCA",182795,"America",0
"23307",2020-06-20,20,6,2020,0,0,"Saint_Lucia","LC","LCA",182795,"America",0
"23308",2020-06-19,19,6,2020,0,0,"Saint_Lucia","LC","LCA",182795,"America",0
"23309",2020-06-18,18,6,2020,0,0,"Saint_Lucia","LC","LCA",182795,"America",0.54706092
"23310",2020-06-17,17,6,2020,0,0,"Saint_Lucia","LC","LCA",182795,"America",0.54706092
"23311",2020-06-16,16,6,2020,0,0,"Saint_Lucia","LC","LCA",182795,"America",0.54706092
"23312",2020-06-15,15,6,2020,0,0,"Saint_Lucia","LC","LCA",182795,"America",0.54706092
"23313",2020-06-14,14,6,2020,0,0,"Saint_Lucia","LC","LCA",182795,"America",0.54706092
"23314",2020-06-13,13,6,2020,0,0,"Saint_Lucia","LC","LCA",182795,"America",0.54706092
"23315",2020-06-12,12,6,2020,0,0,"Saint_Lucia","LC","LCA",182795,"America",0.54706092
"23316",2020-06-11,11,6,2020,0,0,"Saint_Lucia","LC","LCA",182795,"America",0.54706092
"23317",2020-06-10,10,6,2020,0,0,"Saint_Lucia","LC","LCA",182795,"America",0.54706092
"23318",2020-06-09,9,6,2020,0,0,"Saint_Lucia","LC","LCA",182795,"America",0.54706092
"23319",2020-06-08,8,6,2020,0,0,"Saint_Lucia","LC","LCA",182795,"America",0.54706092
"23320",2020-06-07,7,6,2020,0,0,"Saint_Lucia","LC","LCA",182795,"America",0.54706092
"23321",2020-06-06,6,6,2020,0,0,"Saint_Lucia","LC","LCA",182795,"America",0.54706092
"23322",2020-06-05,5,6,2020,1,0,"Saint_Lucia","LC","LCA",182795,"America",0.54706092
"23323",2020-06-04,4,6,2020,0,0,"Saint_Lucia","LC","LCA",182795,"America",0
"23324",2020-06-03,3,6,2020,0,0,"Saint_Lucia","LC","LCA",182795,"America",0
"23325",2020-06-02,2,6,2020,0,0,"Saint_Lucia","LC","LCA",182795,"America",0
"23326",2020-06-01,1,6,2020,0,0,"Saint_Lucia","LC","LCA",182795,"America",0
"23327",2020-05-31,31,5,2020,0,0,"Saint_Lucia","LC","LCA",182795,"America",0
"23328",2020-05-30,30,5,2020,0,0,"Saint_Lucia","LC","LCA",182795,"America",0
"23329",2020-05-29,29,5,2020,0,0,"Saint_Lucia","LC","LCA",182795,"America",0
"23330",2020-05-28,28,5,2020,0,0,"Saint_Lucia","LC","LCA",182795,"America",0
"23331",2020-05-27,27,5,2020,0,0,"Saint_Lucia","LC","LCA",182795,"America",0
"23332",2020-05-26,26,5,2020,0,0,"Saint_Lucia","LC","LCA",182795,"America",0
"23333",2020-05-25,25,5,2020,0,0,"Saint_Lucia","LC","LCA",182795,"America",0
"23334",2020-05-24,24,5,2020,0,0,"Saint_Lucia","LC","LCA",182795,"America",0
