"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"26779",2020-08-04,4,8,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",0
"26780",2020-08-03,3,8,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",0
"26781",2020-08-02,2,8,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",0
"26782",2020-08-01,1,8,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",0
"26783",2020-07-31,31,7,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",0
"26784",2020-07-30,30,7,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",0
"26785",2020-07-29,29,7,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",0
"26786",2020-07-28,28,7,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",0
"26787",2020-07-27,27,7,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",0
"26788",2020-07-26,26,7,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",0
"26789",2020-07-25,25,7,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",0
"26790",2020-07-24,24,7,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",0
"26791",2020-07-23,23,7,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",0
"26792",2020-07-22,22,7,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",2.90250486
"26793",2020-07-21,21,7,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",2.90250486
"26794",2020-07-20,20,7,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",2.90250486
"26795",2020-07-19,19,7,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",2.90250486
"26796",2020-07-18,18,7,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",2.90250486
"26797",2020-07-17,17,7,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",2.90250486
"26798",2020-07-16,16,7,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",2.90250486
"26799",2020-07-15,15,7,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",2.90250486
"26800",2020-07-14,14,7,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",2.90250486
"26801",2020-07-13,13,7,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",2.90250486
"26802",2020-07-12,12,7,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",2.90250486
"26803",2020-07-11,11,7,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",2.90250486
"26804",2020-07-10,10,7,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",2.90250486
"26805",2020-07-09,9,7,2020,1,0,"San_Marino","SM","SMR",34453,"Europe",2.90250486
"26806",2020-07-08,8,7,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",0
"26807",2020-07-07,7,7,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",0
"26808",2020-07-06,6,7,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",5.80500972
"26809",2020-07-05,5,7,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",5.80500972
"26810",2020-07-04,4,7,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",5.80500972
"26811",2020-07-03,3,7,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",5.80500972
"26812",2020-07-02,2,7,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",5.80500972
"26813",2020-07-01,1,7,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",11.61001945
"26814",2020-06-30,30,6,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",11.61001945
"26815",2020-06-29,29,6,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",11.61001945
"26816",2020-06-28,28,6,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",11.61001945
"26817",2020-06-27,27,6,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",11.61001945
"26818",2020-06-26,26,6,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",20.31753403
"26819",2020-06-25,25,6,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",20.31753403
"26820",2020-06-24,24,6,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",29.02504862
"26821",2020-06-23,23,6,2020,2,0,"San_Marino","SM","SMR",34453,"Europe",31.92755348
"26822",2020-06-22,22,6,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",26.12254376
"26823",2020-06-21,21,6,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",26.12254376
"26824",2020-06-20,20,6,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",26.12254376
"26825",2020-06-19,19,6,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",26.12254376
"26826",2020-06-18,18,6,2020,2,0,"San_Marino","SM","SMR",34453,"Europe",26.12254376
"26827",2020-06-17,17,6,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",20.31753403
"26828",2020-06-16,16,6,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",20.31753403
"26829",2020-06-15,15,6,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",66.75761182
"26830",2020-06-14,14,6,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",66.75761182
"26831",2020-06-13,13,6,2020,3,0,"San_Marino","SM","SMR",34453,"Europe",66.75761182
"26832",2020-06-12,12,6,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",60.9526021
"26833",2020-06-11,11,6,2020,3,0,"San_Marino","SM","SMR",34453,"Europe",69.66011668
"26834",2020-06-10,10,6,2020,1,0,"San_Marino","SM","SMR",34453,"Europe",63.85510696
"26835",2020-06-09,9,6,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",60.9526021
"26836",2020-06-08,8,6,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",63.85510696
"26837",2020-06-07,7,6,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",63.85510696
"26838",2020-06-06,6,6,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",75.4651264
"26839",2020-06-05,5,6,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",84.17264099
"26840",2020-06-04,4,6,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",89.97765071
"26841",2020-06-03,3,6,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",92.88015557
"26842",2020-06-02,2,6,2020,16,0,"San_Marino","SM","SMR",34453,"Europe",95.78266044
"26843",2020-06-01,1,6,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",49.34258265
"26844",2020-05-31,31,5,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",52.24508751
"26845",2020-05-30,30,5,2020,1,0,"San_Marino","SM","SMR",34453,"Europe",55.14759237
"26846",2020-05-29,29,5,2020,3,0,"San_Marino","SM","SMR",34453,"Europe",63.85510696
"26847",2020-05-28,28,5,2020,1,0,"San_Marino","SM","SMR",34453,"Europe",69.66011668
"26848",2020-05-27,27,5,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",81.27013613
"26849",2020-05-26,26,5,2020,1,0,"San_Marino","SM","SMR",34453,"Europe",110.29518474
"26850",2020-05-25,25,5,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",107.39267988
"26851",2020-05-24,24,5,2020,4,1,"San_Marino","SM","SMR",34453,"Europe",81.27013613
"26852",2020-05-23,23,5,2020,3,0,"San_Marino","SM","SMR",34453,"Europe",110.29518474
"26853",2020-05-22,22,5,2020,2,0,"San_Marino","SM","SMR",34453,"Europe",104.49017502
"26854",2020-05-21,21,5,2020,1,0,"San_Marino","SM","SMR",34453,"Europe",139.32023336
"26855",2020-05-20,20,5,2020,1,0,"San_Marino","SM","SMR",34453,"Europe",191.56532087
"26856",2020-05-19,19,5,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",208.98035004
"26857",2020-05-18,18,5,2020,1,0,"San_Marino","SM","SMR",34453,"Europe",208.98035004
"26858",2020-05-17,17,5,2020,1,0,"San_Marino","SM","SMR",34453,"Europe",211.8828549
"26859",2020-05-16,16,5,2020,4,0,"San_Marino","SM","SMR",34453,"Europe",208.98035004
"26860",2020-05-15,15,5,2020,5,0,"San_Marino","SM","SMR",34453,"Europe",229.29788407
"26861",2020-05-14,14,5,2020,5,0,"San_Marino","SM","SMR",34453,"Europe",232.20038894
"26862",2020-05-13,13,5,2020,10,0,"San_Marino","SM","SMR",34453,"Europe",246.71291324
"26863",2020-05-12,12,5,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",261.22543755
"26864",2020-05-11,11,5,2020,-9,0,"San_Marino","SM","SMR",34453,"Europe",261.22543755
"26865",2020-05-10,10,5,2020,14,0,"San_Marino","SM","SMR",34453,"Europe",359.91060285
"26866",2020-05-09,9,5,2020,1,0,"San_Marino","SM","SMR",34453,"Europe",319.27553479
"26867",2020-05-08,8,5,2020,14,0,"San_Marino","SM","SMR",34453,"Europe",351.20308827
"26868",2020-05-07,7,5,2020,19,0,"San_Marino","SM","SMR",34453,"Europe",348.3005834
"26869",2020-05-06,6,5,2020,7,0,"San_Marino","SM","SMR",34453,"Europe",327.98304937
"26870",2020-05-05,5,5,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",348.3005834
"26871",2020-05-04,4,5,2020,2,0,"San_Marino","SM","SMR",34453,"Europe",351.20308827
"26872",2020-05-03,3,5,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",362.81310771
"26873",2020-05-02,2,5,2020,11,0,"San_Marino","SM","SMR",34453,"Europe",420.86320495
"26874",2020-05-01,1,5,2020,6,0,"San_Marino","SM","SMR",34453,"Europe",415.05819522
"26875",2020-04-30,30,4,2020,10,0,"San_Marino","SM","SMR",34453,"Europe",496.32833135
"26876",2020-04-29,29,4,2020,15,0,"San_Marino","SM","SMR",34453,"Europe",525.35337997
"26877",2020-04-28,28,4,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",528.25588483
"26878",2020-04-27,27,4,2020,25,1,"San_Marino","SM","SMR",34453,"Europe",528.25588483
"26879",2020-04-26,26,4,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",455.69326329
"26880",2020-04-25,25,4,2020,12,0,"San_Marino","SM","SMR",34453,"Europe",490.52332163
"26881",2020-04-24,24,4,2020,13,0,"San_Marino","SM","SMR",34453,"Europe",487.62081676
"26882",2020-04-23,23,4,2020,12,0,"San_Marino","SM","SMR",34453,"Europe",522.45087511
"26883",2020-04-22,22,4,2020,14,1,"San_Marino","SM","SMR",34453,"Europe",571.79345775
"26884",2020-04-21,21,4,2020,1,0,"San_Marino","SM","SMR",34453,"Europe",536.96339941
"26885",2020-04-20,20,4,2020,6,0,"San_Marino","SM","SMR",34453,"Europe",565.98844803
"26886",2020-04-19,19,4,2020,20,0,"San_Marino","SM","SMR",34453,"Europe",568.89095289
"26887",2020-04-18,18,4,2020,9,1,"San_Marino","SM","SMR",34453,"Europe",534.06089455
"26888",2020-04-17,17,4,2020,34,2,"San_Marino","SM","SMR",34453,"Europe",525.35337997
"26889",2020-04-16,16,4,2020,20,0,"San_Marino","SM","SMR",34453,"Europe",452.79075842
"26890",2020-04-15,15,4,2020,16,0,"San_Marino","SM","SMR",34453,"Europe",412.15569036
"26891",2020-04-14,14,4,2020,0,1,"San_Marino","SM","SMR",34453,"Europe",368.61811744
"26892",2020-04-13,13,4,2020,0,0,"San_Marino","SM","SMR",34453,"Europe",368.61811744
"26893",2020-04-12,12,4,2020,12,1,"San_Marino","SM","SMR",34453,"Europe",383.13064174
"26894",2020-04-11,11,4,2020,11,0,"San_Marino","SM","SMR",34453,"Europe",351.20308827
"26895",2020-04-10,10,4,2020,25,0,"San_Marino","SM","SMR",34453,"Europe",333.78805909
"26896",2020-04-09,9,4,2020,29,0,"San_Marino","SM","SMR",34453,"Europe",290.25048617
"26897",2020-04-08,8,4,2020,2,2,"San_Marino","SM","SMR",34453,"Europe",267.03044728
"26898",2020-04-07,7,4,2020,11,0,"San_Marino","SM","SMR",34453,"Europe",261.22543755
"26899",2020-04-06,6,4,2020,7,0,"San_Marino","SM","SMR",34453,"Europe",333.78805909
"26900",2020-04-05,5,4,2020,8,0,"San_Marino","SM","SMR",34453,"Europe",313.47052506
"26901",2020-04-04,4,4,2020,6,2,"San_Marino","SM","SMR",34453,"Europe",290.25048617
"26902",2020-04-03,3,4,2020,9,4,"San_Marino","SM","SMR",34453,"Europe",345.39807854
"26903",2020-04-02,2,4,2020,6,0,"San_Marino","SM","SMR",34453,"Europe",368.61811744
"26904",2020-04-01,1,4,2020,1,1,"San_Marino","SM","SMR",34453,"Europe",365.71561257
