"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"25192",2020-07-24,24,7,2020,2,0,"Sao_Tome_and_Principe","ST","STP",215048,"Africa",10.69528663
"25193",2020-07-23,23,7,2020,1,0,"Sao_Tome_and_Principe","ST","STP",215048,"Africa",10.69528663
"25194",2020-07-22,22,7,2020,0,0,"Sao_Tome_and_Principe","ST","STP",215048,"Africa",10.23027417
"25195",2020-07-21,21,7,2020,0,0,"Sao_Tome_and_Principe","ST","STP",215048,"Africa",11.62531156
"25196",2020-07-20,20,7,2020,3,0,"Sao_Tome_and_Principe","ST","STP",215048,"Africa",12.09032402
"25197",2020-07-19,19,7,2020,2,0,"Sao_Tome_and_Principe","ST","STP",215048,"Africa",11.1602991
"25198",2020-07-18,18,7,2020,1,0,"Sao_Tome_and_Principe","ST","STP",215048,"Africa",10.23027417
"25199",2020-07-17,17,7,2020,3,0,"Sao_Tome_and_Principe","ST","STP",215048,"Africa",10.69528663
"25200",2020-07-16,16,7,2020,5,0,"Sao_Tome_and_Principe","ST","STP",215048,"Africa",10.23027417
"25201",2020-07-15,15,7,2020,0,0,"Sao_Tome_and_Principe","ST","STP",215048,"Africa",8.37022432
"25202",2020-07-14,14,7,2020,3,0,"Sao_Tome_and_Principe","ST","STP",215048,"Africa",8.83523678
"25203",2020-07-13,13,7,2020,2,0,"Sao_Tome_and_Principe","ST","STP",215048,"Africa",7.4401994
"25204",2020-07-12,12,7,2020,0,0,"Sao_Tome_and_Principe","ST","STP",215048,"Africa",6.51017447
"25205",2020-07-11,11,7,2020,1,0,"Sao_Tome_and_Principe","ST","STP",215048,"Africa",6.97518694
"25206",2020-07-10,10,7,2020,2,1,"Sao_Tome_and_Principe","ST","STP",215048,"Africa",6.97518694
"25207",2020-07-09,9,7,2020,0,0,"Sao_Tome_and_Principe","ST","STP",215048,"Africa",6.51017447
"25208",2020-07-08,8,7,2020,3,0,"Sao_Tome_and_Principe","ST","STP",215048,"Africa",7.90521186
"25209",2020-07-07,7,7,2020,1,0,"Sao_Tome_and_Principe","ST","STP",215048,"Africa",8.83523678
"25210",2020-07-06,6,7,2020,1,0,"Sao_Tome_and_Principe","ST","STP",215048,"Africa",10.23027417
"25211",2020-07-05,5,7,2020,0,0,"Sao_Tome_and_Principe","ST","STP",215048,"Africa",9.76526171
"25212",2020-07-04,4,7,2020,2,0,"Sao_Tome_and_Principe","ST","STP",215048,"Africa",12.09032402
"25213",2020-07-03,3,7,2020,2,0,"Sao_Tome_and_Principe","ST","STP",215048,"Africa",13.48536141
"25214",2020-07-02,2,7,2020,1,0,"Sao_Tome_and_Principe","ST","STP",215048,"Africa",14.88039879
"25215",2020-07-01,1,7,2020,1,0,"Sao_Tome_and_Principe","ST","STP",215048,"Africa",19.99553588
"25216",2020-06-30,30,6,2020,0,0,"Sao_Tome_and_Principe","ST","STP",215048,"Africa",24.18064804
"25217",2020-06-29,29,6,2020,0,0,"Sao_Tome_and_Principe","ST","STP",215048,"Africa",24.18064804
"25218",2020-06-28,28,6,2020,1,0,"Sao_Tome_and_Principe","ST","STP",215048,"Africa",25.11067297
"25219",2020-06-27,27,6,2020,1,0,"Sao_Tome_and_Principe","ST","STP",215048,"Africa",28.83077266
"25220",2020-06-26,26,6,2020,1,0,"Sao_Tome_and_Principe","ST","STP",215048,"Africa",33.48089729
"25221",2020-06-25,25,6,2020,3,1,"Sao_Tome_and_Principe","ST","STP",215048,"Africa",36.27097206
"25222",2020-06-24,24,6,2020,5,0,"Sao_Tome_and_Principe","ST","STP",215048,"Africa",89.74740523
"25223",2020-06-23,23,6,2020,4,0,"Sao_Tome_and_Principe","ST","STP",215048,"Africa",87.42234292
"25224",2020-06-22,22,6,2020,0,0,"Sao_Tome_and_Principe","ST","STP",215048,"Africa",85.56229307
"25225",2020-06-21,21,6,2020,5,0,"Sao_Tome_and_Principe","ST","STP",215048,"Africa",86.02730553
"25226",2020-06-20,20,6,2020,5,0,"Sao_Tome_and_Principe","ST","STP",215048,"Africa",85.56229307
"25227",2020-06-19,19,6,2020,5,0,"Sao_Tome_and_Principe","ST","STP",215048,"Africa",87.88735538
"25228",2020-06-18,18,6,2020,12,0,"Sao_Tome_and_Principe","ST","STP",215048,"Africa",92.53748
"25229",2020-06-17,17,6,2020,10,0,"Sao_Tome_and_Principe","ST","STP",215048,"Africa",86.95733046
"25230",2020-06-16,16,6,2020,0,0,"Sao_Tome_and_Principe","ST","STP",215048,"Africa",82.30720583
"25231",2020-06-15,15,6,2020,2,0,"Sao_Tome_and_Principe","ST","STP",215048,"Africa",82.7722183
"25232",2020-06-14,14,6,2020,9,0,"Sao_Tome_and_Principe","ST","STP",215048,"Africa",83.70224322
"25233",2020-06-13,13,6,2020,11,0,"Sao_Tome_and_Principe","ST","STP",215048,"Africa",86.95733046
"25234",2020-06-12,12,6,2020,7,0,"Sao_Tome_and_Principe","ST","STP",215048,"Africa",84.16725568
"25235",2020-06-11,11,6,2020,118,0,"Sao_Tome_and_Principe","ST","STP",215048,"Africa",87.88735538
"25236",2020-06-10,10,6,2020,0,0,"Sao_Tome_and_Principe","ST","STP",215048,"Africa",33.94590975
"25237",2020-06-09,9,6,2020,0,0,"Sao_Tome_and_Principe","ST","STP",215048,"Africa",99.9776794
"25238",2020-06-08,8,6,2020,1,0,"Sao_Tome_and_Principe","ST","STP",215048,"Africa",99.9776794
"25239",2020-06-07,7,6,2020,4,0,"Sao_Tome_and_Principe","ST","STP",215048,"Africa",103.23276664
"25240",2020-06-06,6,6,2020,10,0,"Sao_Tome_and_Principe","ST","STP",215048,"Africa",119.97321528
"25241",2020-06-05,5,6,2020,15,0,"Sao_Tome_and_Principe","ST","STP",215048,"Africa",115.32309066
